Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
25/03/00,St Johnstone,Dundee,2,1,H
26/03/00,Rangers,Celtic,4,0,H
01/04/00,Aberdeen,Rangers,1,1,D
01/04/00,Dundee,Hearts,0,0,D
01/04/00,Hibernian,Dundee United,1,0,H
01/04/00,Motherwell,St Johnstone,2,1,H
02/04/00,Celtic,Kilmarnock,4,2,H
04/04/00,Rangers,Dundee United,3,0,H
05/04/00,Celtic,Motherwell,4,0,H
08/04/00,Dundee,Motherwell,4,1,H
08/04/00,Hearts,Celtic,1,0,H
08/04/00,Kilmarnock,Dundee United,1,0,H
12/04/00,Hearts,Rangers,1,2,A
12/04/00,Kilmarnock,Aberdeen,1,0,H
15/04/00,Aberdeen,Hearts,1,2,A
15/04/00,Celtic,Dundee,2,2,D
15/04/00,Dundee United,Rangers,0,2,A
15/04/00,Hibernian,St Johnstone,3,3,D
16/04/00,Motherwell,Kilmarnock,2,0,H
18/04/00,Aberdeen,Dundee,0,1,A
19/04/00,Motherwell,Dundee United,1,3,A
22/04/00,Aberdeen,Motherwell,2,1,H
22/04/00,Celtic,Hibernian,1,1,D
22/04/00,Dundee,Kilmarnock,1,2,A
22/04/00,Hearts,Dundee United,1,2,A
23/04/00,St Johnstone,Rangers,0,2,A
29/04/00,Dundee United,St Johnstone,0,1,A
29/04/00,Hibernian,Aberdeen,1,0,H
29/04/00,Kilmarnock,Hearts,0,1,A
29/04/00,Motherwell,Celtic,1,1,D
30/04/00,Rangers,Dundee,3,0,H
02/05/00,Dundee United,Celtic,0,1,A
02/05/00,St Johnstone,Aberdeen,2,1,H
03/05/00,Rangers,Hibernian,5,2,H
06/05/00,Celtic,Aberdeen,5,1,H
06/05/00,Dundee,Dundee United,3,0,H
06/05/00,Hearts,St Johnstone,0,0,D
06/05/00,Motherwell,Hibernian,2,0,H
07/05/00,Kilmarnock,Rangers,0,2,A
13/05/00,Dundee United,Motherwell,1,2,A
13/05/00,Rangers,Hearts,1,0,H
13/05/00,St Johnstone,Celtic,0,0,D
14/05/00,Aberdeen,Kilmarnock,5,1,H
14/05/00,Dundee,Hibernian,1,0,H
20/05/00,Celtic,Dundee United,2,0,H
20/05/00,Dundee,Aberdeen,0,2,A
20/05/00,Hearts,Hibernian,2,1,H
20/05/00,Kilmarnock,St Johnstone,3,2,H
20/05/00,Motherwell,Rangers,2,0,H
