Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
30/07/05,Dundee United,Aberdeen,1,1,D,1,0,H,4,16,3,7,10,7,7,5,1,0,0,0
30/07/05,Falkirk,Inverness C,0,2,A,0,0,D,9,8,6,2,11,12,6,1,0,3,0,0
30/07/05,Hibernian,Dunfermline,1,1,D,0,1,A,12,9,5,6,7,19,6,3,2,3,1,0
30/07/05,Kilmarnock,Hearts,2,4,A,1,1,D,4,11,2,10,27,19,1,8,5,1,0,0
30/07/05,Motherwell,Celtic,4,4,D,1,3,A,11,10,6,9,20,19,1,5,2,2,0,0
31/07/05,Rangers,Livingston,3,0,H,1,0,H,18,6,12,1,14,20,10,3,0,2,0,1
06/08/05,Aberdeen,Kilmarnock,1,2,A,1,1,D,8,7,4,3,14,20,9,1,1,1,0,0
06/08/05,Celtic,Dundee United,2,0,H,1,0,H,19,4,11,3,14,7,9,3,1,2,0,0
06/08/05,Inverness C,Rangers,0,1,A,0,0,D,14,14,5,6,13,16,7,7,1,4,0,0
06/08/05,Livingston,Falkirk,0,2,A,0,1,A,9,11,3,7,17,12,6,4,3,0,0,0
06/08/05,Motherwell,Dunfermline,1,0,H,0,0,D,15,7,7,3,13,11,7,0,1,1,0,1
07/08/05,Hearts,Hibernian,4,0,H,1,0,H,11,4,5,1,21,19,12,2,2,3,0,0
13/08/05,Celtic,Falkirk,3,1,H,0,1,A,13,5,8,1,9,13,10,0,1,3,0,0
13/08/05,Dunfermline,Inverness C,0,1,A,0,1,A,9,6,4,3,11,12,11,3,1,3,0,0
13/08/05,Hibernian,Livingston,3,0,H,2,0,H,10,9,7,1,9,16,7,5,0,5,0,0
13/08/05,Kilmarnock,Motherwell,4,1,H,2,1,H,9,8,6,4,17,14,4,6,0,3,0,0
14/08/05,Aberdeen,Rangers,3,2,H,2,1,H,3,7,3,2,11,19,4,3,2,4,0,1
14/08/05,Dundee United,Hearts,0,3,A,0,2,A,13,19,6,11,14,23,8,8,4,3,0,0
20/08/05,Falkirk,Hibernian,0,2,A,0,1,A,18,12,7,7,13,15,9,5,3,2,0,0
20/08/05,Hearts,Aberdeen,2,0,H,1,0,H,14,5,7,4,16,10,2,3,1,2,0,0
20/08/05,Inverness C,Kilmarnock,2,2,D,1,0,H,11,8,6,4,9,16,6,7,2,0,0,0
20/08/05,Livingston,Dunfermline,1,1,D,0,1,A,7,6,4,3,12,13,7,8,3,2,0,0
20/08/05,Motherwell,Dundee United,4,5,A,2,1,H,12,12,10,7,13,9,7,5,2,2,0,0
20/08/05,Rangers,Celtic,3,1,H,1,0,H,14,6,9,2,20,9,6,3,3,2,0,1
27/08/05,Aberdeen,Falkirk,3,0,H,3,0,H,11,8,5,2,6,9,6,4,0,2,0,0
