Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
29/07/00,Dunfermline,Aberdeen,0,0,D,0,0,D,23,10,8,0,6,6,9,10,1,3,0,1
29/07/00,Motherwell,Dundee,0,2,A,0,1,A,8,7,5,4,5,4,14,13,2,2,0,1
29/07/00,Rangers,St Johnstone,2,1,H,0,1,A,12,5,8,2,4,2,8,11,2,0,0,0
29/07/00,St Mirren,Kilmarnock,0,1,A,0,0,D,9,5,4,3,6,6,16,16,1,2,0,0
30/07/00,Dundee United,Celtic,1,2,A,0,1,A,8,15,4,9,6,11,17,13,4,1,0,0
30/07/00,Hearts,Hibernian,0,0,D,0,0,D,10,14,5,8,6,9,18,16,1,4,0,0
05/08/00,Aberdeen,St Mirren,2,1,H,1,1,D,17,10,5,5,5,4,19,11,1,1,0,0
05/08/00,Celtic,Motherwell,1,0,H,1,0,H,14,5,5,3,5,1,12,18,2,3,2,1
05/08/00,Dundee,Dunfermline,3,0,H,1,0,H,11,6,9,2,3,5,7,8,0,2,0,0
05/08/00,Hibernian,Dundee United,3,0,H,2,0,H,17,7,9,3,7,1,13,10,0,4,0,0
05/08/00,Kilmarnock,Rangers,2,4,A,2,1,H,6,8,2,4,1,7,15,17,3,5,1,0
06/08/00,St Johnstone,Hearts,2,2,D,1,0,H,8,12,3,6,4,8,18,18,4,3,0,0
12/08/00,Dundee United,Motherwell,1,1,D,0,1,A,13,8,3,5,4,4,8,13,0,0,0,0
12/08/00,Dunfermline,St Johnstone,1,1,D,1,0,H,7,11,3,6,6,7,17,13,3,4,0,1
12/08/00,Hibernian,Dundee,5,1,H,2,1,H,16,9,11,5,6,4,14,15,1,4,0,2
13/08/00,Aberdeen,Hearts,1,1,D,1,1,D,11,6,5,3,6,7,14,16,1,3,0,0
13/08/00,Celtic,Kilmarnock,2,1,H,0,1,A,12,10,6,4,5,4,20,15,4,2,0,1
13/08/00,St Mirren,Rangers,1,3,A,0,1,A,9,20,4,10,1,5,11,16,3,2,0,0
16/08/00,Kilmarnock,Hibernian,0,1,A,0,1,A,11,6,4,5,5,1,13,10,1,2,0,0
16/08/00,Motherwell,Dunfermline,0,1,A,0,0,D,19,12,7,4,9,3,14,10,2,1,0,0
19/08/00,Aberdeen,Hibernian,0,2,A,0,1,A,8,18,5,11,6,6,14,24,0,3,1,0
19/08/00,Dundee United,St Johnstone,1,2,A,0,2,A,11,11,8,5,5,9,14,15,2,2,0,0
19/08/00,Hearts,Celtic,2,4,A,0,3,A,8,10,3,4,7,8,11,21,1,0,0,0
19/08/00,Kilmarnock,Motherwell,3,2,H,1,1,D,10,6,6,3,6,3,8,8,1,1,0,0
19/08/00,Rangers,Dunfermline,4,1,H,3,1,H,16,8,11,5,11,1,7,4,0,1,0,0
19/08/00,St Mirren,Dundee,2,1,H,0,0,D,11,9,8,2,11,6,5,11,1,3,0,0
26/08/00,Dunfermline,Dundee United,1,0,H,1,0,H,11,6,6,3,5,6,11,13,0,1,0,0
26/08/00,Hibernian,St Mirren,2,0,H,1,0,H,18,7,11,0,7,1,19,19,1,4,0,0
26/08/00,St Johnstone,Kilmarnock,1,1,D,1,1,D,8,10,5,4,1,1,9,8,1,1,0,0
27/08/00,Celtic,Rangers,6,2,H,3,1,H,13,11,8,4,3,2,15,16,3,4,0,1
27/08/00,Dundee,Hearts,1,1,D,0,0,D,8,14,5,9,4,2,16,18,3,4,0,0
27/08/00,Motherwell,Aberdeen,1,1,D,1,1,D,9,15,4,7,8,6,19,11,3,1,0,0
09/09/00,Aberdeen,St Johnstone,1,1,D,0,0,D,13,6,5,4,12,5,16,17,1,4,0,1
09/09/00,Celtic,Hibernian,3,0,H,2,0,H,21,7,9,3,9,1,16,13,1,3,0,0
09/09/00,Dundee,Rangers,1,1,D,0,0,D,7,7,4,3,4,7,8,20,2,2,0,0
09/09/00,Hearts,Dunfermline,2,0,H,1,0,H,17,5,8,1,7,2,9,15,0,1,0,0
09/09/00,Kilmarnock,Dundee United,1,0,H,1,0,H,9,8,4,2,2,5,9,9,0,2,0,0
09/09/00,St Mirren,Motherwell,0,1,A,0,0,D,9,18,5,6,8,6,8,18,0,2,0,0
16/09/00,Dundee United,St Mirren,0,0,D,0,0,D,13,7,4,2,6,4,18,10,2,1,1,0
16/09/00,Hibernian,Motherwell,2,0,H,0,0,D,17,7,9,2,1,0,11,24,3,3,0,0
16/09/00,Kilmarnock,Aberdeen,1,0,H,1,0,H,8,5,5,2,5,10,6,9,2,3,0,0
16/09/00,St Johnstone,Dundee,0,0,D,0,0,D,10,7,4,3,3,5,14,16,0,1,0,0
17/09/00,Rangers,Hearts,1,0,H,0,0,D,17,3,9,2,13,2,7,7,2,1,0,0
18/09/00,Dunfermline,Celtic,1,2,A,0,0,D,2,11,1,3,3,8,19,16,1,5,0,0
20/09/00,Dundee,Dundee United,3,0,H,0,0,D,8,7,5,3,3,2,9,20,1,4,0,1
20/09/00,Hearts,St Mirren,2,0,H,0,0,D,13,11,7,3,8,2,14,11,1,0,0,0
23/09/00,Celtic,Dundee,1,0,H,0,0,D,13,5,6,3,4,1,12,7,1,3,0,0
23/09/00,Dundee United,Aberdeen,3,5,A,0,3,A,10,11,4,9,4,3,10,14,3,2,0,1
23/09/00,Dunfermline,Hibernian,1,1,D,0,1,A,8,10,4,5,4,4,15,18,1,3,0,0
23/09/00,Motherwell,Rangers,0,1,A,0,1,A,9,12,4,5,3,11,15,8,3,2,0,0
23/09/00,St Mirren,St Johnstone,0,1,A,0,1,A,8,14,1,5,0,1,17,13,2,2,0,0
24/09/00,Hearts,Kilmarnock,0,2,A,0,1,A,9,9,3,2,3,9,12,19,2,1,0,0
30/09/00,Dundee,Kilmarnock,0,0,D,0,0,D,5,10,3,4,7,6,10,11,0,0,1,0
30/09/00,St Johnstone,Hibernian,0,3,A,0,2,A,6,12,2,5,6,4,13,11,3,1,1,0
30/09/00,St Mirren,Dunfermline,2,1,H,2,0,H,12,10,5,4,4,3,7,9,1,1,0,1
01/10/00,Aberdeen,Celtic,1,1,D,1,0,H,8,7,4,3,4,3,23,23,3,3,0,1
01/10/00,Hearts,Motherwell,3,0,H,2,0,H,15,4,6,0,5,0,15,13,2,2,0,1
01/10/00,Rangers,Dundee United,3,0,H,2,0,H,23,9,14,5,14,4,7,11,0,3,0,1
14/10/00,Aberdeen,Dundee,0,2,A,0,1,A,16,10,7,4,8,6,7,9,3,3,1,1
14/10/00,Celtic,St Mirren,2,0,H,1,0,H,28,6,13,3,10,0,14,16,1,0,0,0
14/10/00,Dundee United,Hearts,0,4,A,0,3,A,7,10,1,7,4,8,12,15,1,1,0,0
14/10/00,Hibernian,Rangers,1,0,H,1,0,H,12,11,3,5,3,4,27,18,2,4,0,1
14/10/00,Kilmarnock,Dunfermline,2,1,H,1,1,D,14,3,6,2,4,2,8,11,0,5,0,0
14/10/00,Motherwell,St Johnstone,4,0,H,2,0,H,8,6,5,2,6,9,18,6,3,0,1,0
