Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
29/07/06,Celtic,Kilmarnock,4,1,H,2,0,H,18,8,9,5
29/07/06,Dundee United,Falkirk,1,2,A,1,1,D,10,15,6,5
29/07/06,Dunfermline,Hearts,1,2,A,0,1,A,9,10,4,5
29/07/06,Hibernian,Aberdeen,1,1,D,1,1,D,18,4,9,3
29/07/06,Inverness C,St Mirren,1,2,A,0,0,D,7,10,4,4
30/07/06,Motherwell,Rangers,1,2,A,0,1,A,3,13,1,5
05/08/06,Aberdeen,Inverness C,1,1,D,1,0,H,5,7,3,3
05/08/06,Falkirk,Dunfermline,1,0,H,1,0,H,12,4,3,1
05/08/06,Kilmarnock,Hibernian,2,1,H,0,1,A,5,10,3,6
05/08/06,Rangers,Dundee United,2,2,D,0,1,A,27,6,17,5
05/08/06,St Mirren,Motherwell,2,0,H,1,0,H,7,11,4,5
06/08/06,Hearts,Celtic,2,1,H,0,0,D,13,9,6,4
12/08/06,Celtic,St Mirren,2,0,H,1,0,H,17,5,9,1
12/08/06,Hearts,Falkirk,0,0,D,0,0,D,17,9,11,5
12/08/06,Inverness C,Hibernian,0,0,D,0,0,D,8,10,3,3
12/08/06,Kilmarnock,Dundee United,0,0,D,0,0,D,15,8,8,1
12/08/06,Motherwell,Aberdeen,0,2,A,0,1,A,11,7,3,4
13/08/06,Dunfermline,Rangers,1,1,D,0,0,D,6,14,2,7
19/08/06,Dundee United,Dunfermline,0,0,D,0,0,D,9,5,3,1
19/08/06,Falkirk,Kilmarnock,1,2,A,1,1,D,17,5,8,4
19/08/06,Hibernian,Motherwell,3,1,H,1,0,H,13,5,7,2
19/08/06,Rangers,Hearts,2,0,H,0,0,D,17,5,10,2
19/08/06,St Mirren,Aberdeen,1,1,D,0,1,A,13,6,3,3
20/08/06,Inverness C,Celtic,1,1,D,0,1,A,9,10,4,5
26/08/06,Aberdeen,Dunfermline,1,0,H,0,0,D,9,3,6,2
26/08/06,Celtic,Hibernian,2,1,H,0,1,A,12,8,7,3
26/08/06,Falkirk,Motherwell,0,1,A,0,0,D,4,10,2,2
26/08/06,Hearts,Inverness C,4,1,H,2,1,H,14,15,9,7
26/08/06,St Mirren,Dundee United,1,3,A,0,2,A,14,13,3,6
27/08/06,Kilmarnock,Rangers,2,2,D,0,1,A,6,19,4,11
09/09/06,Aberdeen,Celtic,0,1,A,0,0,D,2,8,2,5
09/09/06,Dunfermline,Kilmarnock,3,2,H,1,1,D,8,6,5,3
09/09/06,Hearts,St Mirren,0,1,A,0,0,D,14,9,5,3
09/09/06,Motherwell,Inverness C,1,4,A,0,1,A,9,7,5,5
09/09/06,Rangers,Falkirk,4,0,H,2,0,H,16,9,7,1
10/09/06,Dundee United,Hibernian,0,3,A,0,0,D,11,19,3,13
16/09/06,Celtic,Dunfermline,1,0,H,1,0,H,21,6,11,2
16/09/06,Falkirk,Aberdeen,0,2,A,0,0,D,10,10,2,3
16/09/06,Inverness C,Dundee United,0,0,D,0,0,D,14,6,7,3
16/09/06,St Mirren,Kilmarnock,0,1,A,0,0,D,6,9,3,3
17/09/06,Hibernian,Rangers,2,1,H,1,0,H,11,7,7,2
17/09/06,Motherwell,Hearts,0,1,A,0,0,D,8,8,4,2
23/09/06,Celtic,Rangers,2,0,H,1,0,H,10,7,7,2
23/09/06,Dundee United,Motherwell,1,1,D,0,0,D,13,6,6,1
23/09/06,Dunfermline,St Mirren,2,1,H,0,1,A,11,8,6,3
23/09/06,Hibernian,Falkirk,0,1,A,0,1,A,9,10,4,6
23/09/06,Kilmarnock,Inverness C,1,1,D,1,1,D,9,10,5,5
