Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SC0,05/10/2019,15:00,Ross County,St Johnstone,2,2,D,1,1,D,E Anderson,7,17,3,10,14,11,6,12,2,3,0,0
SC0,06/10/2019,12:00,Livingston,Celtic,2,0,H,0,0,D,W Collum,10,12,4,4,19,11,0,7,3,2,0,1
SC0,06/10/2019,15:00,Rangers,Hamilton,5,0,H,2,0,H,N Walsh,23,3,11,0,11,7,8,0,0,1,0,0
SC0,19/10/2019,15:00,Celtic,Ross County,6,0,H,1,0,H,D Robertson,28,2,14,1,11,9,12,0,0,1,0,0
SC0,19/10/2019,15:00,Hamilton,Hibernian,1,1,D,0,1,A,J Beaton,6,10,2,3,9,13,6,8,1,1,0,0
SC0,19/10/2019,15:00,Kilmarnock,Livingston,2,1,H,1,0,H,S McLean,11,10,4,3,12,17,2,2,2,2,0,0
SC0,19/10/2019,15:00,Motherwell,Aberdeen,0,3,A,0,1,A,E Anderson,12,12,6,6,9,12,2,5,1,2,0,0
SC0,19/10/2019,15:00,St Mirren,St Johnstone,2,0,H,1,0,H,N Walsh,12,10,5,2,17,18,6,1,1,2,0,0
SC0,20/10/2019,12:15,Hearts,Rangers,1,1,D,1,1,D,K Clancy,6,6,4,1,15,14,2,9,4,4,0,0
SC0,26/10/2019,15:00,Hibernian,Ross County,2,2,D,0,0,D,S McLean,13,7,6,3,15,10,5,5,1,1,0,0
SC0,26/10/2019,15:00,Kilmarnock,St Mirren,1,0,H,0,0,D,W Collum,5,9,3,3,11,13,3,4,0,0,0,0
SC0,26/10/2019,15:00,Livingston,Hearts,0,0,D,0,0,D,G Aitken,4,10,2,6,13,11,5,3,4,3,1,0
SC0,26/10/2019,15:00,St Johnstone,Hamilton,3,2,H,1,1,D,A Muir,20,4,5,2,15,16,10,3,0,1,0,0
SC0,27/10/2019,12:15,Aberdeen,Celtic,0,4,A,0,4,A,J Beaton,1,15,0,5,13,8,2,8,1,0,0,0
SC0,27/10/2019,15:00,Rangers,Motherwell,2,1,H,1,1,D,A Dallas,19,4,6,1,10,10,5,1,0,3,0,0
SC0,30/10/2019,19:45,Celtic,St Mirren,2,0,H,0,0,D,K Clancy,24,5,9,1,9,5,4,1,0,1,0,0
SC0,30/10/2019,19:45,Hamilton,Aberdeen,0,1,A,0,1,A,W Collum,6,12,2,4,17,23,3,11,1,1,0,0
SC0,30/10/2019,19:45,Hibernian,Livingston,2,2,D,0,2,A,G Duncan,17,12,8,4,10,13,10,5,1,1,0,0
SC0,30/10/2019,19:45,Motherwell,Kilmarnock,2,1,H,1,1,D,D Robertson,14,8,4,3,13,8,8,7,1,2,0,1
SC0,30/10/2019,19:45,Ross County,Rangers,0,4,A,0,3,A,B Madden,2,20,0,6,15,10,0,9,1,0,0,0
SC0,30/10/2019,19:45,St Johnstone,Hearts,1,0,H,0,0,D,D Munro,7,3,3,1,8,21,4,4,1,4,0,0
