Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
11/12/96,Motherwell,Raith Rvs,0,1,A
14/12/96,Aberdeen,Motherwell,0,0,D
14/12/96,Hibernian,Dundee United,1,1,D
14/12/96,Kilmarnock,Hearts,2,0,H
14/12/96,Rangers,Dunfermline,3,1,H
17/12/96,Rangers,Kilmarnock,4,2,H
21/12/96,Celtic,Dundee United,1,0,H
21/12/96,Hearts,Rangers,1,4,A
21/12/96,Kilmarnock,Aberdeen,3,0,H
21/12/96,Motherwell,Dunfermline,2,3,A
21/12/96,Raith Rvs,Hibernian,0,3,A
26/12/96,Aberdeen,Celtic,1,2,A
26/12/96,Dundee United,Motherwell,2,0,H
26/12/96,Dunfermline,Hearts,2,3,A
26/12/96,Hibernian,Kilmarnock,0,1,A
26/12/96,Rangers,Raith Rvs,4,0,H
28/12/96,Aberdeen,Hibernian,1,1,D
28/12/96,Celtic,Dunfermline,4,2,H
28/12/96,Hearts,Motherwell,4,1,H
28/12/96,Raith Rvs,Dundee United,0,1,A
01/01/97,Dundee United,Aberdeen,4,0,H
01/01/97,Dunfermline,Raith Rvs,2,0,H
01/01/97,Hibernian,Hearts,0,4,A
02/01/97,Rangers,Celtic,3,1,H
04/01/97,Aberdeen,Dunfermline,0,2,A
04/01/97,Celtic,Motherwell,5,0,H
04/01/97,Dundee United,Kilmarnock,2,0,H
04/01/97,Hibernian,Rangers,1,2,A
04/01/97,Raith Rvs,Hearts,1,2,A
08/01/97,Celtic,Kilmarnock,6,0,H
11/01/97,Dunfermline,Dundee United,1,3,A
11/01/97,Hearts,Celtic,1,2,A
11/01/97,Kilmarnock,Raith Rvs,0,1,A
11/01/97,Motherwell,Hibernian,2,1,H
12/01/97,Rangers,Aberdeen,4,0,H
14/01/97,Raith Rvs,Celtic,1,2,A
15/01/97,Kilmarnock,Rangers,1,1,D
18/01/97,Celtic,Hibernian,4,1,H
18/01/97,Hearts,Dundee United,1,2,A
18/01/97,Kilmarnock,Dunfermline,2,1,H
18/01/97,Motherwell,Rangers,1,3,A
18/01/97,Raith Rvs,Aberdeen,2,2,D
21/01/97,Motherwell,Kilmarnock,2,0,H
29/01/97,Dunfermline,Celtic,0,2,A
01/02/97,Aberdeen,Kilmarnock,2,1,H
01/02/97,Dundee United,Celtic,1,0,H
01/02/97,Dunfermline,Motherwell,3,1,H
01/02/97,Hibernian,Raith Rvs,1,1,D
01/02/97,Rangers,Hearts,0,0,D
06/02/97,Celtic,Raith Rvs,2,0,H
08/02/97,Dundee United,Hibernian,0,0,D
08/02/97,Dunfermline,Rangers,0,3,A
08/02/97,Hearts,Kilmarnock,2,0,H
08/02/97,Motherwell,Aberdeen,2,2,D
10/02/97,Aberdeen,Hearts,0,0,D
18/02/97,Raith Rvs,Motherwell,1,5,A
22/02/97,Dunfermline,Aberdeen,3,0,H
22/02/97,Hearts,Raith Rvs,3,2,H
22/02/97,Kilmarnock,Dundee United,2,3,A
22/02/97,Motherwell,Celtic,0,1,A
23/02/97,Rangers,Hibernian,3,1,H
01/03/97,Aberdeen,Rangers,2,2,D
01/03/97,Celtic,Hearts,2,0,H
01/03/97,Dundee United,Dunfermline,2,1,H
01/03/97,Hibernian,Motherwell,1,1,D
05/03/97,Raith Rvs,Kilmarnock,2,1,H
08/03/97,Hibernian,Dunfermline,1,0,H
11/03/97,Kilmarnock,Celtic,2,0,H
12/03/97,Rangers,Dundee United,0,2,A
15/03/97,Aberdeen,Dundee United,1,1,D
15/03/97,Hearts,Hibernian,1,0,H
15/03/97,Kilmarnock,Motherwell,1,0,H
15/03/97,Raith Rvs,Dunfermline,0,1,A
16/03/97,Celtic,Rangers,0,1,A
22/03/97,Dundee United,Raith Rvs,2,1,H
22/03/97,Dunfermline,Celtic,2,2,D
22/03/97,Hibernian,Aberdeen,3,1,H
22/03/97,Motherwell,Hearts,0,1,A
22/03/97,Rangers,Kilmarnock,1,2,A
05/04/97,Aberdeen,Motherwell,0,0,D
05/04/97,Hibernian,Dundee United,2,0,H
05/04/97,Kilmarnock,Hearts,1,0,H
05/04/97,Raith Rvs,Celtic,1,1,D
05/04/97,Rangers,Dunfermline,4,0,H
12/04/97,Dunfermline,Hibernian,1,1,D
12/04/97,Hearts,Aberdeen,0,0,D
12/04/97,Motherwell,Raith Rvs,5,0,H
15/04/97,Raith Rvs,Rangers,0,6,A
19/04/97,Hearts,Dunfermline,1,1,D
19/04/97,Kilmarnock,Hibernian,1,1,D
19/04/97,Motherwell,Dundee United,1,1,D
20/04/97,Celtic,Aberdeen,3,0,H
03/05/97,Aberdeen,Raith Rvs,2,0,H
03/05/97,Dundee United,Hearts,1,0,H
03/05/97,Dunfermline,Kilmarnock,3,1,H
04/05/97,Hibernian,Celtic,1,3,A
05/05/97,Rangers,Motherwell,0,2,A
07/05/97,Celtic,Kilmarnock,0,0,D
07/05/97,Dundee United,Rangers,0,1,A
10/05/97,Celtic,Dundee United,3,0,H
10/05/97,Hearts,Rangers,3,1,H
10/05/97,Kilmarnock,Aberdeen,1,1,D
10/05/97,Motherwell,Dunfermline,2,2,D
10/05/97,Raith Rvs,Hibernian,1,1,D
