Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
10/08/96,Aberdeen,Celtic,2,2,D
10/08/96,Dundee United,Motherwell,1,1,D
10/08/96,Hibernian,Kilmarnock,1,2,A
10/08/96,Rangers,Raith Rvs,1,0,H
17/08/96,Celtic,Raith Rvs,4,1,H
17/08/96,Dundee United,Hibernian,0,1,A
17/08/96,Dunfermline,Rangers,2,5,A
17/08/96,Hearts,Kilmarnock,3,2,H
17/08/96,Motherwell,Aberdeen,2,2,D
24/08/96,Hibernian,Dunfermline,0,0,D
24/08/96,Kilmarnock,Celtic,1,3,A
24/08/96,Raith Rvs,Motherwell,0,3,A
24/08/96,Rangers,Dundee United,1,0,H
25/08/96,Aberdeen,Hearts,4,0,H
07/09/96,Celtic,Hibernian,5,0,H
07/09/96,Hearts,Dundee United,1,0,H
07/09/96,Kilmarnock,Dunfermline,2,2,D
07/09/96,Motherwell,Rangers,0,1,A
07/09/96,Raith Rvs,Aberdeen,1,4,A
10/09/96,Dunfermline,Hearts,2,1,H
14/09/96,Aberdeen,Kilmarnock,3,0,H
14/09/96,Dundee United,Celtic,1,2,A
14/09/96,Dunfermline,Motherwell,1,1,D
14/09/96,Hibernian,Raith Rvs,1,0,H
14/09/96,Rangers,Hearts,3,0,H
21/09/96,Aberdeen,Hibernian,0,2,A
21/09/96,Celtic,Dunfermline,5,1,H
21/09/96,Hearts,Motherwell,1,1,D
21/09/96,Kilmarnock,Rangers,1,4,A
21/09/96,Raith Rvs,Dundee United,3,2,H
28/09/96,Dundee United,Aberdeen,1,0,H
28/09/96,Dunfermline,Raith Rvs,3,1,H
28/09/96,Hibernian,Hearts,1,3,A
28/09/96,Motherwell,Kilmarnock,1,0,H
28/09/96,Rangers,Celtic,2,0,H
12/10/96,Aberdeen,Dunfermline,3,0,H
12/10/96,Celtic,Motherwell,1,0,H
12/10/96,Dundee United,Kilmarnock,0,0,D
12/10/96,Hibernian,Rangers,2,1,H
12/10/96,Raith Rvs,Hearts,1,1,D
19/10/96,Dunfermline,Dundee United,1,1,D
19/10/96,Kilmarnock,Raith Rvs,2,1,H
19/10/96,Motherwell,Hibernian,1,1,D
19/10/96,Rangers,Aberdeen,2,2,D
20/10/96,Hearts,Celtic,2,2,D
26/10/96,Aberdeen,Raith Rvs,1,0,H
26/10/96,Dundee United,Hearts,1,0,H
26/10/96,Dunfermline,Kilmarnock,2,1,H
26/10/96,Hibernian,Celtic,0,4,A
26/10/96,Rangers,Motherwell,5,0,H
01/11/96,Kilmarnock,Hibernian,4,2,H
02/11/96,Celtic,Aberdeen,1,0,H
02/11/96,Hearts,Dunfermline,2,0,H
02/11/96,Motherwell,Dundee United,1,3,A
02/11/96,Raith Rvs,Rangers,2,2,D
11/11/96,Motherwell,Hearts,0,2,A
14/11/96,Celtic,Rangers,0,1,A
16/11/96,Aberdeen,Dundee United,3,3,D
16/11/96,Hearts,Hibernian,0,0,D
16/11/96,Kilmarnock,Motherwell,2,4,A
16/11/96,Raith Rvs,Dunfermline,1,2,A
23/11/96,Dundee United,Raith Rvs,1,2,A
23/11/96,Hibernian,Aberdeen,0,1,A
30/11/96,Celtic,Hearts,2,2,D
30/11/96,Dundee United,Dunfermline,1,1,D
30/11/96,Hibernian,Motherwell,2,0,H
30/11/96,Raith Rvs,Kilmarnock,1,0,H
01/12/96,Aberdeen,Rangers,0,3,A
07/12/96,Dunfermline,Aberdeen,2,3,A
07/12/96,Hearts,Raith Rvs,0,0,D
07/12/96,Kilmarnock,Dundee United,0,2,A
07/12/96,Motherwell,Celtic,2,1,H
07/12/96,Rangers,Hibernian,4,3,H
10/12/96,Dundee United,Rangers,1,0,H
11/12/96,Dunfermline,Hibernian,2,1,H
11/12/96,Hearts,Aberdeen,1,2,A
