Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
07/08/04,Aberdeen,Rangers,0,0,D,0,0,D,2,6,2,4,19,18,1,5,2,0,0,0
07/08/04,Dundee,Hearts,0,1,A,0,0,D,1,12,1,6,12,10,3,2,1,3,0,0
07/08/04,Dunfermline,Dundee United,1,1,D,0,0,D,10,6,3,3,11,10,6,5,2,1,0,0
07/08/04,Hibernian,Kilmarnock,0,1,A,0,0,D,9,10,5,4,13,11,5,7,1,1,0,0
07/08/04,Livingston,Inverness C,3,0,H,1,0,H,16,9,8,1,21,11,6,5,2,1,0,0
08/08/04,Celtic,Motherwell,2,0,H,1,0,H,17,5,8,1,8,11,8,4,0,0,0,0
14/08/04,Hearts,Aberdeen,0,0,D,0,0,D,11,4,6,2,18,18,4,3,2,3,0,0
14/08/04,Kilmarnock,Celtic,2,4,A,2,3,A,5,8,4,5,14,9,2,0,1,0,1,0
14/08/04,Motherwell,Hibernian,1,2,A,1,1,D,16,11,11,8,16,17,3,2,1,2,0,2
14/08/04,Rangers,Livingston,4,0,H,2,0,H,13,6,10,3,14,13,13,4,1,0,0,0
15/08/04,Dundee United,Dundee,1,2,A,0,1,A,17,7,12,2,12,9,12,2,0,2,0,0
15/08/04,Inverness C,Dunfermline,2,0,H,1,0,H,8,5,6,1,6,11,4,4,0,1,0,0
21/08/04,Dundee,Motherwell,1,2,A,0,1,A,9,14,7,9,15,12,6,8,1,0,0,0
21/08/04,Dunfermline,Aberdeen,0,1,A,0,1,A,10,3,3,2,13,22,6,3,1,4,0,0
21/08/04,Hearts,Kilmarnock,3,0,H,1,0,H,9,6,5,0,16,23,6,5,1,1,0,0
21/08/04,Livingston,Dundee United,1,1,D,0,0,D,18,11,11,5,15,12,4,5,0,0,0,0
21/08/04,Rangers,Hibernian,4,1,H,2,1,H,17,10,12,8,16,22,4,5,3,4,0,0
22/08/04,Inverness C,Celtic,1,3,A,1,1,D,1,15,0,9,13,9,4,9,3,0,1,0
28/08/04,Aberdeen,Livingston,2,0,H,0,0,D,13,0,9,0,15,16,7,3,1,5,0,0
28/08/04,Dundee United,Inverness C,2,1,H,0,0,D,11,7,8,4,11,15,13,3,2,0,0,0
28/08/04,Hibernian,Dundee,4,4,D,2,1,H,11,10,9,5,16,5,5,7,0,2,0,0
28/08/04,Motherwell,Hearts,2,0,H,0,0,D,8,8,4,5,14,18,7,2,1,4,0,0
29/08/04,Celtic,Rangers,1,0,H,0,0,D,10,8,4,1,13,17,6,4,1,2,0,0
29/08/04,Kilmarnock,Dunfermline,1,0,H,1,0,H,9,8,2,6,15,10,6,6,3,1,0,0
11/09/04,Celtic,Dundee,3,0,H,2,0,H,21,3,15,2,15,14,8,1,0,0,0,0
11/09/04,Dundee United,Aberdeen,1,1,D,0,1,A,9,7,6,3,14,14,6,3,1,3,0,0
11/09/04,Dunfermline,Motherwell,1,1,D,1,0,H,12,12,5,6,8,12,3,8,0,0,0,0
11/09/04,Inverness C,Hibernian,1,2,A,1,1,D,6,7,5,5,15,13,4,10,4,0,0,0
11/09/04,Livingston,Kilmarnock,0,2,A,0,0,D,14,11,7,7,18,19,5,1,2,2,0,0
12/09/04,Hearts,Rangers,0,0,D,0,0,D,10,7,5,3,22,21,4,7,3,3,0,0
18/09/04,Dundee,Livingston,0,0,D,0,0,D,6,3,2,2,15,14,3,5,1,2,1,1
18/09/04,Kilmarnock,Aberdeen,0,1,A,0,0,D,6,5,1,4,9,12,5,4,0,1,0,0
18/09/04,Motherwell,Dundee United,4,2,H,0,1,A,13,6,6,4,15,11,1,3,0,1,0,0
19/09/04,Dunfermline,Hearts,1,0,H,0,0,D,13,6,8,4,11,24,9,2,0,1,0,0
19/09/04,Hibernian,Celtic,2,2,D,2,2,D,7,15,1,11,14,14,3,7,2,2,0,0
19/09/04,Rangers,Inverness C,1,0,H,1,0,H,14,9,7,0,11,16,8,7,1,3,0,1
25/09/04,Aberdeen,Hibernian,0,1,A,0,0,D,9,8,5,5,11,8,8,0,0,1,0,0
25/09/04,Celtic,Dunfermline,3,0,H,2,0,H,19,10,12,5,15,10,15,7,1,2,0,0
25/09/04,Hearts,Inverness C,1,0,H,1,0,H,9,4,3,0,19,15,3,2,2,1,0,0
25/09/04,Kilmarnock,Dundee United,5,2,H,4,1,H,10,10,5,5,19,14,3,11,0,2,0,0
25/09/04,Livingston,Motherwell,2,3,A,2,1,H,6,16,6,9,12,17,5,10,2,1,0,0
26/09/04,Dundee,Rangers,0,2,A,0,0,D,10,13,5,10,11,15,1,8,1,1,0,0
02/10/04,Aberdeen,Dundee,1,1,D,1,1,D,9,4,1,4,7,8,9,2,0,2,0,1
02/10/04,Dunfermline,Hibernian,1,1,D,0,1,A,13,15,8,9,11,7,4,6,1,1,0,0
03/10/04,Dundee United,Celtic,0,3,A,0,3,A,8,14,4,9,18,13,5,3,1,1,0,0
03/10/04,Hearts,Livingston,0,0,D,0,0,D,13,11,6,4,19,25,12,3,3,3,0,0
