Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
05/08/17,Celtic,Hearts,4,1,H,1,0,H,17,4,7,3
05/08/17,Dundee,Ross County,1,2,A,0,1,A,13,14,6,5
05/08/17,Hibernian,Partick,3,1,H,2,1,H,12,6,6,3
05/08/17,Kilmarnock,St Johnstone,1,2,A,0,1,A,12,8,4,2
06/08/17,Aberdeen,Hamilton,2,0,H,1,0,H,17,5,7,3
06/08/17,Motherwell,Rangers,1,2,A,1,1,D,10,15,2,3
11/08/17,Partick,Celtic,0,1,A,0,1,A,3,17,1,6
12/08/17,Hamilton,Dundee,3,0,H,2,0,H,13,11,7,4
12/08/17,Kilmarnock,Hearts,0,1,A,0,1,A,8,9,3,4
12/08/17,Rangers,Hibernian,2,3,A,1,2,A,12,13,2,4
12/08/17,Ross County,Aberdeen,1,2,A,1,1,D,5,13,3,7
12/08/17,St Johnstone,Motherwell,4,1,H,2,1,H,9,11,7,3
19/08/17,Aberdeen,Dundee,2,1,H,1,0,H,10,9,6,1
19/08/17,Hibernian,Hamilton,1,3,A,0,0,D,15,18,9,8
19/08/17,Kilmarnock,Celtic,0,2,A,0,1,A,3,15,0,6
19/08/17,Motherwell,Ross County,2,0,H,0,0,D,7,11,3,3
19/08/17,Rangers,Hearts,0,0,D,0,0,D,10,7,2,0
19/08/17,St Johnstone,Partick,1,0,H,1,0,H,7,6,3,3
26/08/17,Celtic,St Johnstone,1,1,D,0,1,A,31,7,11,3
26/08/17,Kilmarnock,Hamilton,2,2,D,1,0,H,6,14,2,6
26/08/17,Motherwell,Hearts,2,1,H,2,1,H,8,11,3,5
26/08/17,Partick,Aberdeen,3,4,A,2,2,D,5,16,3,8
27/08/17,Dundee,Hibernian,1,1,D,1,1,D,5,16,3,9
27/08/17,Ross County,Rangers,1,3,A,0,2,A,8,14,2,3
08/09/17,Hamilton,Celtic,1,4,A,0,3,A,5,15,4,6
09/09/17,Hearts,Aberdeen,0,0,D,0,0,D,18,11,9,4
09/09/17,Motherwell,Kilmarnock,2,0,H,0,0,D,15,5,8,2
09/09/17,Rangers,Dundee,4,1,H,1,0,H,19,7,10,1
09/09/17,Ross County,Partick,1,1,D,0,1,A,16,9,6,5
09/09/17,St Johnstone,Hibernian,1,1,D,0,0,D,5,15,1,2
15/09/17,Partick,Rangers,2,2,D,0,1,A,5,17,2,4
16/09/17,Aberdeen,Kilmarnock,1,1,D,1,0,H,15,10,5,5
16/09/17,Celtic,Ross County,4,0,H,2,0,H,30,7,9,5
16/09/17,Dundee,St Johnstone,3,2,H,1,0,H,15,10,7,6
16/09/17,Hamilton,Hearts,1,2,A,1,2,A,7,9,2,6
16/09/17,Hibernian,Motherwell,2,2,D,1,0,H,10,8,5,4
23/09/17,Kilmarnock,Dundee,1,1,D,0,1,A,11,7,7,3
23/09/17,Partick,Hearts,1,1,D,1,0,H,15,13,9,4
23/09/17,Rangers,Celtic,0,2,A,0,0,D,6,18,1,7
23/09/17,Ross County,Hibernian,0,1,A,0,1,A,8,15,3,7
23/09/17,St Johnstone,Hamilton,2,1,H,0,1,A,8,16,2,6
24/09/17,Motherwell,Aberdeen,0,1,A,0,0,D,9,8,2,3
29/09/17,Hamilton,Rangers,1,4,A,1,3,A,13,5,9,5
30/09/17,Aberdeen,St Johnstone,3,0,H,2,0,H,13,4,7,0
30/09/17,Celtic,Hibernian,2,2,D,1,0,H,13,15,5,7
30/09/17,Dundee,Hearts,2,1,H,1,0,H,9,11,6,4
30/09/17,Kilmarnock,Ross County,0,2,A,0,2,A,9,9,1,6
30/09/17,Motherwell,Partick,3,0,H,1,0,H,16,4,7,0
