Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
23/07/11,Aberdeen,St Johnstone,0,0,D,0,0,D,9,6,4,2,7,13,14,5,1,2,1,0
23/07/11,Motherwell,Inverness C,3,0,H,2,0,H,12,11,7,2,12,12,5,6,3,1,0,0
23/07/11,Rangers,Hearts,1,1,D,0,1,A,7,10,4,8,9,13,4,4,1,1,0,0
24/07/11,Dundee United,Kilmarnock,1,1,D,0,0,D,11,9,4,4,7,8,13,10,1,1,0,0
24/07/11,Hibernian,Celtic,0,2,A,0,1,A,0,6,0,4,15,15,0,6,1,0,0,0
25/07/11,Dunfermline,St Mirren,0,0,D,0,0,D,5,16,1,7,17,18,2,9,3,2,0,0
30/07/11,Inverness C,Hibernian,0,1,A,0,0,D,10,5,2,4,3,9,8,4,0,1,0,0
30/07/11,Kilmarnock,Motherwell,0,0,D,0,0,D,10,5,4,3,5,6,7,14,0,0,0,0
30/07/11,St Johnstone,Rangers,0,2,A,0,1,A,10,12,4,10,9,15,2,6,1,1,0,0
30/07/11,St Mirren,Aberdeen,1,0,H,0,0,D,12,7,5,5,10,17,7,1,3,4,0,0
31/07/11,Hearts,Dundee United,0,1,A,0,1,A,8,5,2,2,8,10,9,6,1,1,0,0
06/08/11,Dundee United,St Mirren,1,1,D,0,1,A,26,7,10,4,9,9,9,1,1,3,0,1
06/08/11,Dunfermline,Inverness C,3,3,D,1,0,H,4,3,3,3,12,12,7,7,2,3,0,0
07/08/11,Aberdeen,Celtic,0,1,A,0,0,D,6,25,3,13,11,9,5,5,2,1,0,0
07/08/11,Motherwell,Hearts,1,0,H,0,0,D,12,9,9,6,12,9,10,7,1,1,1,1
13/08/11,Celtic,Dundee United,5,1,H,2,1,H,17,6,9,3,10,14,5,7,1,3,0,0
13/08/11,Hearts,Aberdeen,3,0,H,2,0,H,7,7,6,1,11,18,1,3,1,1,0,0
13/08/11,Inverness C,Rangers,0,2,A,0,0,D,6,8,3,4,11,9,1,5,2,2,1,1
13/08/11,St Johnstone,Dunfermline,0,1,A,0,1,A,7,5,3,3,12,11,6,3,1,2,0,1
13/08/11,St Mirren,Motherwell,0,1,A,0,0,D,3,6,3,5,7,15,6,5,2,2,0,0
14/08/11,Kilmarnock,Hibernian,4,1,H,2,1,H,15,10,8,4,6,20,3,3,0,3,0,0
20/08/11,Aberdeen,Inverness C,2,1,H,2,0,H,14,11,7,6,12,6,6,6,0,3,0,0
20/08/11,Dundee United,Dunfermline,0,1,A,0,0,D,7,3,4,1,12,14,13,1,1,1,0,0
20/08/11,Hibernian,St Mirren,1,2,A,1,2,A,9,6,1,3,16,9,6,2,1,1,0,0
21/08/11,Celtic,St Johnstone,0,1,A,0,0,D,17,5,7,3,8,6,9,7,0,3,0,0
21/08/11,Kilmarnock,Hearts,0,0,D,0,0,D,6,12,1,8,9,11,2,7,0,4,0,0
21/08/11,Motherwell,Rangers,0,3,A,0,2,A,5,16,5,9,8,11,10,6,1,2,0,0
27/08/11,Dunfermline,Motherwell,2,4,A,0,2,A,8,6,2,4,12,6,3,3,2,1,0,0
27/08/11,Inverness C,Kilmarnock,2,1,H,1,1,D,11,9,5,4,17,15,4,5,3,2,0,0
27/08/11,St Johnstone,Dundee United,3,3,D,3,1,H,10,13,7,6,12,13,8,6,2,0,0,0
28/08/11,Hearts,Hibernian,2,0,H,1,0,H,15,9,7,5,20,15,8,3,1,5,0,0
28/08/11,Rangers,Aberdeen,2,0,H,1,0,H,15,8,7,4,10,7,3,2,2,1,0,0
28/08/11,St Mirren,Celtic,0,2,A,0,2,A,13,13,8,7,12,13,10,6,0,0,0,0
10/09/11,Celtic,Motherwell,4,0,H,2,0,H,16,4,8,1,10,8,6,8,1,2,0,0
10/09/11,Dundee United,Rangers,0,1,A,0,0,D,13,13,5,6,9,7,10,10,2,3,1,0
10/09/11,Inverness C,Hearts,1,1,D,0,0,D,6,5,3,3,15,12,2,6,1,2,0,0
10/09/11,Kilmarnock,Dunfermline,3,2,H,2,1,H,7,6,4,2,1,4,3,5,1,3,0,0
10/09/11,St Mirren,St Johnstone,0,0,D,0,0,D,10,8,4,1,10,17,4,2,3,4,0,0
11/09/11,Hibernian,Aberdeen,0,0,D,0,0,D,12,7,7,4,10,11,6,10,4,1,0,0
17/09/11,Aberdeen,Kilmarnock,2,2,D,1,2,A,12,4,5,3,12,15,8,3,2,3,0,0
17/09/11,Dundee United,Inverness C,3,1,H,2,1,H,7,8,5,3,10,11,7,8,1,2,0,0
17/09/11,Dunfermline,Hibernian,2,2,D,0,1,A,11,16,5,10,7,9,6,8,0,3,0,0
17/09/11,Hearts,St Mirren,2,0,H,1,0,H,5,1,0,1,11,10,13,2,1,3,0,0
17/09/11,Motherwell,St Johnstone,0,3,A,0,1,A,6,7,3,6,3,12,5,4,0,2,0,0
18/09/11,Rangers,Celtic,4,2,H,1,2,A,13,6,6,5,8,19,3,3,0,2,0,1
24/09/11,Celtic,Inverness C,2,0,H,2,0,H,7,4,4,2,7,13,5,9,0,1,0,0
24/09/11,Dunfermline,Rangers,0,4,A,0,2,A,5,17,4,10,9,10,4,11,1,0,0,0
24/09/11,Hibernian,Dundee United,3,3,D,1,2,A,9,7,7,4,8,7,7,4,2,2,0,0
24/09/11,Motherwell,Aberdeen,1,0,H,0,0,D,8,8,5,7,10,18,2,5,1,2,0,0
24/09/11,St Mirren,Kilmarnock,3,0,H,2,0,H,11,7,5,4,11,8,1,9,2,3,0,0
25/09/11,St Johnstone,Hearts,2,0,H,1,0,H,6,7,3,4,17,10,5,6,3,4,0,0
27/09/11,Rangers,Kilmarnock,2,0,H,0,0,D,23,6,9,2,9,9,13,7,1,3,0,0
28/09/11,Hibernian,St Johnstone,3,2,H,2,1,H,6,10,2,2,10,4,3,4,1,1,0,0
30/09/11,Aberdeen,Dunfermline,4,0,H,3,0,H,27,6,12,3,13,5,15,4,0,0,0,0
01/10/11,Dundee United,Motherwell,1,3,A,0,2,A,6,4,3,2,8,9,3,4,0,0,0,0
01/10/11,Inverness C,St Mirren,2,1,H,1,1,D,9,4,5,3,16,12,8,7,1,1,0,0
01/10/11,Kilmarnock,St Johnstone,1,2,A,1,1,D,12,7,7,5,4,5,12,9,1,1,0,0
01/10/11,Rangers,Hibernian,1,0,H,0,0,D,16,10,10,3,7,12,6,3,1,1,0,0
02/10/11,Hearts,Celtic,2,0,H,0,0,D,7,13,4,7,16,17,3,12,2,1,0,1
15/10/11,Aberdeen,Dundee United,3,1,H,1,0,H,6,7,3,1,16,11,2,7,1,2,0,0
15/10/11,Dunfermline,Hearts,0,2,A,0,1,A,1,7,0,4,10,11,6,2,3,1,0,0
15/10/11,Hibernian,Motherwell,0,1,A,0,1,A,10,10,3,4,9,8,4,7,2,1,0,0
15/10/11,Kilmarnock,Celtic,3,3,D,3,0,H,11,14,7,8,14,10,3,2,3,3,0,0
15/10/11,Rangers,St Mirren,1,1,D,0,0,D,19,12,13,6,9,8,8,9,0,2,0,0
15/10/11,St Johnstone,Inverness C,2,0,H,1,0,H,11,4,5,1,11,11,5,6,2,1,0,0
22/10/11,Dundee United,St Johnstone,0,0,D,0,0,D,9,1,4,0,12,8,1,3,2,2,0,0
22/10/11,Inverness C,Dunfermline,1,1,D,1,0,H,10,8,5,2,11,7,6,6,2,0,0,0
22/10/11,Motherwell,Kilmarnock,0,0,D,0,0,D,9,14,5,7,12,15,12,5,3,1,0,0
22/10/11,St Mirren,Hibernian,2,3,A,2,3,A,16,7,8,5,5,17,6,3,1,1,0,0
23/10/11,Celtic,Aberdeen,2,1,H,1,0,H,15,2,7,1,4,17,7,4,0,5,0,1
23/10/11,Hearts,Rangers,0,2,A,0,1,A,16,7,12,4,12,14,6,3,4,2,0,0
29/10/11,Aberdeen,Rangers,1,2,A,0,0,D,7,9,5,5,16,13,1,2,4,2,1,0
29/10/11,Celtic,Hibernian,0,0,D,0,0,D,8,9,4,4,8,14,0,3,0,1,0,0
29/10/11,Dunfermline,Dundee United,1,4,A,0,2,A,6,15,3,9,7,2,6,8,2,1,1,0
29/10/11,Hearts,Kilmarnock,0,1,A,0,0,D,19,8,6,3,10,14,12,5,4,2,1,0
29/10/11,Inverness C,Motherwell,2,3,A,1,1,D,12,5,7,3,11,10,6,4,1,2,1,0
29/10/11,St Johnstone,St Mirren,0,1,A,0,0,D,9,13,3,4,10,6,6,9,1,1,0,0
05/11/11,Hibernian,Dunfermline,0,1,A,0,1,A,7,3,4,2,14,11,8,5,1,2,0,0
05/11/11,Kilmarnock,Inverness C,3,6,A,1,1,D,4,13,3,10,12,10,3,6,2,2,0,0
05/11/11,Rangers,Dundee United,3,1,H,1,0,H,8,5,5,2,5,8,3,2,2,1,1,0
05/11/11,St Mirren,Hearts,0,0,D,0,0,D,12,12,6,5,7,8,13,5,0,0,0,0
06/11/11,Motherwell,Celtic,1,2,A,1,1,D,4,5,3,4,20,8,11,2,2,1,1,0
19/11/11,Aberdeen,Motherwell,1,2,A,1,1,D,11,3,3,2,9,8,5,3,0,0,0,0
19/11/11,Dundee United,Hearts,1,0,H,1,0,H,4,7,1,3,11,6,4,6,4,2,0,0
19/11/11,Hibernian,Kilmarnock,1,1,D,0,1,A,7,16,5,10,16,10,0,3,3,1,0,0
19/11/11,Inverness C,Celtic,0,2,A,0,0,D,4,9,3,5,14,9,3,7,3,3,1,0
19/11/11,Rangers,St Johnstone,0,0,D,0,0,D,9,5,7,2,16,6,1,6,2,3,0,0
19/11/11,St Mirren,Dunfermline,2,1,H,2,0,H,16,7,8,3,11,16,8,4,1,1,0,0
23/11/11,Celtic,Dunfermline,2,1,H,2,0,H,16,6,7,2,10,11,2,4,1,0,0,0
26/11/11,Celtic,St Mirren,5,0,H,2,0,H,14,4,10,0,9,7,6,6,2,1,0,0
26/11/11,Dunfermline,Aberdeen,3,3,D,0,1,A,6,10,5,3,9,15,4,12,3,3,0,0
26/11/11,Hearts,Inverness C,2,1,H,0,0,D,14,7,12,2,9,10,5,3,2,1,0,0
26/11/11,Motherwell,Dundee United,0,0,D,0,0,D,5,9,4,7,11,6,5,8,1,0,0,0
26/11/11,St Johnstone,Hibernian,3,1,H,2,1,H,10,7,4,2,9,7,4,1,0,1,0,0
27/11/11,Kilmarnock,Rangers,1,0,H,0,0,D,8,10,6,6,15,9,7,4,1,1,0,0
03/12/11,Hearts,St Johnstone,1,2,A,0,1,A,7,4,4,1,12,14,9,5,1,2,0,0
03/12/11,Kilmarnock,Aberdeen,2,0,H,1,0,H,3,3,3,2,8,13,3,7,1,2,0,0
03/12/11,Rangers,Dunfermline,2,1,H,2,1,H,18,7,7,2,1,6,9,2,1,1,0,0
03/12/11,St Mirren,Inverness C,1,2,A,1,1,D,8,12,4,5,10,6,8,7,0,2,0,0
04/12/11,Dundee United,Celtic,0,1,A,0,1,A,4,12,1,4,7,8,2,6,2,0,0,0
10/12/11,Aberdeen,St Mirren,2,2,D,2,1,H,8,8,3,4,15,11,2,3,4,2,1,0
10/12/11,Celtic,Hearts,1,0,H,0,0,D,8,4,5,1,9,14,7,6,0,3,0,0
10/12/11,Hibernian,Rangers,0,2,A,0,0,D,8,4,4,2,13,8,4,4,1,3,0,0
10/12/11,Inverness C,Dundee United,2,3,A,1,0,H,7,4,4,2,17,14,4,10,2,2,1,0
10/12/11,St Johnstone,Motherwell,0,3,A,0,2,A,10,7,1,4,8,13,5,3,1,1,0,0
13/12/11,St Johnstone,Aberdeen,1,2,A,0,1,A,12,7,8,4,5,11,8,4,0,2,0,1
17/12/11,Aberdeen,Hibernian,1,0,H,0,0,D,3,13,1,9,14,14,2,7,1,3,1,0
17/12/11,Hearts,Dunfermline,4,0,H,2,0,H,16,8,8,2,6,16,7,6,2,4,0,0
17/12/11,Kilmarnock,Dundee United,1,1,D,0,0,D,9,19,4,7,7,7,1,11,0,0,0,0
17/12/11,Motherwell,St Mirren,1,1,D,0,0,D,11,16,8,10,18,5,11,7,5,2,0,0
17/12/11,Rangers,Inverness C,2,1,H,0,0,D,15,11,8,5,13,16,9,4,3,2,0,0
18/12/11,St Johnstone,Celtic,0,2,A,0,0,D,4,18,3,11,13,6,3,6,3,1,0,0
24/12/11,Celtic,Kilmarnock,2,1,H,1,0,H,10,5,4,2,12,14,8,2,1,2,0,0
24/12/11,Dundee United,Hibernian,3,1,H,0,1,A,7,4,4,3,5,4,8,6,1,4,0,0
24/12/11,Dunfermline,St Johnstone,0,3,A,0,1,A,1,10,0,5,8,9,2,6,0,0,0,0
24/12/11,Hearts,Motherwell,2,0,H,2,0,H,18,3,9,1,5,15,6,2,0,2,0,0
24/12/11,Inverness C,Aberdeen,2,1,H,0,0,D,11,5,5,2,11,17,5,4,2,1,0,0
24/12/11,St Mirren,Rangers,2,1,H,2,1,H,9,6,5,1,9,11,4,2,2,4,0,2
28/12/11,Aberdeen,Hearts,0,0,D,0,0,D,6,3,1,2,10,6,2,3,1,0,0,0
28/12/11,Celtic,Rangers,1,0,H,0,0,D,14,6,9,2,11,22,7,4,1,3,0,0
28/12/11,Hibernian,Inverness C,1,1,D,1,1,D,5,8,2,3,11,13,4,5,3,2,0,0
28/12/11,St Johnstone,Kilmarnock,2,0,H,2,0,H,12,13,8,6,14,8,6,11,1,1,0,0
28/12/11,St Mirren,Dundee United,2,2,D,2,2,D,13,12,7,9,7,12,10,9,0,1,0,0
02/01/12,Dundee United,Aberdeen,1,2,A,1,0,H,12,7,9,4,10,14,10,1,1,0,0,0
02/01/12,Dunfermline,Celtic,0,3,A,0,2,A,3,8,0,3,10,4,1,6,2,1,0,0
02/01/12,Hibernian,Hearts,1,3,A,0,0,D,7,14,2,8,17,7,2,2,4,1,0,0
02/01/12,Kilmarnock,St Mirren,2,1,H,1,1,D,8,10,4,4,10,11,4,4,1,0,0,0
02/01/12,Rangers,Motherwell,3,0,H,1,0,H,14,4,10,2,11,14,11,2,2,1,0,0
14/01/12,Aberdeen,Kilmarnock,0,0,D,0,0,D,7,6,1,3,7,5,9,2,1,1,0,0
14/01/12,Celtic,Dundee United,2,1,H,2,0,H,11,5,8,3,3,14,7,8,0,2,0,0
14/01/12,Dunfermline,Hibernian,2,3,A,1,1,D,10,9,6,8,12,12,5,8,2,5,0,0
14/01/12,Hearts,St Mirren,5,2,H,2,2,D,8,10,5,5,10,14,4,8,1,2,1,0
14/01/12,Motherwell,Inverness C,0,1,A,0,0,D,9,10,2,5,6,11,8,6,0,0,0,0
14/01/12,St Johnstone,Rangers,1,2,A,0,1,A,6,18,1,11,12,13,1,3,1,3,0,0
21/01/12,Dundee United,Motherwell,1,1,D,1,0,H,11,9,4,6,9,9,2,8,1,1,0,0
21/01/12,Hibernian,St Johnstone,2,3,A,0,1,A,10,9,3,3,11,19,6,4,2,4,0,0
21/01/12,Inverness C,Hearts,1,0,H,0,0,D,9,8,5,3,8,13,2,2,1,3,0,0
21/01/12,Kilmarnock,Dunfermline,0,3,A,0,1,A,10,8,2,6,10,18,8,2,0,0,0,0
21/01/12,Rangers,Aberdeen,1,1,D,0,0,D,18,7,8,5,6,18,12,4,1,3,0,0
21/01/12,St Mirren,Celtic,0,2,A,0,0,D,15,6,6,4,11,13,6,11,1,2,0,0
24/01/12,Motherwell,Dunfermline,3,1,H,1,0,H,6,9,4,5,14,13,3,6,3,1,1,0
28/01/12,Aberdeen,Dunfermline,1,0,H,1,0,H,16,3,7,3,8,11,5,6,0,1,0,0
28/01/12,Inverness C,St Mirren,0,0,D,0,0,D,11,9,2,6,9,14,5,4,3,2,0,0
28/01/12,Motherwell,St Johnstone,3,2,H,1,1,D,11,17,6,12,9,16,3,6,1,4,0,0
28/01/12,Rangers,Hibernian,4,0,H,1,0,H,19,9,8,5,9,10,2,1,1,2,0,1
07/02/12,Dunfermline,Kilmarnock,1,1,D,1,1,D,6,10,3,6,15,8,4,4,2,0,0,0
08/02/12,Hearts,Celtic,0,4,A,0,3,A,7,12,3,4,9,12,6,10,4,2,0,0
11/02/12,Celtic,Inverness C,1,0,H,1,0,H,6,3,4,0,13,14,4,4,0,4,1,1
11/02/12,Dunfermline,Rangers,1,4,A,1,2,A,6,13,4,7,12,7,3,9,2,1,0,0
