Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
04/08/2018,Celtic,Livingston,3,1,H,2,0,H,21,6,10,1,11,10,12,3,1,3,0,0
04/08/2018,Hamilton,Hearts,1,4,A,1,1,D,6,20,1,10,18,10,3,6,2,2,0,0
04/08/2018,Kilmarnock,St Johnstone,2,0,H,0,0,D,17,3,6,2,13,14,8,1,1,3,0,0
04/08/2018,St Mirren,Dundee,2,1,H,1,1,D,12,10,4,5,13,18,9,6,3,1,0,0
05/08/2018,Aberdeen,Rangers,1,1,D,0,1,A,6,8,1,3,12,11,4,2,3,2,0,1
05/08/2018,Hibernian,Motherwell,3,0,H,2,0,H,12,6,4,2,11,9,0,5,1,2,0,0
11/08/2018,Dundee,Aberdeen,0,1,A,0,0,D,11,15,1,3,12,15,8,12,1,3,0,0
11/08/2018,Hearts,Celtic,1,0,H,0,0,D,14,13,7,4,18,7,0,4,5,2,0,0
11/08/2018,Livingston,Kilmarnock,0,0,D,0,0,D,7,7,3,2,16,7,3,3,1,2,0,0
11/08/2018,Motherwell,Hamilton,0,1,A,0,0,D,13,6,4,2,13,14,4,2,3,2,0,0
12/08/2018,Rangers,St Mirren,2,0,H,2,0,H,11,6,8,1,11,18,5,4,1,4,1,0
12/08/2018,St Johnstone,Hibernian,1,1,D,1,0,H,12,16,1,6,7,12,10,7,1,0,0,0
25/08/2018,Hibernian,Aberdeen,1,1,D,0,1,A,15,6,5,4,13,17,7,5,4,5,0,0
25/08/2018,Kilmarnock,Hearts,0,1,A,0,0,D,8,11,2,4,13,19,2,6,0,3,1,0
25/08/2018,St Johnstone,Dundee,1,0,H,0,0,D,7,8,3,5,6,3,8,6,0,0,0,0
25/08/2018,St Mirren,Livingston,0,2,A,0,2,A,5,13,0,8,9,9,5,6,2,2,0,0
26/08/2018,Celtic,Hamilton,1,0,H,0,0,D,19,3,3,1,10,13,9,3,0,2,0,0
26/08/2018,Motherwell,Rangers,3,3,D,2,3,A,16,11,6,6,20,17,10,5,3,2,0,0
01/09/2018,Aberdeen,Kilmarnock,0,2,A,0,1,A,5,13,1,5,14,11,2,6,3,3,1,0
01/09/2018,Dundee,Motherwell,1,3,A,0,0,D,4,11,4,5,7,9,6,8,2,1,0,0
01/09/2018,Hamilton,St Johnstone,1,2,A,0,2,A,11,12,3,5,14,14,4,2,2,1,0,0
01/09/2018,Hearts,St Mirren,4,1,H,4,1,H,30,10,7,4,13,15,10,1,2,3,0,0
01/09/2018,Livingston,Hibernian,2,1,H,0,0,D,9,10,6,2,13,5,5,3,0,1,0,0
02/09/2018,Celtic,Rangers,1,0,H,0,0,D,16,6,9,2,14,16,14,4,2,4,0,0
14/09/2018,St Mirren,Celtic,0,0,D,0,0,D,6,13,2,4,9,18,4,5,1,2,0,1
15/09/2018,Hibernian,Kilmarnock,3,2,H,2,2,D,11,8,4,5,10,7,5,7,0,1,0,0
15/09/2018,Livingston,Hamilton,1,0,H,1,0,H,7,2,3,0,21,15,3,4,2,2,0,0
15/09/2018,Motherwell,Hearts,0,1,A,0,1,A,9,12,5,4,20,16,4,4,2,1,0,0
15/09/2018,Rangers,Dundee,4,0,H,3,0,H,19,8,10,1,18,12,15,5,2,3,0,1
15/09/2018,St Johnstone,Aberdeen,1,1,D,1,0,H,4,17,3,7,11,18,4,8,3,2,0,0
22/09/2018,Aberdeen,Motherwell,1,0,H,1,0,H,8,6,4,3,14,18,6,6,3,3,0,0
22/09/2018,Dundee,Hibernian,0,3,A,0,0,D,2,17,1,7,13,12,3,4,2,1,0,0
22/09/2018,Hamilton,St Mirren,3,0,H,2,0,H,12,4,4,2,13,14,4,3,2,3,0,0
22/09/2018,Hearts,Livingston,0,0,D,0,0,D,12,8,2,4,8,16,7,3,1,2,0,0
23/09/2018,Kilmarnock,Celtic,2,1,H,0,1,A,7,7,4,4,18,8,4,9,1,2,0,0
23/09/2018,Rangers,St Johnstone,5,1,H,2,0,H,21,11,10,3,9,10,7,4,0,2,0,0
29/09/2018,Celtic,Aberdeen,1,0,H,0,0,D,17,10,3,3,14,13,3,3,0,0,0,0
29/09/2018,Hamilton,Dundee,0,2,A,0,1,A,11,11,1,4,13,16,4,5,2,3,0,0
29/09/2018,Hearts,St Johnstone,2,1,H,1,0,H,22,9,10,3,13,8,9,2,0,0,0,0
29/09/2018,Kilmarnock,Motherwell,3,1,H,2,1,H,15,6,11,4,10,15,5,3,1,3,0,0
29/09/2018,St Mirren,Hibernian,0,1,A,0,1,A,7,15,1,5,5,21,4,8,0,4,0,0
30/09/2018,Livingston,Rangers,1,0,H,1,0,H,5,7,2,4,11,13,2,6,2,0,0,0
06/10/2018,Aberdeen,St Mirren,4,1,H,3,0,H,14,6,6,2,15,13,3,2,0,2,0,0
06/10/2018,Dundee,Kilmarnock,1,2,A,1,1,D,4,11,3,5,17,15,7,7,2,1,0,0
06/10/2018,Hibernian,Hamilton,6,0,H,3,0,H,20,5,8,1,9,12,5,0,0,0,0,0
06/10/2018,Motherwell,Livingston,1,1,D,1,0,H,8,6,4,2,15,12,2,5,2,3,1,0
07/10/2018,Rangers,Hearts,3,1,H,3,0,H,13,11,6,4,12,26,8,3,2,2,0,1
07/10/2018,St Johnstone,Celtic,0,6,A,0,5,A,3,30,2,16,10,5,3,12,2,0,1,0
20/10/2018,Celtic,Hibernian,4,2,H,2,0,H,19,11,8,4,2,18,5,7,1,2,0,0
20/10/2018,Hearts,Aberdeen,2,1,H,2,0,H,8,8,4,4,21,24,7,4,5,6,0,0
20/10/2018,Livingston,Dundee,4,0,H,2,0,H,10,8,4,3,19,12,4,2,2,1,0,0
20/10/2018,Motherwell,St Johnstone,0,1,A,0,0,D,10,10,2,6,16,4,4,8,2,0,0,0
20/10/2018,St Mirren,Kilmarnock,1,2,A,1,0,H,5,13,3,5,18,15,3,4,4,3,0,0
21/10/2018,Hamilton,Rangers,1,4,A,0,1,A,9,11,3,6,15,9,1,5,4,5,0,0
23/10/2018,Dundee,Hearts,0,3,A,0,2,A,11,15,2,8,14,9,3,6,1,1,0,0
27/10/2018,Kilmarnock,Hamilton,1,1,D,1,1,D,8,6,2,4,20,18,1,1,2,3,0,1
27/10/2018,St Johnstone,St Mirren,2,0,H,0,0,D,15,4,8,0,7,13,9,3,2,4,0,0
31/10/2018,Aberdeen,Hamilton,3,0,H,2,0,H,16,9,7,2,9,14,8,1,0,2,0,1
31/10/2018,Dundee,Celtic,0,5,A,0,4,A,2,20,0,7,11,13,0,7,4,1,0,0
31/10/2018,Hearts,Hibernian,0,0,D,0,0,D,9,11,1,2,13,20,8,5,3,3,0,1
31/10/2018,Livingston,St Johnstone,0,1,A,0,1,A,2,3,1,1,13,11,3,2,3,2,0,0
31/10/2018,Rangers,Kilmarnock,1,1,D,1,1,D,19,7,6,2,15,15,13,4,4,6,0,0
31/10/2018,St Mirren,Motherwell,0,2,A,0,1,A,6,13,2,5,7,18,2,7,2,3,1,0
03/11/2018,Celtic,Hearts,5,0,H,3,0,H,17,3,10,1,11,14,6,2,0,3,0,0
03/11/2018,Hamilton,Livingston,1,0,H,0,0,D,8,11,5,1,13,19,1,4,3,2,1,0
03/11/2018,Hibernian,St Johnstone,0,1,A,0,0,D,11,10,3,5,15,10,5,5,3,0,0,0
03/11/2018,Motherwell,Dundee,1,0,H,0,0,D,13,2,4,0,18,13,6,4,3,1,0,0
03/11/2018,St Mirren,Rangers,0,2,A,0,0,D,6,20,3,4,11,10,4,7,3,2,0,1
04/11/2018,Kilmarnock,Aberdeen,1,2,A,1,0,H,13,2,3,2,15,17,3,4,2,1,0,0
09/11/2018,Aberdeen,Hibernian,1,0,H,1,0,H,6,10,1,1,11,16,4,6,0,3,0,0
10/11/2018,Dundee,St Mirren,1,1,D,1,1,D,12,4,5,3,12,10,7,2,1,3,0,0
