Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
02/08/97,Aberdeen,Kilmarnock,0,0,D
02/08/97,Dunfermline,Motherwell,0,2,A
02/08/97,St Johnstone,Dundee United,1,1,D
03/08/97,Hibernian,Celtic,2,1,H
04/08/97,Rangers,Hearts,3,1,H
16/08/97,Celtic,Dunfermline,1,2,A
16/08/97,Hearts,Aberdeen,4,1,H
16/08/97,Motherwell,St Johnstone,0,1,A
17/08/97,Dundee United,Hibernian,1,1,D
23/08/97,Aberdeen,Motherwell,1,3,A
23/08/97,Dunfermline,Hearts,2,1,H
23/08/97,Hibernian,Kilmarnock,4,0,H
23/08/97,Rangers,Dundee United,5,1,H
23/08/97,St Johnstone,Celtic,0,2,A
30/08/97,Aberdeen,Dundee United,1,1,D
30/08/97,Dunfermline,St Johnstone,2,2,D
30/08/97,Hibernian,Hearts,0,1,A
13/09/97,Dundee United,Kilmarnock,1,2,A
13/09/97,Hibernian,Dunfermline,5,2,H
13/09/97,Motherwell,Celtic,2,3,A
13/09/97,Rangers,Aberdeen,3,3,D
13/09/97,St Johnstone,Hearts,1,2,A
20/09/97,Celtic,Aberdeen,2,0,H
20/09/97,Hearts,Dundee United,2,1,H
20/09/97,Motherwell,Hibernian,1,1,D
20/09/97,St Johnstone,Rangers,0,2,A
21/09/97,Dunfermline,Kilmarnock,1,1,D
24/09/97,Kilmarnock,Rangers,0,3,A
27/09/97,Aberdeen,Dunfermline,1,2,A
27/09/97,Dundee United,Celtic,1,2,A
27/09/97,Hibernian,St Johnstone,1,1,D
27/09/97,Kilmarnock,Hearts,0,3,A
27/09/97,Rangers,Motherwell,2,2,D
04/10/97,Celtic,Kilmarnock,4,0,H
04/10/97,Dunfermline,Dundee United,3,3,D
04/10/97,Hibernian,Rangers,3,4,A
04/10/97,Motherwell,Hearts,1,4,A
04/10/97,St Johnstone,Aberdeen,1,0,H
08/10/97,Kilmarnock,Motherwell,2,1,H
18/10/97,Aberdeen,Hibernian,2,0,H
18/10/97,Dundee United,Motherwell,4,0,H
18/10/97,Hearts,Celtic,1,2,A
18/10/97,Kilmarnock,St Johnstone,0,1,A
18/10/97,Rangers,Dunfermline,7,0,H
25/10/97,Celtic,St Johnstone,2,0,H
25/10/97,Dundee United,Rangers,2,1,H
25/10/97,Kilmarnock,Hibernian,2,1,H
25/10/97,Motherwell,Aberdeen,1,2,A
26/10/97,Hearts,Dunfermline,3,1,H
01/11/97,Aberdeen,Hearts,1,4,A
01/11/97,Dunfermline,Celtic,0,2,A
01/11/97,Hibernian,Dundee United,1,3,A
01/11/97,Rangers,Kilmarnock,4,1,H
01/11/97,St Johnstone,Motherwell,4,3,H
08/11/97,Hearts,Hibernian,2,0,H
08/11/97,Motherwell,Kilmarnock,0,1,A
08/11/97,Rangers,Celtic,1,0,H
08/11/97,St Johnstone,Dunfermline,0,2,A
