Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
06/08/16,Kilmarnock,Motherwell,1,2,A,0,1,A,9,7,8,7,7,8,5,3,1,3,0,0
06/08/16,Partick,Inverness C,2,0,H,1,0,H,6,8,3,2,20,10,2,5,2,1,0,0
06/08/16,Rangers,Hamilton,1,1,D,0,1,A,20,9,4,2,7,19,10,4,0,5,0,0
06/08/16,Ross County,Dundee,1,3,A,0,2,A,16,7,6,4,18,12,7,2,3,2,0,0
07/08/16,Hearts,Celtic,1,2,A,1,1,D,13,11,6,5,15,13,5,6,7,4,0,0
07/08/16,St Johnstone,Aberdeen,0,0,D,0,0,D,7,10,5,7,17,11,2,7,2,0,0,0
13/08/16,Aberdeen,Hearts,0,0,D,0,0,D,12,11,1,1,12,16,3,1,2,5,0,0
13/08/16,Dundee,Rangers,1,2,A,1,2,A,7,9,3,6,10,10,5,5,2,2,0,0
13/08/16,Hamilton,Kilmarnock,1,2,A,1,0,H,7,5,4,2,12,7,3,3,1,3,0,0
13/08/16,Inverness C,Ross County,2,3,A,1,2,A,12,12,8,5,12,14,6,4,4,5,0,0
13/08/16,Motherwell,St Johnstone,1,2,A,0,0,D,13,15,4,5,14,8,6,3,3,3,0,0
19/08/16,Dundee,Hamilton,1,1,D,1,1,D,8,8,5,4,8,13,4,6,1,2,0,0
20/08/16,Aberdeen,Partick,2,1,H,1,0,H,10,11,6,2,10,13,3,6,1,2,0,1
20/08/16,Hearts,Inverness C,5,1,H,2,0,H,18,13,10,7,14,15,6,8,1,4,0,0
20/08/16,Rangers,Motherwell,2,1,H,0,1,A,18,9,3,3,10,7,14,4,0,0,0,0
20/08/16,Ross County,Kilmarnock,2,0,H,1,0,H,11,4,2,0,16,12,6,4,1,1,0,0
20/08/16,St Johnstone,Celtic,2,4,A,0,3,A,7,19,5,5,12,10,1,6,3,4,0,0
26/08/16,Kilmarnock,Rangers,1,1,D,1,0,H,8,19,2,7,14,17,2,8,4,2,1,0
27/08/16,Celtic,Aberdeen,4,1,H,2,1,H,10,5,5,1,11,13,4,1,0,1,0,1
27/08/16,Hamilton,Ross County,1,0,H,0,0,D,15,4,9,1,15,15,6,5,3,2,0,0
27/08/16,Inverness C,St Johnstone,2,1,H,0,0,D,15,7,8,3,13,12,6,1,1,1,0,0
27/08/16,Motherwell,Dundee,0,0,D,0,0,D,17,11,5,3,5,11,8,5,1,2,0,0
27/08/16,Partick,Hearts,1,2,A,0,1,A,9,17,4,8,8,9,8,5,2,0,0,0
10/09/16,Aberdeen,Inverness C,1,1,D,0,0,D,3,1,2,1,10,12,5,2,0,3,0,0
10/09/16,Celtic,Rangers,5,1,H,2,1,H,20,6,9,2,12,13,3,1,4,2,0,1
10/09/16,Dundee,Kilmarnock,1,1,D,1,1,D,17,7,3,1,17,13,3,5,3,2,1,0
10/09/16,Hearts,Hamilton,3,1,H,0,0,D,22,6,10,1,10,9,8,3,3,3,0,0
10/09/16,Partick,St Johnstone,0,2,A,0,1,A,9,9,4,5,9,13,2,3,0,1,0,0
10/09/16,Ross County,Motherwell,1,1,D,0,0,D,11,6,3,4,10,17,3,3,1,2,1,0
17/09/16,Kilmarnock,Partick,2,2,D,1,1,D,8,11,6,7,12,12,9,7,2,1,0,1
17/09/16,Motherwell,Hamilton,4,2,H,3,1,H,13,21,4,5,13,15,5,4,3,4,0,0
17/09/16,Rangers,Ross County,0,0,D,0,0,D,16,4,5,2,9,16,14,1,1,1,0,0
17/09/16,St Johnstone,Hearts,1,0,H,0,0,D,11,16,7,7,16,15,6,11,6,1,0,0
18/09/16,Dundee,Aberdeen,1,3,A,1,1,D,7,7,2,3,18,13,1,5,3,4,1,0
18/09/16,Inverness C,Celtic,2,2,D,1,2,A,10,23,5,9,11,12,4,11,2,2,0,0
24/09/16,Celtic,Kilmarnock,6,1,H,2,1,H,23,4,9,2,8,8,4,1,0,2,0,0
24/09/16,Hearts,Ross County,0,0,D,0,0,D,16,1,6,0,14,18,9,4,2,3,0,1
24/09/16,Inverness C,Dundee,3,1,H,2,0,H,12,11,7,6,15,14,4,9,2,3,0,0
24/09/16,Partick,Motherwell,1,1,D,1,0,H,15,10,6,4,12,12,4,5,1,1,0,0
25/09/16,Aberdeen,Rangers,2,1,H,0,0,D,10,11,4,3,19,13,4,8,5,4,0,0
25/09/16,Hamilton,St Johnstone,1,1,D,1,0,H,13,20,8,7,15,12,6,10,5,1,0,0
30/09/16,Motherwell,Hearts,1,3,A,0,1,A,15,17,5,6,14,10,4,5,0,1,0,0
01/10/16,Dundee,Celtic,0,1,A,0,0,D,2,16,1,7,7,12,5,4,2,1,0,0
01/10/16,Hamilton,Inverness C,1,1,D,1,0,H,13,13,5,7,16,15,8,5,2,1,0,0
01/10/16,Kilmarnock,Aberdeen,0,4,A,0,1,A,3,13,0,8,11,11,2,6,2,0,0,0
01/10/16,Rangers,Partick,2,0,H,2,0,H,12,7,5,2,9,10,8,6,1,2,0,0
01/10/16,Ross County,St Johnstone,0,2,A,0,1,A,6,9,4,5,12,8,5,5,0,0,0,0
14/10/16,Inverness C,Rangers,0,1,A,0,1,A,13,15,6,5,23,13,1,6,3,1,0,0
15/10/16,Aberdeen,Ross County,4,0,H,2,0,H,24,9,14,3,12,12,6,2,1,2,0,1
15/10/16,Celtic,Motherwell,2,0,H,1,0,H,24,9,9,4,7,7,9,1,2,2,0,0
15/10/16,Hearts,Dundee,2,0,H,0,0,D,17,12,7,2,8,12,10,10,1,1,0,0
15/10/16,Partick,Hamilton,2,2,D,2,1,H,12,22,7,10,12,9,5,8,1,2,0,0
15/10/16,St Johnstone,Kilmarnock,0,1,A,0,0,D,12,4,3,1,17,11,9,1,3,1,0,0
22/10/16,Inverness C,Kilmarnock,1,1,D,0,1,A,11,9,5,4,13,14,0,5,3,2,0,0
22/10/16,Partick,Ross County,1,1,D,1,0,H,14,11,3,3,16,12,11,3,1,3,0,0
23/10/16,St Johnstone,Dundee,2,1,H,0,0,D,15,9,8,4,12,13,1,3,1,2,0,0
25/10/16,Hamilton,Aberdeen,1,0,H,1,0,H,9,10,4,4,15,8,1,6,0,0,0,0
26/10/16,Dundee,Partick,0,2,A,0,1,A,5,11,1,4,7,11,2,4,1,3,0,0
26/10/16,Kilmarnock,Hearts,2,0,H,1,0,H,15,9,6,5,14,13,1,2,1,3,0,0
26/10/16,Motherwell,Inverness C,0,3,A,0,0,D,7,13,0,6,14,15,4,4,0,1,0,0
26/10/16,Rangers,St Johnstone,1,1,D,1,1,D,18,12,8,4,15,13,15,5,3,3,0,0
26/10/16,Ross County,Celtic,0,4,A,0,1,A,10,19,5,12,6,12,7,7,1,1,0,0
29/10/16,Aberdeen,Celtic,0,1,A,0,1,A,7,16,2,6,19,12,3,3,2,3,0,0
29/10/16,Hamilton,Dundee,0,1,A,0,0,D,7,7,1,2,13,11,3,6,2,1,0,0
29/10/16,Inverness C,Hearts,3,3,D,2,1,H,9,9,5,5,17,18,3,10,3,2,0,0
29/10/16,Motherwell,Ross County,4,1,H,2,0,H,12,13,5,3,11,10,3,7,1,2,0,0
29/10/16,Rangers,Kilmarnock,3,0,H,2,0,H,24,7,10,1,12,14,10,3,0,2,0,0
29/10/16,St Johnstone,Partick,1,2,A,1,1,D,11,12,4,8,13,13,1,5,1,3,0,0
04/11/16,Partick,Aberdeen,1,2,A,0,1,A,11,10,6,6,13,7,5,2,2,0,0,0
05/11/16,Celtic,Inverness C,3,0,H,0,0,D,26,7,7,4,17,15,6,0,0,0,0,1
05/11/16,Dundee,Motherwell,2,0,H,1,0,H,13,8,5,3,10,9,3,3,1,2,0,0
05/11/16,Hearts,St Johnstone,2,2,D,1,1,D,9,9,5,5,16,13,8,4,3,2,0,0
05/11/16,Kilmarnock,Hamilton,0,0,D,0,0,D,14,15,6,5,12,13,8,5,1,2,0,0
06/11/16,Ross County,Rangers,1,1,D,1,1,D,15,11,3,4,19,11,7,13,6,2,0,0
18/11/16,Kilmarnock,Celtic,0,1,A,0,1,A,9,16,2,6,12,12,3,5,2,3,0,0
19/11/16,Inverness C,Aberdeen,1,3,A,1,2,A,7,13,3,9,11,17,1,6,1,1,0,0
19/11/16,Motherwell,Partick,2,0,H,2,0,H,11,13,4,4,13,18,6,7,1,4,0,0
19/11/16,Rangers,Dundee,1,0,H,0,0,D,18,4,7,1,11,10,14,3,1,2,0,0
19/11/16,St Johnstone,Ross County,2,4,A,0,2,A,8,10,3,5,11,12,7,3,3,2,0,0
21/11/16,Hamilton,Hearts,3,3,D,1,1,D,9,12,5,7,13,10,4,5,1,2,0,0
26/11/16,Dundee,Inverness C,2,1,H,1,0,H,13,20,4,3,9,10,3,4,3,1,0,1
26/11/16,Hearts,Motherwell,3,0,H,1,0,H,21,10,9,0,16,8,6,6,1,1,0,0
26/11/16,Partick,Rangers,1,2,A,0,0,D,6,14,4,6,8,8,7,11,1,4,0,0
26/11/16,Ross County,Hamilton,1,1,D,1,0,H,14,7,6,3,14,13,5,3,3,2,0,0
30/11/16,Hearts,Rangers,2,0,H,1,0,H,12,7,9,1,15,12,5,3,2,1,0,0
03/12/16,Hamilton,Partick,1,1,D,1,0,H,7,15,4,2,12,11,3,3,4,1,0,0
03/12/16,Kilmarnock,Dundee,2,0,H,1,0,H,19,9,8,2,9,9,13,1,2,3,0,0
03/12/16,Motherwell,Celtic,3,4,A,2,0,H,6,28,5,11,8,10,3,8,4,3,0,0
03/12/16,Rangers,Aberdeen,2,1,H,0,0,D,10,11,4,5,22,16,6,5,5,2,1,1
03/12/16,Ross County,Hearts,2,2,D,1,0,H,11,17,7,4,18,12,4,9,3,1,0,0
03/12/16,St Johnstone,Inverness C,3,0,H,1,0,H,14,11,5,3,14,15,0,3,2,2,0,1
06/12/16,Aberdeen,Kilmarnock,5,1,H,3,0,H,12,8,7,1,10,15,7,3,2,1,0,0
09/12/16,Partick,Celtic,1,4,A,0,1,A,4,15,1,6,13,13,1,5,2,0,0,0
10/12/16,Aberdeen,St Johnstone,0,0,D,0,0,D,8,8,2,1,11,14,6,4,1,3,0,0
10/12/16,Dundee,Ross County,0,0,D,0,0,D,6,11,2,5,8,15,8,9,2,3,0,0
10/12/16,Inverness C,Hamilton,1,1,D,0,1,A,12,11,6,3,15,15,1,6,3,3,0,0
10/12/16,Motherwell,Kilmarnock,0,0,D,0,0,D,11,12,2,5,8,12,9,5,2,3,0,0
10/12/16,Rangers,Hearts,2,0,H,1,0,H,14,9,5,1,10,12,3,2,1,4,0,0
13/12/16,Celtic,Hamilton,1,0,H,1,0,H,15,5,2,2,10,11,12,2,1,2,0,0
16/12/16,Hamilton,Rangers,1,2,A,0,1,A,8,19,1,7,13,10,3,6,5,1,0,0
17/12/16,Celtic,Dundee,2,1,H,1,0,H,22,6,7,2,17,4,4,3,1,1,0,0
17/12/16,Hearts,Partick,1,1,D,1,0,H,8,12,4,4,13,17,8,6,0,2,0,0
17/12/16,Kilmarnock,Inverness C,1,1,D,0,0,D,9,5,3,2,18,12,7,3,3,2,0,0
17/12/16,Ross County,Aberdeen,2,1,H,1,0,H,13,16,8,5,14,13,2,12,2,2,1,0
17/12/16,St Johnstone,Motherwell,1,1,D,0,1,A,8,4,5,1,9,5,11,0,1,1,0,0
20/12/16,Celtic,Partick,1,0,H,1,0,H,19,10,8,4,10,11,9,4,2,2,0,0
23/12/16,Dundee,Hearts,3,2,H,0,1,A,9,18,4,8,9,10,3,9,1,1,0,0
23/12/16,Kilmarnock,St Johnstone,0,1,A,0,1,A,14,13,3,5,12,16,1,9,1,2,1,0
23/12/16,Motherwell,Aberdeen,1,3,A,1,2,A,12,24,4,9,11,14,5,5,2,2,0,0
23/12/16,Ross County,Partick,1,3,A,0,0,D,6,9,3,7,5,3,1,6,1,0,0,0
24/12/16,Hamilton,Celtic,0,3,A,0,1,A,5,12,3,6,7,8,2,5,3,0,0,1
24/12/16,Rangers,Inverness C,1,0,H,1,0,H,11,11,5,3,16,15,4,4,1,3,0,0
27/12/16,Aberdeen,Hamilton,2,1,H,1,1,D,17,7,7,6,9,19,16,6,2,3,0,1
27/12/16,Hearts,Kilmarnock,4,0,H,2,0,H,18,4,9,1,6,17,7,4,0,2,0,0
28/12/16,Celtic,Ross County,2,0,H,2,0,H,18,4,8,2,9,9,11,7,0,2,0,0
28/12/16,Inverness C,Motherwell,1,2,A,0,0,D,15,6,4,3,13,20,10,4,4,1,0,0
28/12/16,Partick,Dundee,2,0,H,2,0,H,7,10,5,3,22,10,1,1,5,2,0,0
28/12/16,St Johnstone,Rangers,1,1,D,1,1,D,6,18,2,4,16,7,5,5,3,3,0,0
30/12/16,Hearts,Aberdeen,0,1,A,0,0,D,7,13,4,6,10,11,5,9,2,2,0,0
31/12/16,Dundee,St Johnstone,3,0,H,2,0,H,7,11,5,4,12,12,4,13,1,2,0,0
31/12/16,Hamilton,Motherwell,1,1,D,0,0,D,14,13,4,6,16,11,7,8,2,2,0,1
31/12/16,Partick,Kilmarnock,0,0,D,0,0,D,8,12,5,5,9,12,10,5,1,1,0,0
31/12/16,Rangers,Celtic,1,2,A,1,1,D,10,23,6,10,14,15,4,11,3,3,0,0
31/12/16,Ross County,Inverness C,3,2,H,2,1,H,14,12,8,5,8,15,6,10,1,2,0,0
25/01/17,Celtic,St Johnstone,1,0,H,0,0,D,25,4,9,1,9,12,7,8,1,2,0,0
27/01/17,Aberdeen,Dundee,3,0,H,2,0,H,14,4,9,1,14,10,9,3,1,1,0,0
28/01/17,Inverness C,Partick,0,0,D,0,0,D,8,10,2,4,15,11,3,2,2,0,0,0
28/01/17,Kilmarnock,Ross County,3,2,H,1,2,A,10,6,6,3,5,6,7,1,2,2,0,0
28/01/17,Motherwell,Rangers,0,2,A,0,0,D,9,19,3,9,10,8,3,13,0,2,1,1
28/01/17,St Johnstone,Hamilton,3,0,H,0,0,D,5,10,3,4,10,13,1,5,1,1,0,0
29/01/17,Celtic,Hearts,4,0,H,1,0,H,16,5,6,1,6,16,10,1,0,1,0,0
31/01/17,Hamilton,Inverness C,3,0,H,1,0,H,10,9,3,5,10,15,5,4,3,2,0,0
31/01/17,Ross County,Motherwell,1,2,A,1,1,D,11,9,4,2,9,15,4,3,1,2,0,0
01/02/17,Celtic,Aberdeen,1,0,H,0,0,D,7,5,1,2,9,13,4,0,1,3,0,0
01/02/17,Hearts,Rangers,4,1,H,1,1,D,16,7,7,3,11,14,3,5,2,1,0,0
01/02/17,Partick,St Johnstone,0,1,A,0,1,A,12,5,6,1,13,10,4,3,1,2,1,0
04/02/17,Aberdeen,Partick,2,0,H,0,0,D,11,5,9,1,15,9,2,5,2,0,0,0
04/02/17,Hamilton,Kilmarnock,1,1,D,1,1,D,6,6,1,2,13,13,5,3,2,2,0,0
04/02/17,Inverness C,Dundee,2,2,D,0,2,A,13,12,10,3,7,19,6,5,2,3,0,0
04/02/17,Motherwell,Hearts,0,3,A,0,0,D,4,18,1,7,16,10,1,5,3,3,1,0
04/02/17,Rangers,Ross County,1,1,D,0,1,A,22,9,6,3,14,14,15,1,3,2,0,0
05/02/17,St Johnstone,Celtic,2,5,A,2,1,H,5,17,1,12,11,9,5,6,2,1,0,0
11/02/17,Dundee,Kilmarnock,1,1,D,1,1,D,11,9,5,4,11,12,8,10,2,3,0,0
15/02/17,Aberdeen,Motherwell,7,2,H,4,0,H,22,4,12,2,9,8,6,4,2,1,0,0
18/02/17,Celtic,Motherwell,2,0,H,2,0,H,15,6,5,1,9,9,7,4,0,1,0,0
18/02/17,Hearts,Inverness C,1,1,D,0,1,A,20,7,8,2,13,15,11,4,0,3,0,0
18/02/17,Partick,Hamilton,2,0,H,0,0,D,8,7,4,1,16,10,2,4,1,3,0,0
18/02/17,Ross County,St Johnstone,1,2,A,0,1,A,10,12,3,7,8,13,4,11,1,0,0,0
19/02/17,Dundee,Rangers,2,1,H,2,0,H,10,8,4,5,13,11,5,10,1,1,0,0
19/02/17,Kilmarnock,Aberdeen,1,2,A,1,0,H,5,13,1,4,10,10,1,4,2,2,0,0
24/02/17,Inverness C,Rangers,2,1,H,1,0,H,10,16,6,6,11,10,7,8,2,2,0,0
25/02/17,Aberdeen,Ross County,1,0,H,0,0,D,18,8,8,3,17,12,4,3,1,1,0,0
25/02/17,Celtic,Hamilton,2,0,H,1,0,H,10,5,3,1,8,11,4,1,0,4,0,0
25/02/17,Motherwell,Dundee,1,5,A,1,5,A,7,12,4,5,11,14,2,5,3,1,0,0
25/02/17,Partick,Hearts,2,0,H,1,0,H,7,10,4,1,18,13,2,3,3,1,0,1
25/02/17,St Johnstone,Kilmarnock,0,2,A,0,1,A,7,10,1,6,10,11,7,2,2,0,0,0
28/02/17,Hamilton,Aberdeen,1,0,H,1,0,H,3,15,2,3,8,9,0,21,1,1,1,0
01/03/17,Dundee,Partick,0,1,A,0,1,A,8,6,3,3,7,13,3,2,0,2,0,0
01/03/17,Hearts,Ross County,0,1,A,0,0,D,15,10,6,4,15,13,3,2,1,2,0,0
01/03/17,Inverness C,Celtic,0,4,A,0,1,A,3,21,2,9,13,14,1,6,1,0,0,0
01/03/17,Rangers,St Johnstone,3,2,H,1,0,H,24,9,11,4,10,7,11,3,2,3,1,0
04/03/17,Kilmarnock,Motherwell,1,2,A,1,0,H,20,8,5,5,10,12,9,3,0,4,0,0
11/03/17,Aberdeen,Motherwell,1,0,H,0,0,D,14,6,6,0,9,12,12,4,1,6,0,0
11/03/17,Hearts,Hamilton,4,0,H,1,0,H,17,5,11,2,13,12,5,3,0,3,0,0
11/03/17,Partick,Inverness C,1,1,D,0,0,D,8,12,3,2,11,6,8,5,1,2,0,0
11/03/17,Ross County,Kilmarnock,1,2,A,0,0,D,16,5,7,2,9,12,8,4,4,3,0,0
11/03/17,St Johnstone,Dundee,2,0,H,2,0,H,16,5,7,1,12,13,3,7,1,3,0,0
