Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
15/08/09,Aberdeen,Celtic,1,3,A,0,3,A,3,22,1,13
15/08/09,Hibernian,St Mirren,2,1,H,1,1,D,21,4,11,1
15/08/09,Kilmarnock,Hamilton,3,0,H,1,0,H,9,8,5,3
15/08/09,Rangers,Falkirk,4,1,H,2,1,H,19,12,13,8
15/08/09,St Johnstone,Motherwell,2,2,D,1,0,H,14,10,6,6
17/08/09,Dundee United,Hearts,2,0,H,1,0,H,8,9,3,5
22/08/09,Celtic,St Johnstone,5,2,H,2,1,H,16,7,10,4
22/08/09,Falkirk,Hibernian,1,3,A,1,1,D,9,10,3,6
22/08/09,Hamilton,Aberdeen,0,3,A,0,2,A,10,17,4,10
22/08/09,Motherwell,Kilmarnock,3,1,H,2,0,H,14,12,6,6
22/08/09,St Mirren,Dundee United,0,0,D,0,0,D,10,9,5,2
23/08/09,Hearts,Rangers,1,2,A,1,0,H,19,8,8,3
29/08/09,Aberdeen,Motherwell,0,0,D,0,0,D,3,9,0,1
29/08/09,Dundee United,Falkirk,2,1,H,0,0,D,12,7,6,2
29/08/09,Kilmarnock,St Mirren,1,2,A,1,0,H,8,7,5,6
29/08/09,Rangers,Hamilton,4,1,H,2,0,H,20,4,12,2
30/08/09,Hibernian,Celtic,0,1,A,0,1,A,13,14,5,5
30/08/09,St Johnstone,Hearts,2,2,D,1,0,H,13,10,9,5
12/09/09,Celtic,Dundee United,1,1,D,1,1,D,6,6,3,2
12/09/09,Motherwell,Rangers,0,0,D,0,0,D,9,14,0,10
12/09/09,St Mirren,St Johnstone,1,1,D,1,1,D,7,17,3,10
13/09/09,Hamilton,Hibernian,2,0,H,2,0,H,5,6,3,2
14/09/09,Falkirk,Aberdeen,0,0,D,0,0,D,13,13,10,8
15/09/09,Hearts,Kilmarnock,1,0,H,1,0,H,17,13,5,6
19/09/09,Aberdeen,St Mirren,1,0,H,0,0,D,9,2,4,0
19/09/09,Dundee United,Motherwell,0,1,A,0,0,D,12,4,7,3
19/09/09,Hamilton,Falkirk,0,0,D,0,0,D,7,13,5,7
19/09/09,Hibernian,St Johnstone,3,0,H,2,0,H,7,14,3,4
19/09/09,Kilmarnock,Rangers,0,0,D,0,0,D,10,9,6,6
20/09/09,Celtic,Hearts,2,1,H,0,1,A,25,8,15,4
26/09/09,Falkirk,Kilmarnock,0,0,D,0,0,D,8,5,3,2
26/09/09,Hearts,Hamilton,2,1,H,0,0,D,11,11,2,7
26/09/09,Motherwell,Hibernian,1,3,A,1,1,D,9,9,3,6
26/09/09,Rangers,Aberdeen,0,0,D,0,0,D,15,7,9,2
26/09/09,St Johnstone,Dundee United,2,3,A,1,1,D,8,8,1,3
26/09/09,St Mirren,Celtic,0,2,A,0,1,A,4,11,2,5
03/10/09,Hamilton,St Johnstone,0,2,A,0,1,A,12,11,4,6
03/10/09,Hibernian,Dundee United,1,1,D,1,0,H,14,11,7,5
03/10/09,Kilmarnock,Aberdeen,1,1,D,0,0,D,12,7,7,4
03/10/09,Motherwell,Falkirk,1,0,H,1,0,H,5,10,2,1
03/10/09,St Mirren,Hearts,2,1,H,1,1,D,4,6,3,2
