Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
09/08/03,Dundee United,Hibernian,1,2,A,0,0,D,15,9,5,4
09/08/03,Dunfermline,Celtic,0,0,D,0,0,D,7,14,6,6
09/08/03,Hearts,Aberdeen,2,0,H,1,0,H,10,8,7,5
09/08/03,Motherwell,Dundee,0,3,A,0,2,A,12,6,4,3
09/08/03,Partick,Livingston,1,1,D,1,0,H,6,18,2,8
09/08/03,Rangers,Kilmarnock,4,0,H,3,0,H,21,1,13,1
16/08/03,Aberdeen,Rangers,2,3,A,1,2,A,9,12,6,8
16/08/03,Celtic,Dundee United,5,0,H,3,0,H,12,3,11,2
16/08/03,Kilmarnock,Partick,2,1,H,0,1,A,18,10,5,3
16/08/03,Livingston,Motherwell,1,0,H,0,0,D,12,6,6,3
17/08/03,Dundee,Dunfermline,0,2,A,0,1,A,16,7,8,2
17/08/03,Hibernian,Hearts,1,0,H,0,0,D,12,15,8,7
23/08/03,Aberdeen,Dunfermline,1,2,A,1,1,D,7,6,4,3
23/08/03,Dundee,Livingston,2,1,H,1,1,D,15,11,6,4
23/08/03,Hearts,Dundee United,3,0,H,3,0,H,9,4,7,2
23/08/03,Motherwell,Kilmarnock,2,1,H,0,0,D,14,6,3,1
23/08/03,Partick,Celtic,1,2,A,1,2,A,9,15,5,10
23/08/03,Rangers,Hibernian,5,2,H,2,2,D,7,7,6,4
30/08/03,Celtic,Livingston,5,1,H,2,0,H,20,2,14,2
30/08/03,Hibernian,Aberdeen,1,1,D,0,1,A,20,10,13,4
30/08/03,Motherwell,Partick,2,2,D,1,1,D,7,9,4,3
31/08/03,Dundee United,Rangers,1,3,A,0,1,A,6,11,4,10
31/08/03,Hearts,Dunfermline,1,0,H,0,0,D,15,4,7,3
31/08/03,Kilmarnock,Dundee,1,1,D,0,0,D,10,8,5,5
13/09/03,Aberdeen,Partick,2,1,H,1,0,H,11,6,6,2
13/09/03,Dundee,Celtic,0,1,A,0,1,A,8,6,5,4
13/09/03,Hibernian,Motherwell,0,2,A,0,1,A,10,9,2,8
13/09/03,Kilmarnock,Hearts,0,2,A,0,2,A,8,12,1,8
13/09/03,Livingston,Dundee United,0,0,D,0,0,D,14,6,13,4
13/09/03,Rangers,Dunfermline,4,0,H,3,0,H,14,7,6,2
20/09/03,Celtic,Motherwell,3,0,H,0,0,D,16,5,10,1
20/09/03,Dundee,Aberdeen,2,0,H,1,0,H,11,3,6,0
20/09/03,Dunfermline,Hibernian,0,0,D,0,0,D,12,5,0,0
20/09/03,Livingston,Kilmarnock,1,2,A,1,2,A,14,6,11,6
20/09/03,Partick,Dundee United,0,2,A,0,1,A,14,13,8,7
21/09/03,Hearts,Rangers,0,4,A,0,1,A,6,15,1,9
27/09/03,Aberdeen,Livingston,0,3,A,0,1,A,16,9,10,4
27/09/03,Dundee United,Kilmarnock,1,1,D,0,0,D,11,14,7,7
27/09/03,Dunfermline,Partick,2,1,H,0,0,D,23,5,16,4
27/09/03,Hibernian,Celtic,1,2,A,1,1,D,10,17,5,8
27/09/03,Motherwell,Hearts,1,1,D,1,1,D,5,8,2,3
27/09/03,Rangers,Dundee,3,1,H,0,0,D,19,9,13,7
04/10/03,Dundee United,Motherwell,0,2,A,0,1,A,13,14,7,10
04/10/03,Hearts,Dundee,2,2,D,0,1,A,14,7,11,7
04/10/03,Kilmarnock,Aberdeen,1,3,A,0,2,A,11,9,6,7
04/10/03,Livingston,Dunfermline,0,0,D,0,0,D,14,8,6,5
04/10/03,Partick,Hibernian,0,1,A,0,0,D,9,9,5,5
04/10/03,Rangers,Celtic,0,1,A,0,0,D,10,6,7,3
18/10/03,Aberdeen,Dundee United,0,1,A,0,1,A,8,7,2,4
18/10/03,Celtic,Hearts,5,0,H,4,0,H,13,1,8,0
18/10/03,Dundee,Partick,1,0,H,0,0,D,22,14,9,10
18/10/03,Dunfermline,Kilmarnock,2,3,A,1,1,D,21,6,16,6
18/10/03,Hibernian,Livingston,0,2,A,0,1,A,8,5,3,3
19/10/03,Motherwell,Rangers,1,1,D,1,1,D,13,16,3,9
25/10/03,Celtic,Aberdeen,4,0,H,3,0,H,16,5,7,3
25/10/03,Hibernian,Kilmarnock,3,1,H,2,0,H,9,13,4,7
25/10/03,Livingston,Rangers,0,0,D,0,0,D,7,11,1,5
25/10/03,Partick,Hearts,1,4,A,0,3,A,8,10,4,8
26/10/03,Dundee United,Dundee,1,1,D,0,1,A,13,4,4,2
01/11/03,Aberdeen,Motherwell,0,3,A,0,1,A,10,7,5,6
01/11/03,Dundee,Hibernian,1,1,D,1,0,H,5,14,4,8
01/11/03,Dunfermline,Dundee United,2,0,H,0,0,D,19,3,8,1
01/11/03,Hearts,Livingston,3,1,H,0,0,D,11,12,7,8
01/11/03,Kilmarnock,Celtic,0,5,A,0,1,A,4,11,2,6
01/11/03,Rangers,Partick,3,1,H,2,0,H,11,9,6,2
08/11/03,Celtic,Dunfermline,5,0,H,1,0,H,17,3,11,1
08/11/03,Dundee,Motherwell,0,1,A,0,0,D,10,12,3,8
08/11/03,Hibernian,Dundee United,2,2,D,1,1,D,9,7,6,4
08/11/03,Livingston,Partick,2,0,H,2,0,H,15,9,12,4
09/11/03,Aberdeen,Hearts,0,1,A,0,1,A,5,7,2,5
09/11/03,Kilmarnock,Rangers,2,3,A,1,1,D,5,22,4,9
22/11/03,Dundee United,Celtic,1,5,A,0,1,A,7,13,5,8
22/11/03,Dunfermline,Dundee,2,0,H,0,0,D,10,6,5,3
22/11/03,Motherwell,Livingston,1,1,D,1,1,D,9,8,5,1
22/11/03,Partick,Kilmarnock,2,4,A,1,1,D,11,13,7,8
22/11/03,Rangers,Aberdeen,3,0,H,0,0,D,18,3,12,2
23/11/03,Hearts,Hibernian,2,0,H,1,0,H,8,7,1,1
25/11/03,Motherwell,Dunfermline,2,2,D,0,2,A,15,9,8,4
29/11/03,Celtic,Partick,3,1,H,2,1,H,18,4,10,3
29/11/03,Dunfermline,Aberdeen,2,2,D,0,1,A,15,8,8,2
29/11/03,Kilmarnock,Motherwell,2,0,H,1,0,H,12,5,5,5
29/11/03,Livingston,Dundee,1,1,D,0,0,D,5,14,2,7
30/11/03,Dundee United,Hearts,2,1,H,2,0,H,11,6,7,4
30/11/03,Hibernian,Rangers,0,1,A,0,0,D,15,14,4,9
06/12/03,Dundee,Kilmarnock,1,2,A,1,2,A,15,6,5,4
06/12/03,Dunfermline,Hearts,2,1,H,1,1,D,9,14,6,7
06/12/03,Livingston,Celtic,0,2,A,0,0,D,7,17,2,9
06/12/03,Rangers,Dundee United,2,1,H,2,0,H,19,8,7,2
07/12/03,Aberdeen,Hibernian,3,1,H,1,0,H,11,11,3,5
07/12/03,Partick,Motherwell,1,0,H,0,0,D,9,6,7,3
13/12/03,Celtic,Dundee,3,2,H,1,1,D,12,8,9,5
13/12/03,Dundee United,Livingston,2,0,H,1,0,H,5,9,2,4
13/12/03,Hearts,Kilmarnock,2,1,H,0,0,D,8,6,7,4
13/12/03,Motherwell,Hibernian,0,1,A,0,0,D,11,13,6,9
13/12/03,Partick,Aberdeen,0,3,A,0,1,A,7,11,1,6
14/12/03,Dunfermline,Rangers,2,0,H,1,0,H,5,9,5,6
20/12/03,Aberdeen,Dundee,2,2,D,1,1,D,12,7,8,4
20/12/03,Kilmarnock,Livingston,0,3,A,0,0,D,9,11,4,7
