Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
02/08/13,Partick,Dundee United,0,0,D,0,0,D,10,10,3,6,3,6,10,6,3,1,0,0
03/08/13,Aberdeen,Kilmarnock,2,1,H,1,0,H,4,3,2,0,9,4,6,1,1,2,0,0
03/08/13,Celtic,Ross County,2,1,H,1,1,D,25,5,9,1,7,16,8,5,0,1,0,0
03/08/13,Inverness C,St Mirren,3,0,H,0,0,D,6,6,3,2,8,8,1,2,1,3,0,0
04/08/13,Hibernian,Motherwell,0,1,A,0,0,D,8,11,3,4,9,10,5,5,1,2,0,0
04/08/13,St Johnstone,Hearts,1,0,H,1,0,H,11,2,3,0,16,15,7,5,1,1,0,0
10/08/13,Dundee United,Inverness C,0,1,A,0,1,A,4,13,2,2,11,9,0,4,2,3,0,0
10/08/13,Ross County,Partick,1,3,A,0,1,A,13,13,3,10,8,7,6,6,1,0,0,0
11/08/13,Hearts,Hibernian,1,0,H,0,0,D,9,12,4,3,20,16,5,2,4,4,0,0
11/08/13,Kilmarnock,St Johnstone,0,0,D,0,0,D,8,7,5,2,12,15,4,3,1,0,0,0
11/08/13,Motherwell,Aberdeen,1,3,A,1,0,H,4,9,2,3,16,15,3,4,5,2,0,0
16/08/13,Partick,Hearts,1,1,D,0,0,D,15,11,5,4,10,10,4,4,1,1,0,0
17/08/13,Aberdeen,Celtic,0,2,A,0,1,A,3,11,2,4,8,9,1,7,2,3,1,0
17/08/13,Hibernian,Dundee United,1,1,D,0,1,A,8,10,4,2,13,11,6,7,3,2,1,1
17/08/13,Inverness C,Motherwell,2,0,H,2,0,H,13,13,4,3,9,9,2,6,2,1,0,0
17/08/13,St Johnstone,Ross County,4,0,H,2,0,H,17,2,6,0,9,19,5,4,0,4,0,0
17/08/13,St Mirren,Kilmarnock,1,1,D,0,0,D,12,7,5,3,11,12,4,3,1,0,0,1
24/08/13,Celtic,Inverness C,2,2,D,1,2,A,21,7,7,3,9,8,11,3,1,1,0,0
24/08/13,Dundee United,St Johnstone,4,0,H,3,0,H,10,4,6,1,12,8,10,6,2,2,0,0
24/08/13,Hearts,Aberdeen,2,1,H,1,0,H,10,11,4,3,13,15,5,6,1,2,1,0
24/08/13,Kilmarnock,Hibernian,1,2,A,1,0,H,8,4,3,4,7,7,6,3,1,2,0,0
24/08/13,Motherwell,Partick,1,0,H,1,0,H,16,9,5,4,11,7,5,6,3,3,0,0
24/08/13,Ross County,St Mirren,3,0,H,2,0,H,13,12,8,5,18,8,4,6,1,1,0,0
31/08/13,Aberdeen,St Johnstone,0,0,D,0,0,D,17,8,5,3,14,9,12,6,1,2,0,0
31/08/13,Dundee United,Celtic,0,1,A,0,0,D,3,10,2,2,11,12,3,5,1,1,0,0
31/08/13,Hibernian,Ross County,0,0,D,0,0,D,8,11,1,2,9,15,4,0,0,3,0,0
31/08/13,Inverness C,Hearts,2,0,H,2,0,H,19,3,7,0,13,11,8,1,1,1,0,1
31/08/13,Motherwell,Kilmarnock,2,1,H,2,1,H,12,11,7,4,13,11,3,7,2,2,1,0
31/08/13,St Mirren,Partick,1,2,A,0,0,D,10,17,3,6,8,8,2,11,0,0,0,0
14/09/13,Hearts,Celtic,1,3,A,0,1,A,6,10,3,4,9,13,2,11,2,3,0,0
14/09/13,Kilmarnock,Inverness C,1,2,A,0,1,A,7,7,4,3,9,14,7,4,1,1,0,0
