Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
29/07/00,Dunfermline,Aberdeen,0,0,D,0,0,D,23,10,8,0
29/07/00,Motherwell,Dundee,0,2,A,0,1,A,8,7,5,4
29/07/00,Rangers,St Johnstone,2,1,H,0,1,A,12,5,8,2
29/07/00,St Mirren,Kilmarnock,0,1,A,0,0,D,9,5,4,3
30/07/00,Dundee United,Celtic,1,2,A,0,1,A,8,15,4,9
30/07/00,Hearts,Hibernian,0,0,D,0,0,D,10,14,5,8
05/08/00,Aberdeen,St Mirren,2,1,H,1,1,D,17,10,5,5
05/08/00,Celtic,Motherwell,1,0,H,1,0,H,14,5,5,3
05/08/00,Dundee,Dunfermline,3,0,H,1,0,H,11,6,9,2
05/08/00,Hibernian,Dundee United,3,0,H,2,0,H,17,7,9,3
05/08/00,Kilmarnock,Rangers,2,4,A,2,1,H,6,8,2,4
06/08/00,St Johnstone,Hearts,2,2,D,1,0,H,8,12,3,6
12/08/00,Dundee United,Motherwell,1,1,D,0,1,A,13,8,3,5
12/08/00,Dunfermline,St Johnstone,1,1,D,1,0,H,7,11,3,6
12/08/00,Hibernian,Dundee,5,1,H,2,1,H,16,9,11,5
13/08/00,Aberdeen,Hearts,1,1,D,1,1,D,11,6,5,3
13/08/00,Celtic,Kilmarnock,2,1,H,0,1,A,12,10,6,4
13/08/00,St Mirren,Rangers,1,3,A,0,1,A,9,20,4,10
16/08/00,Kilmarnock,Hibernian,0,1,A,0,1,A,11,6,4,5
16/08/00,Motherwell,Dunfermline,0,1,A,0,0,D,19,12,7,4
19/08/00,Aberdeen,Hibernian,0,2,A,0,1,A,8,18,5,11
19/08/00,Dundee United,St Johnstone,1,2,A,0,2,A,11,11,8,5
19/08/00,Hearts,Celtic,2,4,A,0,3,A,8,10,3,4
19/08/00,Kilmarnock,Motherwell,3,2,H,1,1,D,10,6,6,3
19/08/00,Rangers,Dunfermline,4,1,H,3,1,H,16,8,11,5
19/08/00,St Mirren,Dundee,2,1,H,0,0,D,11,9,8,2
26/08/00,Dunfermline,Dundee United,1,0,H,1,0,H,11,6,6,3
26/08/00,Hibernian,St Mirren,2,0,H,1,0,H,18,7,11,0
26/08/00,St Johnstone,Kilmarnock,1,1,D,1,1,D,8,10,5,4
27/08/00,Celtic,Rangers,6,2,H,3,1,H,13,11,8,4
27/08/00,Dundee,Hearts,1,1,D,0,0,D,8,14,5,9
27/08/00,Motherwell,Aberdeen,1,1,D,1,1,D,9,15,4,7
09/09/00,Aberdeen,St Johnstone,1,1,D,0,0,D,13,6,5,4
09/09/00,Celtic,Hibernian,3,0,H,2,0,H,21,7,9,3
09/09/00,Dundee,Rangers,1,1,D,0,0,D,7,7,4,3
09/09/00,Hearts,Dunfermline,2,0,H,1,0,H,17,5,8,1
09/09/00,Kilmarnock,Dundee United,1,0,H,1,0,H,9,8,4,2
09/09/00,St Mirren,Motherwell,0,1,A,0,0,D,9,18,5,6
16/09/00,Dundee United,St Mirren,0,0,D,0,0,D,13,7,4,2
16/09/00,Hibernian,Motherwell,2,0,H,0,0,D,17,7,9,2
16/09/00,Kilmarnock,Aberdeen,1,0,H,1,0,H,8,5,5,2
16/09/00,St Johnstone,Dundee,0,0,D,0,0,D,10,7,4,3
17/09/00,Rangers,Hearts,1,0,H,0,0,D,17,3,9,2
18/09/00,Dunfermline,Celtic,1,2,A,0,0,D,2,11,1,3
20/09/00,Dundee,Dundee United,3,0,H,0,0,D,8,7,5,3
20/09/00,Hearts,St Mirren,2,0,H,0,0,D,13,11,7,3
23/09/00,Celtic,Dundee,1,0,H,0,0,D,13,5,6,3
23/09/00,Dundee United,Aberdeen,3,5,A,0,3,A,10,11,4,9
23/09/00,Dunfermline,Hibernian,1,1,D,0,1,A,8,10,4,5
23/09/00,Motherwell,Rangers,0,1,A,0,1,A,9,12,4,5
23/09/00,St Mirren,St Johnstone,0,1,A,0,1,A,8,14,1,5
24/09/00,Hearts,Kilmarnock,0,2,A,0,1,A,9,9,3,2
30/09/00,Dundee,Kilmarnock,0,0,D,0,0,D,5,10,3,4
30/09/00,St Johnstone,Hibernian,0,3,A,0,2,A,6,12,2,5
30/09/00,St Mirren,Dunfermline,2,1,H,2,0,H,12,10,5,4
01/10/00,Aberdeen,Celtic,1,1,D,1,0,H,8,7,4,3
01/10/00,Hearts,Motherwell,3,0,H,2,0,H,15,4,6,0
01/10/00,Rangers,Dundee United,3,0,H,2,0,H,23,9,14,5
14/10/00,Aberdeen,Dundee,0,2,A,0,1,A,16,10,7,4
14/10/00,Celtic,St Mirren,2,0,H,1,0,H,28,6,13,3
14/10/00,Dundee United,Hearts,0,4,A,0,3,A,7,10,1,7
14/10/00,Hibernian,Rangers,1,0,H,1,0,H,12,11,3,5
14/10/00,Kilmarnock,Dunfermline,2,1,H,1,1,D,14,3,6,2
14/10/00,Motherwell,St Johnstone,4,0,H,2,0,H,8,6,5,2
17/10/00,St Johnstone,Celtic,0,2,A,0,1,A,3,12,2,4
21/10/00,Aberdeen,Dunfermline,0,0,D,0,0,D,16,13,4,5
21/10/00,Celtic,Dundee United,2,1,H,1,0,H,10,4,3,1
21/10/00,Dundee,Motherwell,1,2,A,1,2,A,9,14,4,7
21/10/00,Kilmarnock,St Mirren,2,1,H,0,1,A,16,4,9,1
22/10/00,Hibernian,Hearts,6,2,H,2,1,H,18,7,10,4
22/10/00,St Johnstone,Rangers,2,1,H,1,0,H,11,13,6,3
28/10/00,Dundee United,Hibernian,0,1,A,0,0,D,13,8,5,4
28/10/00,Dunfermline,Dundee,1,0,H,0,0,D,8,5,4,2
28/10/00,Hearts,St Johnstone,0,3,A,0,0,D,10,8,4,6
28/10/00,Rangers,Kilmarnock,0,3,A,0,2,A,3,8,1,5
28/10/00,St Mirren,Aberdeen,2,0,H,1,0,H,8,11,3,5
29/10/00,Motherwell,Celtic,3,3,D,1,1,D,10,17,3,9
04/11/00,Hearts,Aberdeen,3,0,H,1,0,H,24,6,12,3
04/11/00,Motherwell,Dundee United,2,1,H,1,0,H,12,10,3,3
04/11/00,Rangers,St Mirren,7,1,H,4,1,H,23,6,9,3
04/11/00,St Johnstone,Dunfermline,0,2,A,0,0,D,10,8,2,3
05/11/00,Dundee,Hibernian,1,2,A,1,1,D,13,15,7,8
