Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
01/08/2020,Aberdeen,Rangers,0,1,A,0,1,A,4,15,0,4
01/08/2020,Dundee United,St Johnstone,1,1,D,1,0,H,16,9,4,4
01/08/2020,Hibernian,Kilmarnock,2,1,H,2,1,H,11,12,3,2
01/08/2020,St Mirren,Livingston,1,0,H,1,0,H,6,12,2,3
02/08/2020,Celtic,Hamilton,5,1,H,2,1,H,25,7,15,2
03/08/2020,Ross County,Motherwell,1,0,H,1,0,H,9,15,3,1
08/08/2020,Hamilton,Ross County,0,1,A,0,0,D,9,10,4,6
08/08/2020,Livingston,Hibernian,1,4,A,0,3,A,12,18,3,8
08/08/2020,Motherwell,Dundee United,0,1,A,0,0,D,18,11,4,3
09/08/2020,Rangers,St Mirren,3,0,H,1,0,H,28,4,12,2
09/08/2020,Kilmarnock,Celtic,1,1,D,1,1,D,6,17,1,2
11/08/2020,Dundee United,Hibernian,0,1,A,0,0,D,10,8,1,3
12/08/2020,Motherwell,Livingston,2,2,D,2,1,H,9,15,3,5
12/08/2020,Rangers,St Johnstone,3,0,H,2,0,H,15,4,5,2
12/08/2020,Ross County,Kilmarnock,2,2,D,1,0,H,14,12,5,5
15/08/2020,Hamilton,St Mirren,0,1,A,0,1,A,12,19,5,7
15/08/2020,Kilmarnock,St Johnstone,1,2,A,0,0,D,11,17,4,5
15/08/2020,Ross County,Dundee United,1,2,A,1,1,D,12,13,2,4
15/08/2020,Hibernian,Motherwell,0,0,D,0,0,D,12,17,2,2
16/08/2020,Livingston,Rangers,0,0,D,0,0,D,2,23,1,3
20/08/2020,St Johnstone,Aberdeen,0,1,A,0,0,D,11,6,1,3
22/08/2020,Motherwell,Hamilton,0,1,A,0,0,D,17,8,4,2
22/08/2020,Rangers,Kilmarnock,2,0,H,0,0,D,26,2,10,0
22/08/2020,St Mirren,Ross County,1,1,D,1,0,H,12,18,6,2
22/08/2020,Dundee United,Celtic,0,1,A,0,0,D,7,23,1,9
23/08/2020,Aberdeen,Livingston,2,1,H,0,0,D,7,10,5,2
23/08/2020,St Johnstone,Hibernian,0,1,A,0,0,D,10,10,0,3
29/08/2020,Kilmarnock,Dundee United,4,0,H,2,0,H,15,18,9,1
29/08/2020,Livingston,Ross County,1,0,H,0,0,D,9,4,3,1
29/08/2020,St Johnstone,St Mirren,1,0,H,0,0,D,21,5,6,2
29/08/2020,Hamilton,Rangers,0,2,A,0,2,A,5,24,2,6
30/08/2020,Celtic,Motherwell,3,0,H,1,0,H,17,5,6,1
30/08/2020,Hibernian,Aberdeen,0,1,A,0,1,A,9,14,3,7
12/09/2020,Aberdeen,Kilmarnock,1,0,H,1,0,H,13,7,3,1
12/09/2020,Livingston,Hamilton,1,2,A,1,0,H,18,12,3,4
12/09/2020,Motherwell,St Johnstone,1,0,H,1,0,H,6,12,2,3
12/09/2020,Rangers,Dundee United,4,0,H,2,0,H,25,6,9,1
12/09/2020,Ross County,Celtic,0,5,A,0,2,A,9,18,5,10
12/09/2020,St Mirren,Hibernian,0,3,A,0,2,A,15,15,3,5
16/09/2020,St Mirren,Celtic,1,2,A,1,2,A,8,17,2,9
19/09/2020,Celtic,Livingston,3,2,H,2,1,H,17,7,6,3
19/09/2020,Dundee United,St Mirren,2,1,H,1,0,H,17,16,8,4
19/09/2020,Kilmarnock,Hamilton,2,1,H,1,1,D,17,15,8,4
19/09/2020,St Johnstone,Ross County,0,1,A,0,1,A,11,5,1,2
20/09/2020,Hibernian,Rangers,2,2,D,1,1,D,7,19,5,7
20/09/2020,Aberdeen,Motherwell,0,3,A,0,3,A,9,9,0,3
26/09/2020,Hamilton,Dundee United,1,1,D,0,1,A,12,12,1,2
26/09/2020,Livingston,St Johnstone,2,0,H,2,0,H,8,13,2,2
26/09/2020,St Mirren,Kilmarnock,0,1,A,0,1,A,6,5,0,3
27/09/2020,Motherwell,Rangers,1,5,A,0,3,A,7,16,1,9
27/09/2020,Celtic,Hibernian,3,0,H,2,0,H,20,9,9,0
27/09/2020,Ross County,Aberdeen,0,3,A,0,1,A,8,18,0,8
02/10/2020,Aberdeen,St Mirren,2,1,H,0,0,D,15,11,6,1
02/10/2020,Dundee United,Livingston,1,2,A,1,0,H,1,14,1,6
02/10/2020,Hibernian,Hamilton,3,2,H,2,0,H,18,8,9,4
04/10/2020,St Johnstone,Celtic,0,2,A,0,0,D,7,19,0,3
04/10/2020,Rangers,Ross County,2,0,H,1,0,H,15,4,4,0
17/10/2020,Celtic,Rangers,0,2,A,0,1,A,5,9,0,5
17/10/2020,Dundee United,Aberdeen,0,0,D,0,0,D,6,18,3,7
17/10/2020,Hamilton,St Johnstone,3,5,A,2,3,A,10,22,4,8
17/10/2020,Livingston,Kilmarnock,1,3,A,1,2,A,14,11,2,5
17/10/2020,Ross County,Hibernian,0,0,D,0,0,D,16,28,2,6
20/10/2020,Aberdeen,Hamilton,4,2,H,4,1,H,18,10,6,6
