Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
09/08/08,Aberdeen,Inverness C,0,2,A,0,1,A,7,8,2,3
09/08/08,Falkirk,Rangers,0,1,A,0,0,D,6,8,2,5
09/08/08,Hearts,Motherwell,3,2,H,2,1,H,10,6,6,2
09/08/08,Kilmarnock,Hibernian,1,0,H,0,0,D,11,11,5,1
10/08/08,Celtic,St Mirren,1,0,H,0,0,D,12,6,4,2
11/08/08,Hamilton,Dundee United,3,1,H,2,1,H,13,9,11,5
16/08/08,Hibernian,Falkirk,3,2,H,2,1,H,16,12,6,6
16/08/08,Inverness C,Hamilton,0,1,A,0,1,A,6,5,2,2
16/08/08,Motherwell,Aberdeen,0,1,A,0,0,D,5,4,3,3
16/08/08,Rangers,Hearts,2,0,H,1,0,H,13,7,7,5
16/08/08,St Mirren,Kilmarnock,0,0,D,0,0,D,9,9,3,5
17/08/08,Dundee United,Celtic,1,1,D,0,0,D,9,13,6,8
23/08/08,Aberdeen,Rangers,1,1,D,1,1,D,5,11,3,4
23/08/08,Celtic,Falkirk,3,0,H,2,0,H,16,8,9,5
23/08/08,Hearts,St Mirren,2,1,H,1,0,H,17,4,11,3
23/08/08,Inverness C,Hibernian,1,1,D,1,0,H,6,13,5,3
23/08/08,Kilmarnock,Hamilton,1,0,H,1,0,H,11,5,3,0
23/08/08,Motherwell,Dundee United,1,1,D,1,1,D,8,7,4,3
30/08/08,Dundee United,Kilmarnock,0,2,A,0,1,A,5,3,1,3
30/08/08,Falkirk,Inverness C,1,2,A,0,0,D,6,17,4,8
30/08/08,Hamilton,Hearts,1,2,A,0,1,A,9,13,2,7
30/08/08,Hibernian,Motherwell,0,1,A,0,0,D,11,6,3,3
30/08/08,St Mirren,Aberdeen,0,1,A,0,1,A,12,8,7,7
31/08/08,Celtic,Rangers,2,4,A,1,1,D,11,12,6,7
13/09/08,Aberdeen,Hamilton,1,2,A,1,1,D,7,3,1,2
13/09/08,Falkirk,Hearts,2,1,H,1,0,H,7,8,5,6
13/09/08,Hibernian,Dundee United,2,1,H,1,1,D,7,9,2,5
13/09/08,Inverness C,St Mirren,1,2,A,1,0,H,10,4,5,2
13/09/08,Motherwell,Celtic,2,4,A,0,4,A,13,20,7,13
13/09/08,Rangers,Kilmarnock,2,1,H,0,1,A,13,6,11,5
20/09/08,Aberdeen,Dundee United,0,1,A,0,0,D,12,5,4,1
20/09/08,Hamilton,Hibernian,0,1,A,0,1,A,14,10,4,4
20/09/08,Hearts,Inverness C,1,0,H,1,0,H,11,10,4,5
20/09/08,St Mirren,Falkirk,1,1,D,0,0,D,7,7,4,2
21/09/08,Kilmarnock,Celtic,1,3,A,0,1,A,2,9,2,5
21/09/08,Rangers,Motherwell,2,1,H,0,0,D,17,7,9,3
27/09/08,Celtic,Aberdeen,3,2,H,1,0,H,13,9,8,4
27/09/08,Dundee United,Hearts,3,0,H,1,0,H,13,8,7,5
27/09/08,Falkirk,Hamilton,4,1,H,1,0,H,14,9,9,5
27/09/08,Inverness C,Kilmarnock,3,1,H,2,1,H,13,4,7,0
27/09/08,Motherwell,St Mirren,2,1,H,0,1,A,12,10,5,5
28/09/08,Hibernian,Rangers,0,3,A,0,2,A,5,11,4,3
04/10/08,Aberdeen,Hibernian,1,2,A,1,1,D,12,11,6,4
04/10/08,Celtic,Hamilton,4,0,H,2,0,H,21,5,16,3
04/10/08,Dundee United,Inverness C,2,1,H,1,0,H,14,12,8,5
04/10/08,Hearts,Kilmarnock,1,2,A,1,1,D,10,7,3,3
05/10/08,Motherwell,Falkirk,3,2,H,2,1,H,12,9,6,4
05/10/08,St Mirren,Rangers,1,0,H,0,0,D,4,24,1,12
18/10/08,Falkirk,Aberdeen,0,1,A,0,0,D,11,8,3,4
18/10/08,Hamilton,St Mirren,1,2,A,1,2,A,6,6,1,5
18/10/08,Inverness C,Celtic,1,2,A,0,0,D,7,8,3,7
18/10/08,Kilmarnock,Motherwell,1,0,H,0,0,D,7,10,6,6
19/10/08,Hibernian,Hearts,1,1,D,1,1,D,10,7,4,2
25/10/08,Celtic,Hibernian,4,2,H,2,1,H,20,6,12,4
25/10/08,Dundee United,St Mirren,2,0,H,0,0,D,18,10,10,8
25/10/08,Hamilton,Rangers,1,3,A,1,1,D,5,10,2,4
25/10/08,Hearts,Aberdeen,1,1,D,1,1,D,12,6,2,3
25/10/08,Inverness C,Motherwell,1,2,A,0,0,D,11,5,5,2
25/10/08,Kilmarnock,Falkirk,1,2,A,0,1,A,10,5,5,2
01/11/08,Aberdeen,Kilmarnock,1,0,H,0,0,D,14,8,5,4
01/11/08,Falkirk,Dundee United,0,0,D,0,0,D,10,5,7,3
01/11/08,Motherwell,Hamilton,2,0,H,1,0,H,13,6,8,2
01/11/08,Rangers,Inverness C,5,0,H,5,0,H,16,8,8,1
01/11/08,St Mirren,Hibernian,0,0,D,0,0,D,13,11,7,8
02/11/08,Hearts,Celtic,0,2,A,0,2,A,7,7,4,3
04/11/08,Rangers,Dundee United,3,3,D,2,2,D,20,8,10,4
08/11/08,Celtic,Motherwell,2,0,H,1,0,H,15,9,7,5
08/11/08,Dundee United,Aberdeen,2,1,H,2,0,H,10,12,5,4
08/11/08,Hamilton,Falkirk,1,1,D,1,0,H,11,9,2,1
08/11/08,Hibernian,Inverness C,1,2,A,0,1,A,8,7,5,3
08/11/08,St Mirren,Hearts,0,1,A,0,0,D,11,7,2,3
