Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
03/08/02,Celtic,Dunfermline,2,1,H,1,0,H,19,4,8,2,7,14,13,2,1,2,0,0
03/08/02,Dundee,Hearts,1,1,D,0,1,A,16,11,5,4,15,16,9,6,0,2,0,0
03/08/02,Hibernian,Aberdeen,1,2,A,1,0,H,12,8,4,2,17,11,7,3,3,0,0,0
03/08/02,Kilmarnock,Rangers,1,1,D,0,1,A,6,16,4,9,17,15,2,10,1,0,0,0
03/08/02,Livingston,Motherwell,3,2,H,2,0,H,10,7,5,5,8,16,3,4,3,4,0,0
03/08/02,Partick,Dundee United,0,0,D,0,0,D,9,9,2,3,11,18,6,2,1,2,0,0
10/08/02,Aberdeen,Celtic,0,4,A,0,2,A,5,14,2,8,13,14,6,10,0,0,0,0
10/08/02,Dundee United,Kilmarnock,1,2,A,0,0,D,18,12,8,7,14,12,7,11,0,3,0,0
10/08/02,Dunfermline,Livingston,2,1,H,1,0,H,18,11,10,5,11,16,5,4,0,0,0,0
10/08/02,Motherwell,Partick,1,1,D,0,0,D,4,11,3,4,27,14,5,3,3,1,0,0
10/08/02,Rangers,Dundee,3,0,H,1,0,H,19,6,14,1,15,10,9,2,2,3,0,0
11/08/02,Hearts,Hibernian,5,1,H,2,0,H,18,9,14,4,16,14,6,4,1,0,0,0
17/08/02,Celtic,Dundee United,5,0,H,3,0,H,15,6,11,3,17,9,12,1,1,1,0,0
17/08/02,Dunfermline,Dundee,4,2,H,1,1,D,14,7,7,4,10,11,3,6,1,4,0,1
17/08/02,Kilmarnock,Motherwell,0,3,A,0,0,D,9,12,6,9,14,17,4,4,5,4,2,0
17/08/02,Partick,Livingston,2,2,D,1,1,D,10,13,3,8,15,18,2,5,2,1,0,0
18/08/02,Aberdeen,Hearts,1,1,D,0,0,D,7,3,4,3,12,18,5,3,1,2,0,0
18/08/02,Hibernian,Rangers,2,4,A,1,2,A,5,10,3,5,24,9,4,6,4,2,1,0
24/08/02,Dundee,Hibernian,2,1,H,0,1,A,11,11,5,4,9,23,6,4,1,4,0,0
24/08/02,Hearts,Dunfermline,2,0,H,0,0,D,10,6,10,6,16,11,8,6,1,3,0,0
24/08/02,Partick,Celtic,0,1,A,0,0,D,4,12,0,5,16,13,3,4,0,0,0,0
25/08/02,Dundee United,Motherwell,1,1,D,0,1,A,10,9,7,3,18,25,2,4,0,2,0,0
25/08/02,Livingston,Kilmarnock,0,1,A,0,1,A,9,11,4,5,16,17,7,4,2,2,0,0
25/08/02,Rangers,Aberdeen,2,0,H,1,0,H,20,3,9,1,10,18,9,0,2,2,0,1
31/08/02,Dundee United,Dundee,0,0,D,0,0,D,10,10,5,7,17,12,6,3,2,2,1,0
31/08/02,Hearts,Kilmarnock,1,1,D,1,1,D,18,5,9,2,17,22,14,4,0,5,0,1
31/08/02,Motherwell,Hibernian,0,2,A,0,1,A,2,8,1,4,21,16,5,4,3,4,0,0
01/09/02,Aberdeen,Partick,0,1,A,0,1,A,5,6,2,5,14,19,3,7,2,4,1,0
01/09/02,Celtic,Livingston,2,0,H,2,0,H,18,6,8,0,16,15,14,1,0,1,0,0
01/09/02,Dunfermline,Rangers,0,6,A,0,3,A,6,12,3,11,16,15,5,11,2,1,0,0
10/09/02,Motherwell,Celtic,2,1,H,0,0,D,6,12,3,6,21,14,2,15,5,1,0,0
11/09/02,Aberdeen,Dundee United,1,2,A,1,2,A,12,12,4,7,12,19,4,2,1,3,0,0
11/09/02,Dundee,Livingston,2,1,H,0,1,A,16,6,10,1,8,24,6,6,1,3,0,0
11/09/02,Hibernian,Dunfermline,1,4,A,1,3,A,4,11,4,10,11,10,4,4,0,1,0,0
11/09/02,Kilmarnock,Partick,1,0,H,1,0,H,14,7,5,3,10,14,4,2,2,0,0,0
11/09/02,Rangers,Hearts,2,0,H,1,0,H,12,19,5,5,16,15,11,7,2,1,0,0
14/09/02,Celtic,Hibernian,1,0,H,1,0,H,12,9,7,1,16,15,5,5,0,1,0,0
14/09/02,Dundee United,Dunfermline,1,2,A,0,2,A,19,6,9,4,15,18,1,5,0,2,0,0
14/09/02,Kilmarnock,Aberdeen,2,2,D,0,0,D,14,10,5,6,23,13,9,4,2,2,0,0
14/09/02,Livingston,Rangers,0,2,A,0,0,D,5,10,4,5,23,10,3,7,3,2,1,0
14/09/02,Partick,Dundee,1,1,D,1,0,H,14,9,9,5,10,13,7,2,0,2,0,0
15/09/02,Hearts,Motherwell,4,2,H,1,2,A,18,9,12,4,14,17,5,6,2,4,0,0
21/09/02,Dunfermline,Motherwell,1,0,H,0,0,D,11,9,6,6,13,19,5,1,1,2,0,0
21/09/02,Hearts,Dundee United,2,0,H,1,0,H,10,12,9,4,17,10,4,6,1,3,0,0
21/09/02,Hibernian,Kilmarnock,2,0,H,2,0,H,8,5,5,1,12,14,3,7,2,0,0,0
21/09/02,Rangers,Partick,3,0,H,2,0,H,23,9,12,2,8,12,7,6,0,2,0,0
22/09/02,Dundee,Celtic,0,1,A,0,1,A,12,14,5,5,6,18,5,6,1,1,0,0
22/09/02,Livingston,Aberdeen,1,2,A,0,1,A,10,7,3,3,16,13,9,2,3,1,0,0
28/09/02,Aberdeen,Dunfermline,3,1,H,1,1,D,14,10,7,7,16,13,5,8,3,3,0,1
28/09/02,Celtic,Kilmarnock,5,0,H,3,0,H,10,2,7,1,7,14,6,4,0,0,0,0
28/09/02,Dundee United,Rangers,0,3,A,0,2,A,10,18,2,7,15,10,6,7,2,0,0,0
28/09/02,Hibernian,Livingston,1,0,H,1,0,H,4,9,2,6,22,17,4,2,3,4,0,0
28/09/02,Motherwell,Dundee,1,1,D,0,1,A,16,7,7,5,24,15,8,2,2,2,0,0
28/09/02,Partick,Hearts,2,2,D,1,1,D,11,12,9,8,21,24,3,4,1,3,0,0
05/10/02,Dundee,Kilmarnock,2,1,H,0,0,D,18,6,12,2,14,11,12,4,2,0,0,0
05/10/02,Dunfermline,Partick,4,1,H,1,0,H,15,11,8,3,11,12,6,3,0,1,0,1
05/10/02,Hibernian,Dundee United,2,1,H,1,0,H,8,6,6,5,19,18,6,11,0,1,0,0
05/10/02,Motherwell,Aberdeen,1,2,A,1,0,H,8,9,4,5,23,12,5,2,3,5,0,0
06/10/02,Celtic,Rangers,3,3,D,1,1,D,15,7,10,4,9,15,7,3,3,4,0,0
06/10/02,Livingston,Hearts,1,1,D,1,0,H,8,7,4,3,11,18,6,5,2,3,0,0
19/10/02,Aberdeen,Dundee,0,0,D,0,0,D,8,5,5,3,16,18,5,2,1,2,0,0
19/10/02,Dundee United,Livingston,2,3,A,1,0,H,16,13,2,3,14,12,6,5,1,1,0,0
19/10/02,Kilmarnock,Dunfermline,2,2,D,0,1,A,11,9,9,6,15,13,7,3,1,2,0,0
19/10/02,Partick,Hibernian,0,3,A,0,1,A,6,11,3,8,5,18,4,4,1,4,0,0
19/10/02,Rangers,Motherwell,3,0,H,1,0,H,15,2,11,1,8,13,14,1,0,1,0,1
20/10/02,Hearts,Celtic,1,4,A,0,4,A,3,8,1,2,11,12,7,3,1,1,0,0
26/10/02,Dundee United,Partick,1,1,D,1,0,H,10,6,2,4,16,6,6,2,1,0,0,0
26/10/02,Hearts,Dundee,1,2,A,0,1,A,16,12,9,9,14,12,8,7,1,1,0,0
26/10/02,Motherwell,Livingston,1,5,A,0,1,A,15,11,7,8,11,16,13,1,1,2,0,0
27/10/02,Aberdeen,Hibernian,0,1,A,0,0,D,11,10,9,7,14,12,2,7,3,2,0,0
27/10/02,Dunfermline,Celtic,1,4,A,0,2,A,9,17,4,14,11,7,5,3,0,1,0,0
27/10/02,Rangers,Kilmarnock,6,1,H,4,1,H,23,5,16,4,4,14,12,1,0,2,0,0
02/11/02,Dundee,Rangers,0,3,A,0,1,A,8,12,4,8,8,15,1,13,0,1,1,0
02/11/02,Kilmarnock,Dundee United,1,2,A,1,1,D,11,6,5,5,13,25,5,4,0,5,0,0
02/11/02,Livingston,Dunfermline,1,1,D,0,0,D,13,9,6,2,9,11,4,3,1,2,0,0
02/11/02,Partick,Motherwell,2,0,H,1,0,H,20,18,9,13,16,15,5,9,1,4,0,1
03/11/02,Celtic,Aberdeen,7,0,H,3,0,H,25,3,16,2,9,12,9,3,0,3,0,0
03/11/02,Hibernian,Hearts,1,2,A,1,0,H,9,10,6,5,13,13,4,5,0,4,0,1
09/11/02,Hearts,Aberdeen,0,0,D,0,0,D,11,6,6,4,18,15,2,4,0,4,0,0
09/11/02,Livingston,Partick,3,0,H,0,0,D,15,7,9,3,19,6,5,5,1,1,0,0
09/11/02,Motherwell,Kilmarnock,0,1,A,0,0,D,11,13,7,7,17,15,4,3,1,2,0,0
