Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
23/07/11,Aberdeen,St Johnstone,0,0,D,0,0,D,9,6,4,2
23/07/11,Motherwell,Inverness C,3,0,H,2,0,H,12,11,7,2
23/07/11,Rangers,Hearts,1,1,D,0,1,A,7,10,4,8
24/07/11,Dundee United,Kilmarnock,1,1,D,0,0,D,11,9,4,4
24/07/11,Hibernian,Celtic,0,2,A,0,1,A,0,6,0,4
25/07/11,Dunfermline,St Mirren,0,0,D,0,0,D,5,16,1,7
30/07/11,Inverness C,Hibernian,0,1,A,0,0,D,10,5,2,4
30/07/11,Kilmarnock,Motherwell,0,0,D,0,0,D,10,5,4,3
30/07/11,St Johnstone,Rangers,0,2,A,0,1,A,10,12,4,10
30/07/11,St Mirren,Aberdeen,1,0,H,0,0,D,12,7,5,5
31/07/11,Hearts,Dundee United,0,1,A,0,1,A,8,5,2,2
06/08/11,Dundee United,St Mirren,1,1,D,0,1,A,26,7,10,4
06/08/11,Dunfermline,Inverness C,3,3,D,1,0,H,4,3,3,3
07/08/11,Aberdeen,Celtic,0,1,A,0,0,D,6,25,3,13
07/08/11,Motherwell,Hearts,1,0,H,0,0,D,12,9,9,6
13/08/11,Celtic,Dundee United,5,1,H,2,1,H,17,6,9,3
13/08/11,Hearts,Aberdeen,3,0,H,2,0,H,7,7,6,1
13/08/11,Inverness C,Rangers,0,2,A,0,0,D,6,8,3,4
13/08/11,St Johnstone,Dunfermline,0,1,A,0,1,A,7,5,3,3
13/08/11,St Mirren,Motherwell,0,1,A,0,0,D,3,6,3,5
14/08/11,Kilmarnock,Hibernian,4,1,H,2,1,H,15,10,8,4
20/08/11,Aberdeen,Inverness C,2,1,H,2,0,H,14,11,7,6
20/08/11,Dundee United,Dunfermline,0,1,A,0,0,D,7,3,4,1
20/08/11,Hibernian,St Mirren,1,2,A,1,2,A,9,6,1,3
21/08/11,Celtic,St Johnstone,0,1,A,0,0,D,17,5,7,3
21/08/11,Kilmarnock,Hearts,0,0,D,0,0,D,6,12,1,8
21/08/11,Motherwell,Rangers,0,3,A,0,2,A,5,16,5,9
27/08/11,Dunfermline,Motherwell,2,4,A,0,2,A,8,6,2,4
27/08/11,Inverness C,Kilmarnock,2,1,H,1,1,D,11,9,5,4
27/08/11,St Johnstone,Dundee United,3,3,D,3,1,H,10,13,7,6
28/08/11,Hearts,Hibernian,2,0,H,1,0,H,15,9,7,5
28/08/11,Rangers,Aberdeen,2,0,H,1,0,H,15,8,7,4
28/08/11,St Mirren,Celtic,0,2,A,0,2,A,13,13,8,7
10/09/11,Celtic,Motherwell,4,0,H,2,0,H,16,4,8,1
10/09/11,Dundee United,Rangers,0,1,A,0,0,D,13,13,5,6
10/09/11,Inverness C,Hearts,1,1,D,0,0,D,6,5,3,3
10/09/11,Kilmarnock,Dunfermline,3,2,H,2,1,H,7,6,4,2
10/09/11,St Mirren,St Johnstone,0,0,D,0,0,D,10,8,4,1
11/09/11,Hibernian,Aberdeen,0,0,D,0,0,D,12,7,7,4
17/09/11,Aberdeen,Kilmarnock,2,2,D,1,2,A,12,4,5,3
17/09/11,Dundee United,Inverness C,3,1,H,2,1,H,7,8,5,3
17/09/11,Dunfermline,Hibernian,2,2,D,0,1,A,11,16,5,10
17/09/11,Hearts,St Mirren,2,0,H,1,0,H,5,1,0,1
17/09/11,Motherwell,St Johnstone,0,3,A,0,1,A,6,7,3,6
18/09/11,Rangers,Celtic,4,2,H,1,2,A,13,6,6,5
24/09/11,Celtic,Inverness C,2,0,H,2,0,H,7,4,4,2
24/09/11,Dunfermline,Rangers,0,4,A,0,2,A,5,17,4,10
24/09/11,Hibernian,Dundee United,3,3,D,1,2,A,9,7,7,4
24/09/11,Motherwell,Aberdeen,1,0,H,0,0,D,8,8,5,7
24/09/11,St Mirren,Kilmarnock,3,0,H,2,0,H,11,7,5,4
25/09/11,St Johnstone,Hearts,2,0,H,1,0,H,6,7,3,4
27/09/11,Rangers,Kilmarnock,2,0,H,0,0,D,23,6,9,2
28/09/11,Hibernian,St Johnstone,3,2,H,2,1,H,6,10,2,2
30/09/11,Aberdeen,Dunfermline,4,0,H,3,0,H,27,6,12,3
01/10/11,Dundee United,Motherwell,1,3,A,0,2,A,6,4,3,2
01/10/11,Inverness C,St Mirren,2,1,H,1,1,D,9,4,5,3
01/10/11,Kilmarnock,St Johnstone,1,2,A,1,1,D,12,7,7,5
01/10/11,Rangers,Hibernian,1,0,H,0,0,D,16,10,10,3
02/10/11,Hearts,Celtic,2,0,H,0,0,D,7,13,4,7
15/10/11,Aberdeen,Dundee United,3,1,H,1,0,H,6,7,3,1
15/10/11,Dunfermline,Hearts,0,2,A,0,1,A,1,7,0,4
15/10/11,Hibernian,Motherwell,0,1,A,0,1,A,10,10,3,4
15/10/11,Kilmarnock,Celtic,3,3,D,3,0,H,11,14,7,8
15/10/11,Rangers,St Mirren,1,1,D,0,0,D,19,12,13,6
15/10/11,St Johnstone,Inverness C,2,0,H,1,0,H,11,4,5,1
22/10/11,Dundee United,St Johnstone,0,0,D,0,0,D,9,1,4,0
22/10/11,Inverness C,Dunfermline,1,1,D,1,0,H,10,8,5,2
22/10/11,Motherwell,Kilmarnock,0,0,D,0,0,D,9,14,5,7
22/10/11,St Mirren,Hibernian,2,3,A,2,3,A,16,7,8,5
