Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
01/08/2020,Aberdeen,Rangers,0,1,A,0,1,A,4,15,0,4,18,14,2,6,1,0,1,0
01/08/2020,Dundee United,St Johnstone,1,1,D,1,0,H,16,9,4,4,12,8,3,3,1,2,0,1
01/08/2020,Hibernian,Kilmarnock,2,1,H,2,1,H,11,12,3,2,13,12,5,4,1,1,0,0
01/08/2020,St Mirren,Livingston,1,0,H,1,0,H,6,12,2,3,16,16,2,5,3,2,0,0
02/08/2020,Celtic,Hamilton,5,1,H,2,1,H,25,7,15,2,9,8,11,8,1,3,0,0
03/08/2020,Ross County,Motherwell,1,0,H,1,0,H,9,15,3,1,24,12,5,8,3,1,0,1
08/08/2020,Hamilton,Ross County,0,1,A,0,0,D,9,10,4,6,14,15,9,1,0,1,0,0
08/08/2020,Livingston,Hibernian,1,4,A,0,3,A,12,18,3,8,17,11,5,4,1,1,0,0
08/08/2020,Motherwell,Dundee United,0,1,A,0,0,D,18,11,4,3,11,12,7,8,2,0,0,0
09/08/2020,Rangers,St Mirren,3,0,H,1,0,H,28,4,12,2,9,8,14,1,0,2,0,0
09/08/2020,Kilmarnock,Celtic,1,1,D,1,1,D,6,17,1,2,13,14,1,2,2,1,0,0
11/08/2020,Dundee United,Hibernian,0,1,A,0,0,D,10,8,1,3,16,13,7,3,3,2,0,0
12/08/2020,Motherwell,Livingston,2,2,D,2,1,H,9,15,3,5,13,18,4,6,2,1,0,0
12/08/2020,Rangers,St Johnstone,3,0,H,2,0,H,15,4,5,2,10,10,6,2,0,2,0,0
12/08/2020,Ross County,Kilmarnock,2,2,D,1,0,H,14,12,5,5,18,11,3,3,3,2,0,0
15/08/2020,Hamilton,St Mirren,0,1,A,0,1,A,12,19,5,7,6,12,2,9,0,3,0,0
15/08/2020,Kilmarnock,St Johnstone,1,2,A,0,0,D,11,17,4,5,10,9,11,1,1,2,1,0
15/08/2020,Ross County,Dundee United,1,2,A,1,1,D,12,13,2,4,13,13,5,7,2,1,0,0
15/08/2020,Hibernian,Motherwell,0,0,D,0,0,D,12,17,2,2,10,17,6,10,0,1,0,0
16/08/2020,Livingston,Rangers,0,0,D,0,0,D,2,23,1,3,10,7,0,9,0,1,0,0
20/08/2020,St Johnstone,Aberdeen,0,1,A,0,0,D,11,6,1,3,17,13,5,1,1,3,0,0
22/08/2020,Motherwell,Hamilton,0,1,A,0,0,D,17,8,4,2,17,12,13,5,2,1,0,0
22/08/2020,Rangers,Kilmarnock,2,0,H,0,0,D,26,2,10,0,18,9,9,2,1,1,0,0
22/08/2020,St Mirren,Ross County,1,1,D,1,0,H,12,18,6,2,11,12,3,4,0,2,1,0
22/08/2020,Dundee United,Celtic,0,1,A,0,0,D,7,23,1,9,18,10,6,10,2,2,0,0
23/08/2020,Aberdeen,Livingston,2,1,H,0,0,D,7,10,5,2,11,16,1,3,0,2,0,0
23/08/2020,St Johnstone,Hibernian,0,1,A,0,0,D,10,10,0,3,16,14,5,4,2,2,1,0
29/08/2020,Kilmarnock,Dundee United,4,0,H,2,0,H,15,18,9,1,13,12,2,10,3,1,0,0
29/08/2020,Livingston,Ross County,1,0,H,0,0,D,9,4,3,1,15,16,14,5,1,3,0,1
29/08/2020,St Johnstone,St Mirren,1,0,H,0,0,D,21,5,6,2,7,12,11,2,0,1,0,0
29/08/2020,Hamilton,Rangers,0,2,A,0,2,A,5,24,2,6,11,12,6,3,1,2,1,0
30/08/2020,Celtic,Motherwell,3,0,H,1,0,H,17,5,6,1,11,10,7,3,1,2,0,0
30/08/2020,Hibernian,Aberdeen,0,1,A,0,1,A,9,14,3,7,11,18,6,4,0,1,0,0
12/09/2020,Aberdeen,Kilmarnock,1,0,H,1,0,H,13,7,3,1,8,14,10,10,0,1,0,0
12/09/2020,Livingston,Hamilton,1,2,A,1,0,H,18,12,3,4,20,13,8,2,2,2,0,0
12/09/2020,Motherwell,St Johnstone,1,0,H,1,0,H,6,12,2,3,16,11,2,3,4,0,0,0
12/09/2020,Rangers,Dundee United,4,0,H,2,0,H,25,6,9,1,4,16,6,2,1,3,0,0
12/09/2020,Ross County,Celtic,0,5,A,0,2,A,9,18,5,10,13,11,4,7,1,1,0,0
12/09/2020,St Mirren,Hibernian,0,3,A,0,2,A,15,15,3,5,14,14,8,7,2,2,0,0
16/09/2020,St Mirren,Celtic,1,2,A,1,2,A,8,17,2,9,13,11,4,3,3,1,0,0
19/09/2020,Celtic,Livingston,3,2,H,2,1,H,17,7,6,3,8,11,3,1,1,1,0,0
19/09/2020,Dundee United,St Mirren,2,1,H,1,0,H,17,16,8,4,11,13,8,4,3,1,0,1
19/09/2020,Kilmarnock,Hamilton,2,1,H,1,1,D,17,15,8,4,10,12,6,8,1,3,1,0
19/09/2020,St Johnstone,Ross County,0,1,A,0,1,A,11,5,1,2,15,18,9,3,2,3,0,0
20/09/2020,Hibernian,Rangers,2,2,D,1,1,D,7,19,5,7,17,14,6,5,4,1,0,0
20/09/2020,Aberdeen,Motherwell,0,3,A,0,3,A,9,9,0,3,13,15,4,5,3,0,0,0
26/09/2020,Hamilton,Dundee United,1,1,D,0,1,A,12,12,1,2,18,18,7,5,4,1,0,0
26/09/2020,Livingston,St Johnstone,2,0,H,2,0,H,8,13,2,2,18,11,8,7,2,0,0,0
26/09/2020,St Mirren,Kilmarnock,0,1,A,0,1,A,6,5,0,3,16,12,5,6,5,0,0,0
27/09/2020,Motherwell,Rangers,1,5,A,0,3,A,7,16,1,9,14,8,7,4,1,0,0,0
27/09/2020,Celtic,Hibernian,3,0,H,2,0,H,20,9,9,0,9,11,6,5,0,2,0,0
27/09/2020,Ross County,Aberdeen,0,3,A,0,1,A,8,18,0,8,16,14,2,6,1,0,1,0
02/10/2020,Aberdeen,St Mirren,2,1,H,0,0,D,15,11,6,1,14,11,5,6,1,1,0,0
02/10/2020,Dundee United,Livingston,1,2,A,1,0,H,1,14,1,6,15,11,3,11,0,0,0,0
02/10/2020,Hibernian,Hamilton,3,2,H,2,0,H,18,8,9,4,10,12,7,2,1,2,0,0
04/10/2020,St Johnstone,Celtic,0,2,A,0,0,D,7,19,0,3,13,14,1,11,3,2,0,0
04/10/2020,Rangers,Ross County,2,0,H,1,0,H,15,4,4,0,9,13,14,2,0,1,0,0
17/10/2020,Celtic,Rangers,0,2,A,0,1,A,5,9,0,5,13,18,1,5,2,2,0,0
17/10/2020,Dundee United,Aberdeen,0,0,D,0,0,D,6,18,3,7,9,18,2,11,1,2,0,0
17/10/2020,Hamilton,St Johnstone,3,5,A,2,3,A,10,22,4,8,18,11,3,7,1,0,0,0
17/10/2020,Livingston,Kilmarnock,1,3,A,1,2,A,14,11,2,5,14,14,6,3,4,0,0,0
17/10/2020,Ross County,Hibernian,0,0,D,0,0,D,16,28,2,6,11,10,3,5,1,1,1,0
20/10/2020,Aberdeen,Hamilton,4,2,H,4,1,H,18,10,6,6,17,11,10,2,1,1,0,0
24/10/2020,Kilmarnock,Hibernian,0,1,A,0,1,A,8,11,0,2,17,20,1,6,2,1,0,0
24/10/2020,Motherwell,Ross County,4,0,H,1,0,H,14,11,5,5,12,14,4,6,2,1,0,0
24/10/2020,St Johnstone,Dundee United,0,0,D,0,0,D,14,3,3,0,12,9,5,0,1,1,0,0
25/10/2020,Aberdeen,Celtic,3,3,D,1,0,H,13,14,5,7,12,18,3,5,2,1,0,0
25/10/2020,Rangers,Livingston,2,0,H,2,0,H,11,4,7,1,9,14,5,3,1,1,0,0
31/10/2020,Dundee United,Ross County,2,1,H,1,0,H,8,13,3,3,11,16,2,8,1,4,0,0
31/10/2020,Livingston,Motherwell,0,2,A,0,2,A,13,8,3,4,14,12,5,5,2,2,0,0
01/11/2020,Kilmarnock,Rangers,0,1,A,0,1,A,8,20,4,4,14,14,4,9,3,3,0,0
06/11/2020,Aberdeen,Hibernian,2,0,H,2,0,H,7,6,2,2,23,11,3,4,0,3,0,0
06/11/2020,Ross County,Livingston,1,1,D,1,0,H,7,7,2,2,10,3,3,3,1,1,0,0
06/11/2020,St Johnstone,Kilmarnock,1,0,H,0,0,D,11,8,2,0,18,12,4,5,2,1,0,0
