Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
29/07/06,Celtic,Kilmarnock,4,1,H,2,0,H,18,8,9,5,8,15,4,3,1,1,0,0
29/07/06,Dundee United,Falkirk,1,2,A,1,1,D,10,15,6,5,10,10,9,6,3,3,0,0
29/07/06,Dunfermline,Hearts,1,2,A,0,1,A,9,10,4,5,24,12,9,4,5,3,1,0
29/07/06,Hibernian,Aberdeen,1,1,D,1,1,D,18,4,9,3,10,16,5,3,0,0,0,0
29/07/06,Inverness C,St Mirren,1,2,A,0,0,D,7,10,4,4,17,8,4,1,1,1,0,0
30/07/06,Motherwell,Rangers,1,2,A,0,1,A,3,13,1,5,10,10,2,8,2,1,0,0
05/08/06,Aberdeen,Inverness C,1,1,D,1,0,H,5,7,3,3,13,14,0,6,3,3,0,0
05/08/06,Falkirk,Dunfermline,1,0,H,1,0,H,12,4,3,1,10,12,3,2,0,0,0,0
05/08/06,Kilmarnock,Hibernian,2,1,H,0,1,A,5,10,3,6,18,22,3,9,2,2,0,0
05/08/06,Rangers,Dundee United,2,2,D,0,1,A,27,6,17,5,7,15,11,4,0,2,0,0
05/08/06,St Mirren,Motherwell,2,0,H,1,0,H,7,11,4,5,17,19,4,4,3,1,0,0
06/08/06,Hearts,Celtic,2,1,H,0,0,D,13,9,6,4,11,19,4,1,1,2,0,0
12/08/06,Celtic,St Mirren,2,0,H,1,0,H,17,5,9,1,14,9,6,1,1,1,0,0
12/08/06,Hearts,Falkirk,0,0,D,0,0,D,17,9,11,5,13,9,10,7,0,3,0,0
12/08/06,Inverness C,Hibernian,0,0,D,0,0,D,8,10,3,3,21,13,7,7,4,3,0,0
12/08/06,Kilmarnock,Dundee United,0,0,D,0,0,D,15,8,8,1,11,10,4,3,1,3,0,1
12/08/06,Motherwell,Aberdeen,0,2,A,0,1,A,11,7,3,4,12,11,6,2,2,1,0,0
13/08/06,Dunfermline,Rangers,1,1,D,0,0,D,6,14,2,7,11,11,2,5,2,0,0,0
