Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
30/07/05,Dundee United,Aberdeen,1,1,D,1,0,H,4,16,3,7
30/07/05,Falkirk,Inverness C,0,2,A,0,0,D,9,8,6,2
30/07/05,Hibernian,Dunfermline,1,1,D,0,1,A,12,9,5,6
30/07/05,Kilmarnock,Hearts,2,4,A,1,1,D,4,11,2,10
30/07/05,Motherwell,Celtic,4,4,D,1,3,A,11,10,6,9
31/07/05,Rangers,Livingston,3,0,H,1,0,H,18,6,12,1
06/08/05,Aberdeen,Kilmarnock,1,2,A,1,1,D,8,7,4,3
06/08/05,Celtic,Dundee United,2,0,H,1,0,H,19,4,11,3
06/08/05,Inverness C,Rangers,0,1,A,0,0,D,14,14,5,6
06/08/05,Livingston,Falkirk,0,2,A,0,1,A,9,11,3,7
06/08/05,Motherwell,Dunfermline,1,0,H,0,0,D,15,7,7,3
07/08/05,Hearts,Hibernian,4,0,H,1,0,H,11,4,5,1
13/08/05,Celtic,Falkirk,3,1,H,0,1,A,13,5,8,1
13/08/05,Dunfermline,Inverness C,0,1,A,0,1,A,9,6,4,3
13/08/05,Hibernian,Livingston,3,0,H,2,0,H,10,9,7,1
13/08/05,Kilmarnock,Motherwell,4,1,H,2,1,H,9,8,6,4
14/08/05,Aberdeen,Rangers,3,2,H,2,1,H,3,7,3,2
14/08/05,Dundee United,Hearts,0,3,A,0,2,A,13,19,6,11
20/08/05,Falkirk,Hibernian,0,2,A,0,1,A,18,12,7,7
20/08/05,Hearts,Aberdeen,2,0,H,1,0,H,14,5,7,4
20/08/05,Inverness C,Kilmarnock,2,2,D,1,0,H,11,8,6,4
20/08/05,Livingston,Dunfermline,1,1,D,0,1,A,7,6,4,3
20/08/05,Motherwell,Dundee United,4,5,A,2,1,H,12,12,10,7
20/08/05,Rangers,Celtic,3,1,H,1,0,H,14,6,9,2
27/08/05,Aberdeen,Falkirk,3,0,H,3,0,H,11,8,5,2
27/08/05,Hearts,Motherwell,2,1,H,1,0,H,13,11,7,4
27/08/05,Kilmarnock,Livingston,3,0,H,3,0,H,15,5,7,3
27/08/05,Rangers,Hibernian,0,3,A,0,0,D,15,6,6,5
28/08/05,Dundee United,Inverness C,1,1,D,0,0,D,11,12,7,7
28/08/05,Dunfermline,Celtic,0,4,A,0,2,A,9,11,6,6
10/09/05,Celtic,Aberdeen,2,0,H,1,0,H,8,2,4,0
10/09/05,Falkirk,Rangers,1,1,D,0,1,A,6,12,2,6
10/09/05,Hibernian,Dundee United,2,1,H,1,1,D,12,11,5,6
10/09/05,Inverness C,Motherwell,1,2,A,1,0,H,10,16,5,9
10/09/05,Kilmarnock,Dunfermline,3,2,H,2,1,H,18,8,9,5
11/09/05,Livingston,Hearts,1,4,A,1,3,A,8,6,6,4
17/09/05,Dundee United,Livingston,2,0,H,1,0,H,16,7,7,2
17/09/05,Dunfermline,Aberdeen,0,2,A,0,2,A,9,10,7,5
17/09/05,Inverness C,Hearts,0,1,A,0,1,A,3,6,1,4
17/09/05,Motherwell,Falkirk,5,0,H,2,0,H,16,8,8,4
17/09/05,Rangers,Kilmarnock,3,0,H,1,0,H,9,7,5,1
18/09/05,Hibernian,Celtic,0,1,A,0,1,A,8,8,5,6
24/09/05,Aberdeen,Livingston,0,0,D,0,0,D,8,4,6,2
24/09/05,Celtic,Inverness C,2,1,H,0,0,D,15,6,10,3
24/09/05,Dunfermline,Dundee United,2,1,H,0,1,A,9,9,3,4
24/09/05,Hearts,Rangers,1,0,H,1,0,H,9,11,4,7
24/09/05,Kilmarnock,Falkirk,1,1,D,1,1,D,14,10,6,4
24/09/05,Motherwell,Hibernian,1,3,A,0,1,A,9,11,6,8
01/10/05,Aberdeen,Motherwell,2,2,D,0,0,D,6,7,3,5
01/10/05,Dundee United,Kilmarnock,0,0,D,0,0,D,8,14,4,6
01/10/05,Livingston,Celtic,0,5,A,0,2,A,6,16,2,13
01/10/05,Rangers,Dunfermline,5,1,H,2,0,H,12,3,7,2
02/10/05,Falkirk,Hearts,2,2,D,1,0,H,8,3,3,1
02/10/05,Hibernian,Inverness C,1,2,A,0,0,D,12,13,4,9
15/10/05,Celtic,Hearts,1,1,D,1,1,D,14,7,7,4
15/10/05,Dunfermline,Falkirk,0,1,A,0,1,A,16,7,6,4
15/10/05,Hibernian,Kilmarnock,4,2,H,0,2,A,14,4,11,3
15/10/05,Inverness C,Aberdeen,1,1,D,0,0,D,7,10,5,4
15/10/05,Motherwell,Livingston,1,0,H,1,0,H,8,10,4,3
16/10/05,Dundee United,Rangers,0,0,D,0,0,D,11,11,6,6
22/10/05,Aberdeen,Hibernian,0,1,A,0,0,D,7,5,3,2
22/10/05,Falkirk,Dundee United,1,3,A,1,0,H,10,16,5,9
22/10/05,Hearts,Dunfermline,2,0,H,2,0,H,17,8,8,2
22/10/05,Livingston,Inverness C,1,1,D,1,0,H,10,13,4,5
22/10/05,Rangers,Motherwell,2,0,H,1,0,H,12,9,6,3
23/10/05,Kilmarnock,Celtic,0,1,A,0,1,A,7,9,3,1
25/10/05,Aberdeen,Dundee United,2,0,H,2,0,H,8,4,4,2
26/10/05,Celtic,Motherwell,5,0,H,3,0,H,8,1,6,0
26/10/05,Dunfermline,Hibernian,1,2,A,0,0,D,9,14,5,6
26/10/05,Hearts,Kilmarnock,1,0,H,1,0,H,9,7,9,7
26/10/05,Inverness C,Falkirk,0,3,A,0,1,A,11,11,2,8
26/10/05,Livingston,Rangers,2,2,D,0,1,A,6,12,5,7
29/10/05,Dunfermline,Motherwell,0,3,A,0,0,D,12,12,5,8
29/10/05,Falkirk,Livingston,1,1,D,1,0,H,13,6,6,4
29/10/05,Hibernian,Hearts,2,0,H,0,0,D,13,6,3,4
29/10/05,Kilmarnock,Aberdeen,4,2,H,2,1,H,9,10,6,5
29/10/05,Rangers,Inverness C,1,1,D,0,1,A,18,5,10,2
30/10/05,Dundee United,Celtic,2,4,A,2,3,A,4,14,1,9
05/11/05,Hearts,Dundee United,3,0,H,2,0,H,19,9,12,3
05/11/05,Inverness C,Dunfermline,2,1,H,2,0,H,10,3,7,1
05/11/05,Livingston,Hibernian,1,2,A,1,0,H,13,18,4,9
05/11/05,Motherwell,Kilmarnock,2,2,D,1,1,D,9,8,6,6
05/11/05,Rangers,Aberdeen,0,0,D,0,0,D,26,3,9,1
06/11/05,Falkirk,Celtic,0,3,A,0,2,A,3,12,1,7
19/11/05,Celtic,Rangers,3,0,H,1,0,H,3,11,2,4
19/11/05,Dundee United,Motherwell,1,1,D,0,0,D,16,12,11,7
19/11/05,Dunfermline,Livingston,0,1,A,0,0,D,6,8,2,3
19/11/05,Hibernian,Falkirk,2,3,A,2,0,H,17,15,9,6
19/11/05,Kilmarnock,Inverness C,2,2,D,0,1,A,7,9,6,3
20/11/05,Aberdeen,Hearts,1,1,D,1,0,H,7,8,3,5
26/11/05,Celtic,Dunfermline,0,1,A,0,1,A,8,3,2,2
26/11/05,Falkirk,Aberdeen,1,2,A,0,1,A,7,5,4,2
26/11/05,Inverness C,Dundee United,1,1,D,1,1,D,11,3,5,1
26/11/05,Livingston,Kilmarnock,0,3,A,0,2,A,5,9,2,6
26/11/05,Motherwell,Hearts,1,1,D,1,0,H,5,4,5,1
27/11/05,Hibernian,Rangers,2,1,H,2,0,H,10,3,7,1
03/12/05,Dundee United,Hibernian,1,0,H,0,0,D,11,10,8,3
03/12/05,Dunfermline,Kilmarnock,0,1,A,0,1,A,5,7,1,3
03/12/05,Hearts,Livingston,2,1,H,2,0,H,16,16,8,6
03/12/05,Motherwell,Inverness C,0,2,A,0,0,D,17,9,6,5
03/12/05,Rangers,Falkirk,2,2,D,1,0,H,13,7,6,3
04/12/05,Aberdeen,Celtic,1,3,A,0,0,D,4,8,3,6
10/12/05,Aberdeen,Dunfermline,0,0,D,0,0,D,7,5,1,3
10/12/05,Celtic,Hibernian,3,2,H,1,0,H,12,7,6,5
10/12/05,Falkirk,Motherwell,0,1,A,0,0,D,9,11,6,4
10/12/05,Hearts,Inverness C,0,0,D,0,0,D,15,15,3,3
10/12/05,Livingston,Dundee United,1,0,H,1,0,H,4,11,1,5
11/12/05,Kilmarnock,Rangers,2,3,A,0,2,A,7,12,5,7
17/12/05,Falkirk,Kilmarnock,1,2,A,0,0,D,13,14,8,9
17/12/05,Hibernian,Motherwell,2,1,H,1,1,D,19,5,7,4
17/12/05,Livingston,Aberdeen,0,0,D,0,0,D,9,2,5,1
17/12/05,Rangers,Hearts,1,0,H,1,0,H,16,4,5,3
18/12/05,Inverness C,Celtic,1,1,D,1,1,D,13,11,7,7
20/12/05,Dundee United,Dunfermline,2,1,H,2,1,H,15,7,5,5
26/12/05,Celtic,Livingston,2,1,H,1,0,H,20,5,7,2
26/12/05,Dunfermline,Rangers,3,3,D,2,1,H,4,13,4,5
26/12/05,Hearts,Falkirk,5,0,H,3,0,H,15,8,12,5
26/12/05,Inverness C,Hibernian,2,0,H,2,0,H,10,3,3,1
26/12/05,Kilmarnock,Dundee United,2,1,H,1,0,H,10,15,5,8
26/12/05,Motherwell,Aberdeen,3,1,H,2,0,H,19,9,11,3
31/12/05,Aberdeen,Inverness C,0,0,D,0,0,D,11,8,4,2
31/12/05,Falkirk,Dunfermline,1,2,A,0,1,A,17,8,8,4
31/12/05,Livingston,Motherwell,1,2,A,1,1,D,7,12,5,9
31/12/05,Rangers,Dundee United,3,0,H,0,0,D,10,6,6,4
01/01/06,Hearts,Celtic,2,3,A,2,0,H,10,9,4,5
02/01/06,Kilmarnock,Hibernian,2,2,D,1,0,H,13,12,6,9
14/01/06,Celtic,Kilmarnock,4,2,H,2,1,H,12,8,10,5
14/01/06,Dunfermline,Hearts,1,4,A,0,1,A,7,15,3,7
14/01/06,Hibernian,Aberdeen,1,2,A,0,2,A,14,2,6,2
14/01/06,Inverness C,Livingston,3,0,H,1,0,H,7,8,3,2
15/01/06,Dundee United,Falkirk,2,1,H,1,0,H,15,6,9,3
15/01/06,Motherwell,Rangers,0,1,A,0,0,D,11,5,6,2
21/01/06,Dundee United,Aberdeen,1,1,D,0,0,D,9,9,5,4
21/01/06,Falkirk,Inverness C,1,4,A,1,3,A,14,13,8,7
21/01/06,Hibernian,Dunfermline,3,1,H,1,1,D,16,8,7,5
21/01/06,Kilmarnock,Hearts,1,0,H,0,0,D,7,5,1,3
21/01/06,Rangers,Livingston,4,1,H,1,0,H,23,8,14,4
22/01/06,Motherwell,Celtic,1,3,A,1,1,D,10,6,4,4
28/01/06,Aberdeen,Kilmarnock,2,2,D,1,1,D,6,4,3,2
28/01/06,Celtic,Dundee United,3,3,D,1,1,D,10,9,7,7
28/01/06,Dunfermline,Motherwell,1,1,D,1,0,H,10,21,6,10
28/01/06,Hearts,Hibernian,4,1,H,3,0,H,8,8,5,5
28/01/06,Livingston,Falkirk,0,1,A,0,1,A,6,16,2,8
29/01/06,Inverness C,Rangers,2,3,A,1,2,A,6,15,4,10
07/02/06,Dundee United,Hearts,1,1,D,1,0,H,11,9,4,5
08/02/06,Aberdeen,Rangers,2,0,H,2,0,H,3,6,2,1
08/02/06,Celtic,Falkirk,2,1,H,2,0,H,8,5,3,3
08/02/06,Dunfermline,Inverness C,2,2,D,2,0,H,6,6,3,3
08/02/06,Hibernian,Livingston,7,0,H,2,0,H,22,3,15,0
08/02/06,Kilmarnock,Motherwell,2,0,H,1,0,H,6,9,5,2
11/02/06,Falkirk,Hibernian,0,0,D,0,0,D,9,12,4,6
11/02/06,Hearts,Aberdeen,1,2,A,1,0,H,7,9,2,5
11/02/06,Inverness C,Kilmarnock,3,3,D,1,1,D,11,13,8,10
11/02/06,Livingston,Dunfermline,0,1,A,0,1,A,4,4,2,2
11/02/06,Motherwell,Dundee United,2,0,H,1,0,H,8,7,4,4
12/02/06,Rangers,Celtic,0,1,A,0,1,A,9,5,3,1
18/02/06,Aberdeen,Falkirk,1,0,H,1,0,H,3,7,1,2
18/02/06,Dundee United,Inverness C,2,4,A,2,2,D,9,15,4,8
18/02/06,Hearts,Motherwell,3,0,H,2,0,H,9,10,7,1
18/02/06,Kilmarnock,Livingston,3,1,H,2,1,H,14,5,7,2
18/02/06,Rangers,Hibernian,2,0,H,1,0,H,25,5,9,4
19/02/06,Dunfermline,Celtic,1,8,A,1,4,A,13,11,5,9
25/02/06,Dunfermline,Dundee United,1,1,D,1,1,D,14,3,7,2
04/03/06,Celtic,Aberdeen,3,0,H,0,0,D,14,7,11,5
04/03/06,Falkirk,Rangers,1,2,A,0,0,D,8,12,3,3
04/03/06,Hibernian,Dundee United,3,1,H,3,0,H,14,7,9,2
04/03/06,Inverness C,Motherwell,0,1,A,0,0,D,6,4,2,0
04/03/06,Kilmarnock,Dunfermline,1,0,H,1,0,H,9,6,6,1
05/03/06,Livingston,Hearts,2,3,A,0,1,A,9,13,4,7
11/03/06,Dundee United,Livingston,3,1,H,0,1,A,12,6,9,4
11/03/06,Dunfermline,Aberdeen,1,0,H,0,0,D,5,8,2,0
11/03/06,Inverness C,Hearts,0,0,D,0,0,D,12,6,10,5
11/03/06,Motherwell,Falkirk,3,1,H,1,0,H,6,11,5,7
11/03/06,Rangers,Kilmarnock,4,0,H,1,0,H,15,3,8,1
12/03/06,Hibernian,Celtic,1,2,A,1,1,D,8,10,3,8
18/03/06,Aberdeen,Livingston,3,0,H,1,0,H,8,5,5,0
18/03/06,Kilmarnock,Falkirk,2,1,H,1,0,H,14,7,9,5
18/03/06,Motherwell,Hibernian,2,2,D,1,0,H,12,7,6,4
19/03/06,Hearts,Rangers,1,1,D,1,0,H,6,11,2,4
22/03/06,Celtic,Inverness C,2,1,H,1,0,H,12,7,8,3
25/03/06,Aberdeen,Motherwell,2,2,D,2,1,H,5,5,4,1
25/03/06,Dundee United,Kilmarnock,2,2,D,0,2,A,11,8,6,4
25/03/06,Falkirk,Hearts,1,2,A,1,1,D,6,5,3,3
25/03/06,Hibernian,Inverness C,0,2,A,0,0,D,15,9,6,6
25/03/06,Rangers,Dunfermline,1,0,H,0,0,D,26,3,16,2
26/03/06,Livingston,Celtic,0,2,A,0,0,D,6,13,6,6
01/04/06,Dunfermline,Falkirk,1,1,D,0,1,A,6,10,4,4
01/04/06,Inverness C,Aberdeen,0,1,A,0,0,D,2,7,0,4
01/04/06,Motherwell,Livingston,2,1,H,1,0,H,15,6,9,5
02/04/06,Dundee United,Rangers,1,4,A,0,2,A,9,20,6,11
05/04/06,Celtic,Hearts,1,0,H,1,0,H,7,13,5,5
05/04/06,Hibernian,Kilmarnock,2,1,H,0,1,A,16,11,7,10
08/04/06,Aberdeen,Hibernian,1,0,H,1,0,H,6,7,5,3
08/04/06,Falkirk,Dundee United,1,0,H,1,0,H,5,11,3,7
08/04/06,Hearts,Dunfermline,4,0,H,3,0,H,21,2,10,1
08/04/06,Livingston,Inverness C,2,1,H,1,1,D,12,15,5,5
08/04/06,Rangers,Motherwell,1,0,H,1,0,H,12,11,6,7
09/04/06,Kilmarnock,Celtic,1,4,A,0,1,A,9,10,3,8
