Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
15/08/09,Aberdeen,Celtic,1,3,A,0,3,A,3,22,1,13,13,8,4,8,1,0,0,0
15/08/09,Hibernian,St Mirren,2,1,H,1,1,D,21,4,11,1,15,10,7,3,2,2,0,1
15/08/09,Kilmarnock,Hamilton,3,0,H,1,0,H,9,8,5,3,11,10,4,4,0,1,0,0
15/08/09,Rangers,Falkirk,4,1,H,2,1,H,19,12,13,8,7,13,7,5,3,1,0,0
15/08/09,St Johnstone,Motherwell,2,2,D,1,0,H,14,10,6,6,12,6,3,5,4,4,0,0
17/08/09,Dundee United,Hearts,2,0,H,1,0,H,8,9,3,5,21,13,4,6,3,4,0,1
22/08/09,Celtic,St Johnstone,5,2,H,2,1,H,16,7,10,4,11,9,6,2,0,1,0,0
22/08/09,Falkirk,Hibernian,1,3,A,1,1,D,9,10,3,6,10,19,9,4,3,6,0,0
22/08/09,Hamilton,Aberdeen,0,3,A,0,2,A,10,17,4,10,16,9,3,3,2,3,0,0
22/08/09,Motherwell,Kilmarnock,3,1,H,2,0,H,14,12,6,6,8,14,10,0,1,3,0,0
22/08/09,St Mirren,Dundee United,0,0,D,0,0,D,10,9,5,2,13,12,3,8,1,0,0,0
23/08/09,Hearts,Rangers,1,2,A,1,0,H,19,8,8,3,16,14,3,4,4,2,0,1
29/08/09,Aberdeen,Motherwell,0,0,D,0,0,D,3,9,0,1,14,8,8,4,1,0,0,0
29/08/09,Dundee United,Falkirk,2,1,H,0,0,D,12,7,6,2,15,13,10,3,2,1,0,0
29/08/09,Kilmarnock,St Mirren,1,2,A,1,0,H,8,7,5,6,13,19,8,5,2,1,0,0
29/08/09,Rangers,Hamilton,4,1,H,2,0,H,20,4,12,2,12,14,6,4,0,1,0,0
30/08/09,Hibernian,Celtic,0,1,A,0,1,A,13,14,5,5,14,16,6,8,3,3,0,1
30/08/09,St Johnstone,Hearts,2,2,D,1,0,H,13,10,9,5,16,14,2,9,3,4,0,0
12/09/09,Celtic,Dundee United,1,1,D,1,1,D,6,6,3,2,10,21,8,6,1,4,0,1
12/09/09,Motherwell,Rangers,0,0,D,0,0,D,9,14,0,10,7,14,3,7,0,3,0,1
12/09/09,St Mirren,St Johnstone,1,1,D,1,1,D,7,17,3,10,8,17,3,5,1,6,0,0
13/09/09,Hamilton,Hibernian,2,0,H,2,0,H,5,6,3,2,14,18,4,3,2,2,0,1
14/09/09,Falkirk,Aberdeen,0,0,D,0,0,D,13,13,10,8,15,21,4,5,2,3,0,0
15/09/09,Hearts,Kilmarnock,1,0,H,1,0,H,17,13,5,6,8,9,5,3,0,1,0,0
19/09/09,Aberdeen,St Mirren,1,0,H,0,0,D,9,2,4,0,12,17,2,4,0,2,0,1
19/09/09,Dundee United,Motherwell,0,1,A,0,0,D,12,4,7,3,26,16,9,2,3,2,0,0
19/09/09,Hamilton,Falkirk,0,0,D,0,0,D,7,13,5,7,8,8,2,2,1,2,0,0
19/09/09,Hibernian,St Johnstone,3,0,H,2,0,H,7,14,3,4,9,7,0,5,0,2,0,0
19/09/09,Kilmarnock,Rangers,0,0,D,0,0,D,10,9,6,6,13,12,6,5,5,4,1,1
20/09/09,Celtic,Hearts,2,1,H,0,1,A,25,8,15,4,8,17,12,2,2,2,0,0
26/09/09,Falkirk,Kilmarnock,0,0,D,0,0,D,8,5,3,2,14,16,2,5,4,2,0,0
26/09/09,Hearts,Hamilton,2,1,H,0,0,D,11,11,2,7,16,17,6,5,1,4,0,0
26/09/09,Motherwell,Hibernian,1,3,A,1,1,D,9,9,3,6,6,21,7,4,1,2,0,0
26/09/09,Rangers,Aberdeen,0,0,D,0,0,D,15,7,9,2,8,12,14,6,2,1,0,0
26/09/09,St Johnstone,Dundee United,2,3,A,1,1,D,8,8,1,3,9,13,8,5,0,1,0,1
26/09/09,St Mirren,Celtic,0,2,A,0,1,A,4,11,2,5,10,14,4,4,3,2,0,0
03/10/09,Hamilton,St Johnstone,0,2,A,0,1,A,12,11,4,6,9,14,3,5,1,1,0,0
03/10/09,Hibernian,Dundee United,1,1,D,1,0,H,14,11,7,5,8,14,6,5,1,0,0,1
03/10/09,Kilmarnock,Aberdeen,1,1,D,0,0,D,12,7,7,4,10,15,9,4,1,1,0,0
03/10/09,Motherwell,Falkirk,1,0,H,1,0,H,5,10,2,1,8,11,6,2,0,2,0,0
03/10/09,St Mirren,Hearts,2,1,H,1,1,D,4,6,3,2,7,7,4,12,0,0,0,0
04/10/09,Rangers,Celtic,2,1,H,2,1,H,7,7,4,4,19,16,6,5,2,4,0,0
17/10/09,Aberdeen,Hearts,1,1,D,1,0,H,6,9,3,3,9,10,7,11,1,0,0,0
17/10/09,Celtic,Motherwell,0,0,D,0,0,D,21,5,9,4,10,9,14,10,1,1,0,0
17/10/09,Dundee United,Hamilton,1,1,D,0,0,D,11,6,3,1,17,14,7,4,2,2,0,0
17/10/09,Falkirk,St Mirren,1,3,A,0,0,D,10,9,3,7,15,17,4,8,1,1,0,0
17/10/09,Hibernian,Kilmarnock,1,0,H,0,0,D,15,6,7,1,11,11,9,5,1,1,0,0
17/10/09,St Johnstone,Rangers,1,2,A,1,1,D,11,10,7,6,6,14,4,2,1,1,0,0
24/10/09,Aberdeen,Dundee United,0,2,A,0,2,A,12,10,2,3,10,11,7,7,3,3,0,0
24/10/09,Hearts,Falkirk,0,0,D,0,0,D,11,7,5,2,9,15,8,6,1,3,0,0
24/10/09,Kilmarnock,St Johnstone,2,1,H,0,0,D,5,5,2,2,11,14,2,3,1,2,0,0
24/10/09,Rangers,Hibernian,1,1,D,1,0,H,22,17,11,12,15,16,5,5,3,3,0,0
24/10/09,St Mirren,Motherwell,3,3,D,1,0,H,13,10,7,5,15,5,3,7,1,0,0,0
25/10/09,Hamilton,Celtic,1,2,A,0,2,A,9,10,6,7,17,18,5,3,0,2,0,0
31/10/09,Celtic,Kilmarnock,3,0,H,2,0,H,19,7,16,1,4,10,11,3,1,2,0,0
31/10/09,Hibernian,Aberdeen,2,0,H,0,0,D,18,5,6,4,10,13,7,3,2,3,0,2
31/10/09,Motherwell,Hearts,1,0,H,0,0,D,13,8,4,3,15,14,8,4,1,2,0,1
31/10/09,St Johnstone,Falkirk,3,1,H,1,0,H,15,11,6,6,8,14,7,5,0,1,0,0
31/10/09,St Mirren,Hamilton,0,2,A,0,2,A,9,5,3,4,18,17,5,4,3,3,1,0
07/11/09,Aberdeen,St Johnstone,2,1,H,1,0,H,9,17,4,9,14,11,7,5,3,0,0,0
07/11/09,Hamilton,Motherwell,2,2,D,0,0,D,7,13,2,6,19,13,2,7,2,1,1,0
