Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
09/08/14,Dundee,Kilmarnock,1,1,D,1,1,D,14,10,7,3
09/08/14,Hamilton,Inverness C,0,2,A,0,2,A,8,13,3,8
09/08/14,Motherwell,St Mirren,1,0,H,0,0,D,9,20,4,11
10/08/14,Aberdeen,Dundee United,0,3,A,0,2,A,13,12,0,5
10/08/14,Ross County,St Johnstone,1,2,A,0,1,A,9,11,5,5
13/08/14,Dundee United,Motherwell,1,0,H,0,0,D,10,3,4,0
13/08/14,Inverness C,Dundee,0,0,D,0,0,D,13,4,3,2
13/08/14,Kilmarnock,Aberdeen,0,2,A,0,1,A,12,8,4,4
13/08/14,Partick,Ross County,4,0,H,1,0,H,16,9,8,4
13/08/14,St Johnstone,Celtic,0,3,A,0,0,D,6,16,1,8
13/08/14,St Mirren,Hamilton,0,2,A,0,1,A,9,7,2,4
16/08/14,Celtic,Dundee United,6,1,H,3,0,H,29,7,14,3
16/08/14,Dundee,Partick,1,1,D,0,1,A,9,9,3,5
16/08/14,Hamilton,St Johnstone,1,0,H,1,0,H,10,4,7,1
16/08/14,Motherwell,Inverness C,0,2,A,0,1,A,5,17,0,4
16/08/14,Ross County,Kilmarnock,1,2,A,0,1,A,9,13,8,6
23/08/14,Dundee United,Ross County,2,1,H,1,0,H,18,11,9,3
23/08/14,Inverness C,Celtic,1,0,H,0,0,D,10,13,2,6
23/08/14,Kilmarnock,Motherwell,2,0,H,1,0,H,17,7,11,2
23/08/14,Partick,Hamilton,1,2,A,0,0,D,8,5,5,4
23/08/14,St Johnstone,Aberdeen,1,0,H,0,0,D,9,9,2,1
23/08/14,St Mirren,Dundee,0,1,A,0,0,D,18,10,5,5
30/08/14,Aberdeen,Partick,2,0,H,0,0,D,16,5,6,1
30/08/14,Hamilton,Ross County,4,0,H,0,0,D,17,3,11,3
30/08/14,Inverness C,Kilmarnock,2,0,H,0,0,D,11,7,4,1
30/08/14,Motherwell,St Johnstone,0,1,A,0,0,D,8,10,3,6
30/08/14,St Mirren,Dundee United,0,3,A,0,0,D,13,13,1,7
31/08/14,Dundee,Celtic,1,1,D,1,0,H,10,13,3,6
13/09/14,Celtic,Aberdeen,2,1,H,1,0,H,19,10,4,5
13/09/14,Dundee United,Hamilton,2,2,D,2,2,D,9,11,4,5
13/09/14,Kilmarnock,St Mirren,2,1,H,0,0,D,8,9,5,4
13/09/14,Partick,Inverness C,3,1,H,2,1,H,11,11,7,5
13/09/14,Ross County,Motherwell,1,2,A,0,0,D,20,9,7,7
13/09/14,St Johnstone,Dundee,0,1,A,0,1,A,6,9,0,3
19/09/14,Partick,St Mirren,1,2,A,1,0,H,8,12,1,7
20/09/14,Aberdeen,Ross County,3,0,H,2,0,H,13,10,10,3
20/09/14,Hamilton,Kilmarnock,0,0,D,0,0,D,8,6,5,3
