Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
18/10/14,St Johnstone,Kilmarnock,1,2,A,1,2,A,10,9,4,7,13,15,6,4,3,2,0,0
18/10/14,St Mirren,Inverness C,0,1,A,0,1,A,9,7,2,4,14,16,4,3,4,3,0,2
24/10/14,Aberdeen,Motherwell,1,0,H,1,0,H,13,4,3,1,4,13,2,6,0,2,0,0
25/10/14,Dundee,Hamilton,2,0,H,0,0,D,8,10,3,2,14,14,7,2,2,2,0,0
25/10/14,Inverness C,Dundee United,1,0,H,1,0,H,20,9,5,1,8,17,10,4,0,2,0,0
25/10/14,Partick,St Johnstone,0,0,D,0,0,D,12,9,4,3,11,13,7,4,2,2,0,0
25/10/14,St Mirren,Ross County,2,2,D,1,1,D,15,7,8,4,11,15,11,6,0,1,0,0
26/10/14,Celtic,Kilmarnock,2,0,H,1,0,H,20,3,10,0,14,8,6,3,1,1,0,1
31/10/14,St Johnstone,Motherwell,2,1,H,1,1,D,10,11,5,5,5,16,7,5,0,2,0,0
01/11/14,Celtic,Inverness C,1,0,H,0,0,D,14,10,3,4,11,9,7,8,2,2,0,0
01/11/14,Dundee United,St Mirren,3,0,H,1,0,H,11,14,6,7,9,11,5,7,1,4,0,0
01/11/14,Hamilton,Partick,3,3,D,2,1,H,12,7,8,4,12,17,3,6,1,3,0,0
01/11/14,Kilmarnock,Dundee,1,3,A,0,1,A,10,7,3,5,6,11,7,4,1,2,0,0
03/11/14,Ross County,Aberdeen,0,1,A,0,0,D,8,15,2,4,14,12,2,6,1,1,0,0
07/11/14,Motherwell,Dundee United,1,0,H,0,0,D,6,14,2,2,10,6,2,7,3,2,0,0
08/11/14,Dundee,St Johnstone,1,1,D,1,0,H,15,8,8,5,10,12,10,9,4,1,0,0
08/11/14,Inverness C,Hamilton,4,2,H,1,1,D,14,8,10,5,10,13,7,2,1,2,0,0
08/11/14,Kilmarnock,Ross County,0,3,A,0,3,A,14,11,5,6,12,12,6,3,6,3,0,0
08/11/14,St Mirren,Partick,0,1,A,0,0,D,9,8,1,5,12,16,4,3,3,3,0,0
09/11/14,Aberdeen,Celtic,1,2,A,1,1,D,12,9,3,6,15,11,5,5,2,2,0,1
22/11/14,Celtic,Dundee,2,1,H,1,0,H,14,10,6,4,12,12,5,5,2,1,0,0
22/11/14,Dundee United,Kilmarnock,3,1,H,2,1,H,12,9,7,5,15,11,6,6,2,3,0,0
22/11/14,Hamilton,St Mirren,3,0,H,1,0,H,17,6,8,1,10,6,8,4,2,0,0,0
22/11/14,Inverness C,Motherwell,3,1,H,1,1,D,20,4,8,1,11,14,7,1,2,2,0,0
22/11/14,St Johnstone,Ross County,2,1,H,1,0,H,4,13,4,2,12,9,9,9,3,3,0,0
23/11/14,Partick,Aberdeen,0,1,A,0,1,A,6,11,0,7,8,15,3,6,1,1,0,0
03/12/14,Celtic,Partick,1,0,H,0,0,D,21,6,8,3,4,7,9,2,0,0,0,0
05/12/14,Ross County,Dundee United,2,3,A,0,1,A,9,12,7,6,10,13,8,4,1,1,1,0
06/12/14,Aberdeen,Hamilton,3,0,H,1,0,H,13,6,6,3,6,13,9,1,1,4,0,1
06/12/14,Dundee,Inverness C,1,2,A,1,0,H,7,11,1,4,13,12,2,8,2,1,0,0
06/12/14,Motherwell,Celtic,0,1,A,0,1,A,7,20,1,6,10,9,1,10,1,1,1,0
06/12/14,Partick,Kilmarnock,1,1,D,1,1,D,6,4,1,2,15,11,5,3,2,1,0,0
06/12/14,St Mirren,St Johnstone,0,1,A,0,1,A,13,13,9,5,15,10,3,6,4,4,0,0
13/12/14,Dundee United,Aberdeen,0,2,A,0,2,A,7,11,1,4,8,9,4,7,1,1,0,0
13/12/14,Hamilton,Dundee,2,1,H,2,0,H,9,6,4,4,16,17,4,3,3,3,0,1
13/12/14,Inverness C,Partick,0,4,A,0,2,A,6,13,4,8,12,6,7,5,0,1,0,0
13/12/14,Kilmarnock,St Johnstone,0,1,A,0,0,D,12,10,5,4,9,17,4,5,2,1,0,0
