Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
01/08/15,Celtic,Ross County,2,0,H,2,0,H,13,8,7,4,11,5,15,4,2,0,0,0
01/08/15,Hamilton,Partick,0,0,D,0,0,D,13,4,7,3,12,11,3,1,2,0,0,1
01/08/15,Inverness C,Motherwell,0,1,A,0,1,A,3,13,0,8,6,8,5,6,1,1,0,0
01/08/15,Kilmarnock,Dundee,0,4,A,0,2,A,4,14,1,10,15,10,1,4,1,0,0,0
02/08/15,Dundee United,Aberdeen,0,1,A,0,0,D,7,8,3,3,13,10,7,11,2,1,0,0
02/08/15,Hearts,St Johnstone,4,3,H,1,0,H,13,12,6,5,13,11,2,3,3,2,0,0
08/08/15,Dundee,Hearts,1,2,A,1,0,H,6,5,1,2,12,17,6,4,5,4,0,0
08/08/15,Motherwell,Dundee United,0,2,A,0,0,D,8,9,6,7,16,10,7,5,3,1,0,0
08/08/15,Ross County,Hamilton,2,0,H,2,0,H,6,8,2,2,8,14,5,4,0,3,0,0
08/08/15,St Johnstone,Inverness C,1,1,D,0,1,A,5,9,3,3,9,13,9,5,0,1,0,0
09/08/15,Aberdeen,Kilmarnock,2,0,H,1,0,H,15,2,9,0,8,18,7,3,1,4,0,0
09/08/15,Partick,Celtic,0,2,A,0,1,A,5,15,1,6,13,10,1,5,2,0,0,0
11/08/15,Dundee United,Dundee,2,2,D,0,0,D,10,11,6,7,10,11,6,1,0,1,0,0
11/08/15,St Johnstone,Ross County,1,1,D,0,1,A,6,10,2,6,8,17,8,6,2,3,0,0
12/08/15,Hearts,Motherwell,2,0,H,1,0,H,10,5,5,2,9,16,4,4,0,2,0,0
12/08/15,Inverness C,Partick,0,0,D,0,0,D,5,7,3,4,14,16,3,2,2,2,0,0
12/08/15,Kilmarnock,Celtic,2,2,D,1,1,D,11,28,5,12,11,12,6,7,0,0,0,0
15/08/15,Celtic,Inverness C,4,2,H,2,0,H,15,9,8,5,11,11,10,2,4,2,0,0
15/08/15,Dundee,St Johnstone,2,1,H,2,0,H,13,10,8,3,13,7,4,10,3,1,0,0
15/08/15,Hamilton,Dundee United,4,0,H,3,0,H,14,9,8,5,12,5,6,3,1,1,0,0
15/08/15,Motherwell,Aberdeen,1,2,A,1,1,D,12,12,4,6,11,11,2,5,1,2,0,0
