Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
28/07/01,Aberdeen,Rangers,0,3,A,0,0,D,6,7,1,4
28/07/01,Celtic,St Johnstone,3,0,H,1,0,H,11,7,9,4
28/07/01,Dundee United,Dundee,2,2,D,1,1,D,14,6,2,4
28/07/01,Dunfermline,Motherwell,5,2,H,1,1,D,8,8,6,3
28/07/01,Hibernian,Kilmarnock,2,2,D,1,2,A,12,6,5,3
28/07/01,Livingston,Hearts,2,1,H,1,0,H,8,6,4,3
04/08/01,Dundee,Hibernian,2,1,H,1,0,H,10,7,6,2
04/08/01,Hearts,Aberdeen,1,0,H,1,0,H,8,4,1,2
04/08/01,Kilmarnock,Celtic,0,1,A,0,0,D,6,10,3,4
04/08/01,Motherwell,Dundee United,0,0,D,0,0,D,7,11,2,6
04/08/01,Rangers,Livingston,0,0,D,0,0,D,5,6,2,1
04/08/01,St Johnstone,Dunfermline,0,2,A,0,1,A,8,7,4,4
11/08/01,Celtic,Hearts,2,0,H,1,0,H,12,6,4,1
11/08/01,Dundee,Livingston,1,0,H,1,0,H,9,15,5,7
11/08/01,Dunfermline,Rangers,1,4,A,0,2,A,7,18,2,14
11/08/01,Hibernian,Aberdeen,2,0,H,2,0,H,14,4,6,1
11/08/01,St Johnstone,Dundee United,0,1,A,0,1,A,14,11,4,7
12/08/01,Motherwell,Kilmarnock,2,2,D,1,1,D,6,11,3,8
18/08/01,Aberdeen,Motherwell,4,2,H,2,2,D,11,7,9,5
18/08/01,Dundee United,Dunfermline,3,2,H,2,0,H,11,8,8,4
18/08/01,Hearts,Dundee,3,1,H,3,0,H,12,13,6,2
18/08/01,Kilmarnock,St Johnstone,2,1,H,2,0,H,8,12,3,6
18/08/01,Livingston,Celtic,0,0,D,0,0,D,6,3,1,2
18/08/01,Rangers,Hibernian,2,2,D,1,1,D,10,7,9,4
25/08/01,Dunfermline,Hearts,0,1,A,0,0,D,9,11,3,4
25/08/01,Hibernian,Celtic,1,4,A,0,4,A,13,9,7,5
25/08/01,Motherwell,Livingston,0,0,D,0,0,D,9,15,2,5
25/08/01,St Johnstone,Aberdeen,1,1,D,0,1,A,4,14,4,4
26/08/01,Dundee United,Kilmarnock,0,2,A,0,1,A,9,6,6,3
26/08/01,Rangers,Dundee,2,0,H,1,0,H,15,14,5,4
08/09/01,Aberdeen,Kilmarnock,2,0,H,0,0,D,8,7,3,2
08/09/01,Celtic,Dunfermline,3,1,H,2,0,H,12,8,7,5
08/09/01,Dundee,St Johnstone,1,1,D,1,0,H,13,9,5,6
08/09/01,Hearts,Rangers,2,2,D,1,1,D,10,14,6,7
08/09/01,Livingston,Dundee United,2,0,H,0,0,D,11,10,7,4
08/09/01,Motherwell,Hibernian,1,3,A,1,1,D,12,16,4,9
15/09/01,Aberdeen,Dundee United,2,1,H,0,0,D,17,12,5,6
15/09/01,Dundee,Celtic,0,4,A,0,1,A,8,13,3,7
15/09/01,St Johnstone,Livingston,2,2,D,1,2,A,8,6,6,5
16/09/01,Hibernian,Dunfermline,5,1,H,3,1,H,18,4,12,3
16/09/01,Kilmarnock,Hearts,1,0,H,0,0,D,9,3,6,3
16/09/01,Rangers,Motherwell,3,0,H,1,0,H,21,4,12,3
22/09/01,Celtic,Aberdeen,2,0,H,0,0,D,18,3,8,0
22/09/01,Dundee United,Rangers,1,6,A,1,1,D,8,18,3,8
22/09/01,Dunfermline,Livingston,1,2,A,1,0,H,18,10,9,5
22/09/01,Motherwell,Hearts,2,0,H,1,0,H,10,7,5,2
23/09/01,Hibernian,St Johnstone,4,0,H,1,0,H,14,5,8,3
23/09/01,Kilmarnock,Dundee,0,1,A,0,1,A,4,3,1,1
29/09/01,Dundee,Aberdeen,1,4,A,1,1,D,10,8,7,6
29/09/01,Hearts,Dundee United,1,2,A,0,0,D,11,11,4,5
29/09/01,St Johnstone,Motherwell,2,3,A,1,1,D,9,6,6,4
30/09/01,Dunfermline,Kilmarnock,0,2,A,0,1,A,6,9,1,4
30/09/01,Livingston,Hibernian,1,0,H,0,0,D,11,7,4,3
30/09/01,Rangers,Celtic,0,2,A,0,1,A,14,9,5,8
13/10/01,Dundee United,Hibernian,3,1,H,0,1,A,10,11,6,5
13/10/01,Dunfermline,Dundee,1,0,H,1,0,H,8,9,4,3
13/10/01,Hearts,St Johnstone,3,0,H,2,0,H,13,4,9,1
13/10/01,Livingston,Aberdeen,2,2,D,1,0,H,7,12,3,6
13/10/01,Motherwell,Celtic,1,2,A,0,1,A,11,20,5,8
13/10/01,Rangers,Kilmarnock,3,1,H,2,0,H,20,3,13,1
20/10/01,Aberdeen,Dunfermline,3,2,H,3,0,H,21,12,11,5
20/10/01,Celtic,Dundee United,5,1,H,2,0,H,12,4,7,2
20/10/01,Kilmarnock,Livingston,1,5,A,1,2,A,10,12,3,8
21/10/01,Hibernian,Hearts,2,1,H,2,0,H,14,5,6,1
21/10/01,St Johnstone,Rangers,0,2,A,0,1,A,8,11,4,6
27/10/01,Aberdeen,Hearts,3,2,H,2,1,H,17,11,8,8
27/10/01,Celtic,Kilmarnock,1,0,H,0,0,D,17,6,8,2
27/10/01,Dundee United,Motherwell,1,1,D,1,0,H,11,6,7,3
27/10/01,Dunfermline,St Johnstone,2,1,H,0,1,A,20,7,6,3
27/10/01,Hibernian,Dundee,1,2,A,1,1,D,17,6,7,2
27/10/01,Livingston,Rangers,0,2,A,0,1,A,7,17,3,10
30/10/01,Dundee,Motherwell,3,1,H,1,1,D,10,7,5,5
03/11/01,Dundee,Dundee United,1,1,D,1,1,D,10,8,3,5
03/11/01,Hearts,Livingston,1,3,A,0,2,A,11,15,7,8
03/11/01,Kilmarnock,Hibernian,0,0,D,0,0,D,8,5,3,4
03/11/01,Motherwell,Dunfermline,1,0,H,0,0,D,12,12,5,3
03/11/01,St Johnstone,Celtic,1,2,A,1,1,D,7,11,3,4
04/11/01,Rangers,Aberdeen,2,0,H,2,0,H,24,6,12,3
10/11/01,Aberdeen,Motherwell,1,0,H,1,0,H,9,10,6,4
10/11/01,Dundee United,Dunfermline,0,2,A,0,1,A,15,8,6,5
10/11/01,Hearts,Dundee,2,0,H,0,0,D,12,8,5,3
10/11/01,Kilmarnock,St Johnstone,0,1,A,0,1,A,10,7,5,4
17/11/01,Aberdeen,Hibernian,2,0,H,0,0,D,13,6,7,2
17/11/01,Dundee United,St Johnstone,2,1,H,0,0,D,11,8,3,3
17/11/01,Hearts,Celtic,0,1,A,0,1,A,7,4,4,3
17/11/01,Kilmarnock,Motherwell,2,0,H,1,0,H,19,6,8,2
17/11/01,Livingston,Dundee,1,0,H,0,0,D,9,11,5,2
17/11/01,Rangers,Dunfermline,4,0,H,1,0,H,17,5,9,2
24/11/01,Dundee,Hearts,1,1,D,0,1,A,8,6,5,3
24/11/01,Dunfermline,Dundee United,1,1,D,0,0,D,9,9,5,4
24/11/01,Hibernian,Livingston,0,3,A,0,2,A,13,10,5,4
24/11/01,Motherwell,Aberdeen,3,2,H,2,1,H,7,11,6,5
24/11/01,St Johnstone,Kilmarnock,1,0,H,1,0,H,14,9,6,3
