Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
07/08/04,Aberdeen,Rangers,0,0,D,0,0,D,2,6,2,4
07/08/04,Dundee,Hearts,0,1,A,0,0,D,1,12,1,6
07/08/04,Dunfermline,Dundee United,1,1,D,0,0,D,10,6,3,3
07/08/04,Hibernian,Kilmarnock,0,1,A,0,0,D,9,10,5,4
07/08/04,Livingston,Inverness C,3,0,H,1,0,H,16,9,8,1
08/08/04,Celtic,Motherwell,2,0,H,1,0,H,17,5,8,1
14/08/04,Hearts,Aberdeen,0,0,D,0,0,D,11,4,6,2
14/08/04,Kilmarnock,Celtic,2,4,A,2,3,A,5,8,4,5
14/08/04,Motherwell,Hibernian,1,2,A,1,1,D,16,11,11,8
14/08/04,Rangers,Livingston,4,0,H,2,0,H,13,6,10,3
15/08/04,Dundee United,Dundee,1,2,A,0,1,A,17,7,12,2
15/08/04,Inverness C,Dunfermline,2,0,H,1,0,H,8,5,6,1
21/08/04,Dundee,Motherwell,1,2,A,0,1,A,9,14,7,9
21/08/04,Dunfermline,Aberdeen,0,1,A,0,1,A,10,3,3,2
21/08/04,Hearts,Kilmarnock,3,0,H,1,0,H,9,6,5,0
21/08/04,Livingston,Dundee United,1,1,D,0,0,D,18,11,11,5
21/08/04,Rangers,Hibernian,4,1,H,2,1,H,17,10,12,8
22/08/04,Inverness C,Celtic,1,3,A,1,1,D,1,15,0,9
28/08/04,Aberdeen,Livingston,2,0,H,0,0,D,13,0,9,0
28/08/04,Dundee United,Inverness C,2,1,H,0,0,D,11,7,8,4
28/08/04,Hibernian,Dundee,4,4,D,2,1,H,11,10,9,5
28/08/04,Motherwell,Hearts,2,0,H,0,0,D,8,8,4,5
29/08/04,Celtic,Rangers,1,0,H,0,0,D,10,8,4,1
29/08/04,Kilmarnock,Dunfermline,1,0,H,1,0,H,9,8,2,6
11/09/04,Celtic,Dundee,3,0,H,2,0,H,21,3,15,2
11/09/04,Dundee United,Aberdeen,1,1,D,0,1,A,9,7,6,3
11/09/04,Dunfermline,Motherwell,1,1,D,1,0,H,12,12,5,6
11/09/04,Inverness C,Hibernian,1,2,A,1,1,D,6,7,5,5
11/09/04,Livingston,Kilmarnock,0,2,A,0,0,D,14,11,7,7
12/09/04,Hearts,Rangers,0,0,D,0,0,D,10,7,5,3
18/09/04,Dundee,Livingston,0,0,D,0,0,D,6,3,2,2
18/09/04,Kilmarnock,Aberdeen,0,1,A,0,0,D,6,5,1,4
18/09/04,Motherwell,Dundee United,4,2,H,0,1,A,13,6,6,4
19/09/04,Dunfermline,Hearts,1,0,H,0,0,D,13,6,8,4
19/09/04,Hibernian,Celtic,2,2,D,2,2,D,7,15,1,11
19/09/04,Rangers,Inverness C,1,0,H,1,0,H,14,9,7,0
25/09/04,Aberdeen,Hibernian,0,1,A,0,0,D,9,8,5,5
25/09/04,Celtic,Dunfermline,3,0,H,2,0,H,19,10,12,5
25/09/04,Hearts,Inverness C,1,0,H,1,0,H,9,4,3,0
25/09/04,Kilmarnock,Dundee United,5,2,H,4,1,H,10,10,5,5
25/09/04,Livingston,Motherwell,2,3,A,2,1,H,6,16,6,9
26/09/04,Dundee,Rangers,0,2,A,0,0,D,10,13,5,10
02/10/04,Aberdeen,Dundee,1,1,D,1,1,D,9,4,1,4
02/10/04,Dunfermline,Hibernian,1,1,D,0,1,A,13,15,8,9
03/10/04,Dundee United,Celtic,0,3,A,0,3,A,8,14,4,9
03/10/04,Hearts,Livingston,0,0,D,0,0,D,13,11,6,4
03/10/04,Inverness C,Motherwell,1,1,D,0,1,A,9,7,4,4
03/10/04,Rangers,Kilmarnock,2,0,H,1,0,H,16,6,6,3
16/10/04,Celtic,Hearts,3,0,H,1,0,H,13,4,8,4
16/10/04,Dundee,Kilmarnock,3,1,H,1,1,D,13,4,10,2
16/10/04,Hibernian,Dundee United,2,0,H,1,0,H,10,9,4,2
16/10/04,Inverness C,Aberdeen,1,3,A,1,1,D,6,8,3,3
16/10/04,Livingston,Dunfermline,2,0,H,2,0,H,10,14,7,6
17/10/04,Motherwell,Rangers,0,2,A,0,1,A,12,19,9,10
23/10/04,Aberdeen,Motherwell,2,1,H,0,1,A,15,5,6,2
23/10/04,Dundee,Dunfermline,1,2,A,0,1,A,11,10,5,5
23/10/04,Kilmarnock,Inverness C,2,2,D,2,1,H,16,8,11,3
24/10/04,Hearts,Hibernian,2,1,H,1,0,H,9,11,5,5
24/10/04,Livingston,Celtic,2,4,A,1,4,A,3,9,2,6
24/10/04,Rangers,Dundee United,1,1,D,0,0,D,19,3,8,3
27/10/04,Celtic,Aberdeen,2,3,A,1,2,A,14,8,3,3
27/10/04,Dundee United,Hearts,1,1,D,0,1,A,7,5,1,1
27/10/04,Dunfermline,Rangers,1,2,A,1,0,H,7,13,6,5
27/10/04,Hibernian,Livingston,2,1,H,2,0,H,10,4,3,0
27/10/04,Inverness C,Dundee,2,1,H,1,0,H,7,6,2,3
27/10/04,Motherwell,Kilmarnock,0,1,A,0,0,D,9,4,0,1
30/10/04,Dundee United,Dunfermline,1,2,A,1,1,D,11,12,6,5
30/10/04,Hearts,Dundee,3,0,H,1,0,H,16,7,8,4
30/10/04,Inverness C,Livingston,2,0,H,1,0,H,9,7,4,5
30/10/04,Kilmarnock,Hibernian,3,1,H,3,0,H,8,11,4,3
30/10/04,Motherwell,Celtic,2,3,A,0,1,A,7,8,3,6
31/10/04,Rangers,Aberdeen,5,0,H,1,0,H,23,8,10,3
06/11/04,Celtic,Kilmarnock,2,1,H,1,0,H,13,4,9,2
06/11/04,Dundee,Dundee United,1,0,H,0,0,D,11,13,6,5
