Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
05/08/17,Celtic,Hearts,4,1,H,1,0,H,17,4,7,3,9,21,9,5,1,3,0,0
05/08/17,Dundee,Ross County,1,2,A,0,1,A,13,14,6,5,14,8,15,5,1,2,0,0
05/08/17,Hibernian,Partick,3,1,H,2,1,H,12,6,6,3,13,19,3,4,2,3,0,0
05/08/17,Kilmarnock,St Johnstone,1,2,A,0,1,A,12,8,4,2,12,16,1,10,1,4,0,0
06/08/17,Aberdeen,Hamilton,2,0,H,1,0,H,17,5,7,3,10,17,3,2,1,3,0,1
06/08/17,Motherwell,Rangers,1,2,A,1,1,D,10,15,2,3,17,17,7,5,4,2,0,0
11/08/17,Partick,Celtic,0,1,A,0,1,A,3,17,1,6,9,6,3,11,1,1,0,0
12/08/17,Hamilton,Dundee,3,0,H,2,0,H,13,11,7,4,13,19,5,7,1,3,0,0
12/08/17,Kilmarnock,Hearts,0,1,A,0,1,A,8,9,3,4,23,17,4,5,3,2,1,1
12/08/17,Rangers,Hibernian,2,3,A,1,2,A,12,13,2,4,15,14,6,5,6,3,1,0
12/08/17,Ross County,Aberdeen,1,2,A,1,1,D,5,13,3,7,21,14,2,6,3,1,0,0
12/08/17,St Johnstone,Motherwell,4,1,H,2,1,H,9,11,7,3,9,13,7,6,1,0,0,3
19/08/17,Aberdeen,Dundee,2,1,H,1,0,H,10,9,6,1,11,15,4,6,3,1,0,0
19/08/17,Hibernian,Hamilton,1,3,A,0,0,D,15,18,9,8,11,12,9,7,0,2,0,0
19/08/17,Kilmarnock,Celtic,0,2,A,0,1,A,3,15,0,6,15,6,5,5,2,0,0,0
19/08/17,Motherwell,Ross County,2,0,H,0,0,D,7,11,3,3,14,10,1,3,2,2,0,1
19/08/17,Rangers,Hearts,0,0,D,0,0,D,10,7,2,0,11,7,13,2,2,1,0,0
19/08/17,St Johnstone,Partick,1,0,H,1,0,H,7,6,3,3,3,15,3,2,0,2,0,0
26/08/17,Celtic,St Johnstone,1,1,D,0,1,A,31,7,11,3,7,8,12,1,2,3,0,0
26/08/17,Kilmarnock,Hamilton,2,2,D,1,0,H,6,14,2,6,9,11,1,4,3,1,0,0
26/08/17,Motherwell,Hearts,2,1,H,2,1,H,8,11,3,5,14,20,5,3,2,3,0,0
26/08/17,Partick,Aberdeen,3,4,A,2,2,D,5,16,3,8,12,9,5,9,1,0,1,0
27/08/17,Dundee,Hibernian,1,1,D,1,1,D,5,16,3,9,13,11,1,15,2,2,0,0
27/08/17,Ross County,Rangers,1,3,A,0,2,A,8,14,2,3,17,17,5,6,2,0,0,0
08/09/17,Hamilton,Celtic,1,4,A,0,3,A,5,15,4,6,10,4,3,15,1,0,0,0
09/09/17,Hearts,Aberdeen,0,0,D,0,0,D,18,11,9,4,20,11,10,2,3,1,0,0
09/09/17,Motherwell,Kilmarnock,2,0,H,0,0,D,15,5,8,2,11,9,6,5,3,1,0,0
09/09/17,Rangers,Dundee,4,1,H,1,0,H,19,7,10,1,6,9,10,2,1,2,0,0
09/09/17,Ross County,Partick,1,1,D,0,1,A,16,9,6,5,14,13,4,3,3,1,0,0
09/09/17,St Johnstone,Hibernian,1,1,D,0,0,D,5,15,1,2,14,9,2,13,3,1,0,0
15/09/17,Partick,Rangers,2,2,D,0,1,A,5,17,2,4,10,6,3,4,5,0,1,0
16/09/17,Aberdeen,Kilmarnock,1,1,D,1,0,H,15,10,5,5,10,13,5,4,2,3,0,0
