Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
03/08/2019,Celtic,St Johnstone,7,0,H,3,0,H,24,2,11,0,10,10,8,0,0,3,0,0
03/08/2019,Hibernian,St Mirren,1,0,H,0,0,D,13,14,5,5,4,9,4,5,1,2,0,0
03/08/2019,Livingston,Motherwell,0,0,D,0,0,D,9,10,5,5,12,17,5,10,1,3,0,0
03/08/2019,Ross County,Hamilton,3,0,H,2,0,H,12,9,6,5,11,11,9,6,0,3,0,0
04/08/2019,Kilmarnock,Rangers,1,2,A,0,1,A,5,14,3,10,12,20,2,7,2,1,0,0
04/08/2019,Aberdeen,Hearts,3,2,H,1,0,H,10,7,5,3,18,22,4,4,4,3,0,1
10/08/2019,Motherwell,Celtic,2,5,A,1,2,A,11,17,3,5,14,8,5,5,5,0,0,0
10/08/2019,St Johnstone,Livingston,2,2,D,0,2,A,7,11,4,8,13,18,2,5,1,3,0,0
10/08/2019,Hamilton,Kilmarnock,2,0,H,1,0,H,4,17,3,6,16,9,1,17,0,1,1,0
10/08/2019,Hearts,Ross County,0,0,D,0,0,D,7,15,2,3,14,11,8,6,0,3,0,0
11/08/2019,Rangers,Hibernian,6,1,H,2,1,H,34,6,19,4,8,13,14,2,2,3,0,1
11/08/2019,St Mirren,Aberdeen,1,0,H,1,0,H,10,13,4,4,15,14,3,9,1,2,0,0
24/08/2019,Hamilton,Motherwell,1,3,A,1,2,A,3,20,1,7,11,17,2,11,0,1,1,0
24/08/2019,Hibernian,St Johnstone,2,2,D,1,0,H,9,18,3,5,17,12,5,5,1,0,0,0
24/08/2019,Kilmarnock,Aberdeen,0,0,D,0,0,D,7,8,1,4,10,15,2,4,3,1,0,0
24/08/2019,Ross County,Livingston,1,4,A,1,3,A,6,14,2,6,8,8,6,5,1,1,0,0
25/08/2019,St Mirren,Rangers,0,1,A,0,0,D,7,15,2,7,9,12,3,6,1,2,0,0
25/08/2019,Celtic,Hearts,3,1,H,1,0,H,9,5,5,3,13,13,7,3,1,3,0,0
31/08/2019,Aberdeen,Ross County,3,0,H,2,0,H,11,7,6,2,17,17,6,2,2,1,0,0
31/08/2019,Hearts,Hamilton,2,2,D,1,0,H,13,14,3,5,12,14,6,8,1,2,0,0
31/08/2019,Livingston,St Mirren,2,1,H,1,0,H,11,11,3,5,12,18,4,2,1,3,0,0
31/08/2019,Motherwell,Hibernian,3,0,H,1,0,H,15,8,9,5,10,10,6,3,3,2,0,0
31/08/2019,St Johnstone,Kilmarnock,0,1,A,0,1,A,11,7,3,3,9,9,5,3,0,4,0,0
01/09/2019,Rangers,Celtic,0,2,A,0,1,A,9,13,2,6,13,10,8,5,1,1,1,0
14/09/2019,Hamilton,Celtic,0,1,A,0,1,A,3,12,1,2,19,10,1,4,2,0,0,0
14/09/2019,Aberdeen,St Johnstone,1,1,D,1,1,D,7,8,2,3,11,13,6,4,0,2,0,0
14/09/2019,Hearts,Motherwell,2,3,A,0,1,A,8,10,3,7,18,17,1,4,3,3,0,0
14/09/2019,Kilmarnock,Hibernian,2,0,H,0,0,D,12,7,4,3,13,17,3,2,0,1,0,0
14/09/2019,Rangers,Livingston,3,1,H,0,0,D,23,6,10,2,15,12,9,2,0,1,0,1
14/09/2019,Ross County,St Mirren,2,1,H,0,0,D,11,6,5,2,13,12,5,1,2,1,0,0
21/09/2019,Livingston,Aberdeen,0,2,A,0,1,A,4,4,2,2,8,13,3,3,2,0,0,0
21/09/2019,Motherwell,Ross County,1,2,A,0,0,D,13,10,6,4,12,14,6,4,1,2,1,0
21/09/2019,St Mirren,Hamilton,0,0,D,0,0,D,15,3,2,1,12,6,8,6,1,2,0,1
22/09/2019,St Johnstone,Rangers,0,4,A,0,0,D,5,17,2,9,14,7,2,7,1,0,0,0
22/09/2019,Celtic,Kilmarnock,3,1,H,1,1,D,21,6,11,3,9,8,5,4,1,1,0,0
22/09/2019,Hibernian,Hearts,1,2,A,0,0,D,14,7,4,3,14,7,7,7,1,1,0,0
28/09/2019,Hibernian,Celtic,1,1,D,1,1,D,3,20,2,7,13,14,1,4,3,5,0,0
28/09/2019,Hamilton,Livingston,2,1,H,1,1,D,6,7,2,2,15,14,4,7,1,1,0,0
28/09/2019,Kilmarnock,Ross County,0,0,D,0,0,D,11,10,6,2,10,12,2,4,0,2,0,0
28/09/2019,Rangers,Aberdeen,5,0,H,2,0,H,27,4,11,1,9,11,7,1,0,3,0,0
28/09/2019,St Johnstone,Motherwell,0,1,A,0,1,A,6,5,3,1,16,17,6,3,1,3,0,1
28/09/2019,St Mirren,Hearts,0,0,D,0,0,D,7,11,0,5,5,12,3,8,1,1,0,0
05/10/2019,Aberdeen,Hibernian,1,1,D,0,0,D,9,9,2,5,12,9,9,5,1,1,2,0
05/10/2019,Hearts,Kilmarnock,0,1,A,0,1,A,11,14,3,3,8,9,5,2,0,2,0,0
05/10/2019,Motherwell,St Mirren,2,0,H,1,0,H,19,14,9,5,7,11,2,9,0,2,0,0
05/10/2019,Ross County,St Johnstone,2,2,D,1,1,D,7,17,3,10,14,11,6,12,2,3,0,0
06/10/2019,Livingston,Celtic,2,0,H,0,0,D,10,12,4,4,19,11,0,7,3,2,0,1
06/10/2019,Rangers,Hamilton,5,0,H,2,0,H,23,3,11,0,11,7,8,0,0,1,0,0
19/10/2019,Celtic,Ross County,6,0,H,1,0,H,28,2,14,1,11,9,12,0,0,1,0,0
19/10/2019,Hamilton,Hibernian,1,1,D,0,1,A,6,10,2,3,9,13,6,8,1,1,0,0
19/10/2019,Kilmarnock,Livingston,2,1,H,1,0,H,11,10,4,3,12,17,2,2,2,2,0,0
19/10/2019,Motherwell,Aberdeen,0,3,A,0,1,A,12,12,6,6,9,12,2,5,1,2,0,0
19/10/2019,St Mirren,St Johnstone,2,0,H,1,0,H,12,10,5,2,17,18,6,1,1,2,0,0
20/10/2019,Hearts,Rangers,1,1,D,1,1,D,6,6,4,1,15,14,2,9,4,4,0,0
26/10/2019,Hibernian,Ross County,2,2,D,0,0,D,13,7,6,3,15,10,5,5,1,1,0,0
26/10/2019,Kilmarnock,St Mirren,1,0,H,0,0,D,5,9,3,3,11,13,3,4,0,0,0,0
26/10/2019,Livingston,Hearts,0,0,D,0,0,D,4,10,2,6,13,11,5,3,4,3,1,0
26/10/2019,St Johnstone,Hamilton,3,2,H,1,1,D,20,4,5,2,15,16,10,3,0,1,0,0
27/10/2019,Aberdeen,Celtic,0,4,A,0,4,A,1,15,0,5,13,8,2,8,1,0,0,0
27/10/2019,Rangers,Motherwell,2,1,H,1,1,D,19,4,6,1,10,10,5,1,0,3,0,0
30/10/2019,Celtic,St Mirren,2,0,H,0,0,D,24,5,9,1,9,5,4,1,0,1,0,0
30/10/2019,Hamilton,Aberdeen,0,1,A,0,1,A,6,12,2,4,17,23,3,11,1,1,0,0
30/10/2019,Hibernian,Livingston,2,2,D,0,2,A,17,12,8,4,10,13,10,5,1,1,0,0
30/10/2019,Motherwell,Kilmarnock,2,1,H,1,1,D,14,8,4,3,13,8,8,7,1,2,0,1
30/10/2019,Ross County,Rangers,0,4,A,0,3,A,2,20,0,6,15,10,0,9,1,0,0,0
30/10/2019,St Johnstone,Hearts,1,0,H,0,0,D,7,3,3,1,8,21,4,4,1,4,0,0
02/11/2019,Aberdeen,Kilmarnock,3,0,H,2,0,H,12,6,6,3,10,14,6,3,2,1,0,0
02/11/2019,Hamilton,Ross County,2,2,D,0,1,A,9,9,3,5,16,17,8,6,2,3,1,0
02/11/2019,Motherwell,Livingston,2,1,H,0,0,D,10,9,5,5,12,11,3,5,1,2,0,0
09/11/2019,Hearts,St Mirren,5,2,H,3,2,H,11,13,6,5,16,6,8,4,0,0,0,0
09/11/2019,Kilmarnock,Hamilton,2,2,D,1,2,A,16,5,6,3,11,8,12,4,1,2,0,1
09/11/2019,Ross County,Aberdeen,1,3,A,1,1,D,4,15,3,6,13,13,3,7,2,1,0,0
09/11/2019,St Johnstone,Hibernian,1,4,A,0,2,A,7,15,3,6,9,7,4,4,1,0,0,0
10/11/2019,Celtic,Motherwell,2,0,H,1,0,H,16,5,7,0,7,12,8,5,0,1,0,0
10/11/2019,Livingston,Rangers,0,2,A,0,1,A,5,13,2,4,17,10,1,4,3,0,0,0
23/11/2019,Celtic,Livingston,4,0,H,1,0,H,24,2,12,1,1,9,9,1,1,2,0,0
23/11/2019,Hibernian,Motherwell,3,1,H,2,1,H,10,11,6,4,14,10,1,10,3,2,0,0
23/11/2019,Kilmarnock,Hearts,3,0,H,3,0,H,9,11,7,2,10,13,7,6,1,0,0,0
23/11/2019,St Mirren,Ross County,2,1,H,1,1,D,16,7,5,5,12,13,10,4,1,4,0,0
24/11/2019,Hamilton,Rangers,1,3,A,1,2,A,8,17,3,8,11,8,4,9,2,2,0,0
24/11/2019,St Johnstone,Aberdeen,1,1,D,0,1,A,4,13,2,7,13,15,3,6,3,2,2,0
26/11/2019,St Mirren,Hibernian,1,2,A,0,1,A,13,4,3,2,13,12,7,2,1,4,0,0
30/11/2019,Aberdeen,St Mirren,2,1,H,1,1,D,14,12,7,6,11,9,7,3,1,2,0,0
30/11/2019,Hibernian,Kilmarnock,2,2,D,1,0,H,20,6,10,4,9,9,7,2,1,1,0,0
30/11/2019,Livingston,Hamilton,0,0,D,0,0,D,8,3,3,0,14,14,6,2,0,1,0,0
30/11/2019,Motherwell,St Johnstone,4,0,H,1,0,H,16,11,5,3,15,7,5,4,0,1,0,0
01/12/2019,Ross County,Celtic,1,4,A,1,2,A,2,19,2,7,12,8,0,11,1,2,0,0
01/12/2019,Rangers,Hearts,5,0,H,2,0,H,13,2,6,1,8,13,4,3,2,3,0,0
04/12/2019,Aberdeen,Rangers,2,2,D,1,2,A,8,13,5,8,19,8,2,8,2,2,0,0
04/12/2019,Celtic,Hamilton,2,1,H,1,0,H,22,9,5,5,10,9,7,2,0,0,0,0
04/12/2019,Hearts,Livingston,1,1,D,0,1,A,19,8,9,3,13,14,5,5,0,4,0,0
04/12/2019,Kilmarnock,St Johnstone,0,0,D,0,0,D,3,11,1,2,19,13,2,7,1,1,0,0
