Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
04/08/07,Dundee United,Aberdeen,1,0,H,0,0,D,8,3,3,2,18,17,8,4,3,3,1,0
04/08/07,Gretna,Falkirk,0,4,A,0,2,A,10,14,4,9,14,13,7,4,3,1,0,0
04/08/07,Inverness C,Rangers,0,3,A,0,1,A,3,16,3,11,7,8,4,7,1,2,0,0
04/08/07,St Mirren,Motherwell,0,1,A,0,1,A,10,11,7,7,14,20,13,3,5,4,0,0
05/08/07,Celtic,Kilmarnock,0,0,D,0,0,D,14,5,5,0,11,20,10,0,3,3,0,0
06/08/07,Hearts,Hibernian,0,1,A,0,1,A,9,10,2,5,21,20,6,3,3,2,0,0
11/08/07,Falkirk,Celtic,1,4,A,1,1,D,8,19,4,12,12,17,5,7,1,2,1,0
11/08/07,Hibernian,Gretna,4,2,H,0,1,A,12,10,7,9,18,19,9,4,3,3,0,0
11/08/07,Motherwell,Inverness C,2,1,H,0,0,D,11,8,6,3,14,20,6,5,3,4,0,0
11/08/07,Rangers,St Mirren,2,0,H,0,0,D,17,6,11,3,16,16,5,1,2,1,0,0
12/08/07,Aberdeen,Hearts,1,1,D,1,1,D,8,5,5,3,10,16,7,2,1,5,0,0
13/08/07,Kilmarnock,Dundee United,2,1,H,0,0,D,9,6,3,3,17,24,6,2,1,1,0,1
18/08/07,Dundee United,Hibernian,0,0,D,0,0,D,12,11,6,7,14,9,2,5,0,0,0,0
18/08/07,Hearts,Gretna,1,1,D,0,0,D,7,7,4,4,11,8,6,5,1,4,0,0
18/08/07,Motherwell,Kilmarnock,1,2,A,1,0,H,15,5,5,3,10,19,12,2,1,3,0,0
18/08/07,Rangers,Falkirk,7,2,H,2,1,H,24,12,17,8,7,6,6,6,1,1,0,0
18/08/07,St Mirren,Inverness C,2,1,H,1,0,H,6,20,3,9,15,14,4,5,1,0,0,0
19/08/07,Aberdeen,Celtic,1,3,A,1,0,H,9,16,5,3,17,12,4,3,2,3,0,0
25/08/07,Celtic,Hearts,5,0,H,2,0,H,17,8,12,2,14,12,6,5,0,2,0,0
25/08/07,Falkirk,St Mirren,0,1,A,0,0,D,14,7,5,3,17,10,9,1,1,1,0,0
25/08/07,Gretna,Motherwell,1,2,A,1,1,D,9,8,4,8,17,8,5,7,2,4,1,0
25/08/07,Hibernian,Aberdeen,3,3,D,1,2,A,20,16,14,12,9,16,6,3,0,1,0,0
25/08/07,Inverness C,Dundee United,0,3,A,0,0,D,11,6,5,4,11,14,3,5,2,1,0,0
25/08/07,Kilmarnock,Rangers,1,2,A,0,0,D,7,22,5,14,17,8,3,13,1,0,0,0
01/09/07,Dundee United,Falkirk,2,0,H,0,0,D,8,13,5,7,14,10,5,9,1,0,1,0
01/09/07,Hibernian,Inverness C,1,0,H,1,0,H,10,15,4,5,9,13,3,9,1,2,0,0
01/09/07,Kilmarnock,Aberdeen,0,1,A,0,0,D,11,9,7,4,12,16,5,2,1,0,0,0
01/09/07,Rangers,Gretna,4,0,H,1,0,H,8,7,6,4,12,18,6,1,0,3,0,0
02/09/07,St Mirren,Celtic,1,5,A,0,2,A,9,13,4,8,4,7,6,6,1,0,0,0
03/09/07,Motherwell,Hearts,0,2,A,0,1,A,17,9,7,7,15,20,9,5,1,5,0,0
15/09/07,Aberdeen,Motherwell,1,2,A,0,2,A,14,9,6,4,17,20,5,6,1,1,0,0
15/09/07,Celtic,Inverness C,5,0,H,2,0,H,17,14,8,6,10,9,3,4,0,1,0,0
15/09/07,Falkirk,Hibernian,1,1,D,0,1,A,9,7,4,3,17,9,6,5,3,3,2,1
15/09/07,Gretna,Kilmarnock,1,2,A,0,2,A,9,3,2,2,13,9,7,3,4,1,0,0
15/09/07,Hearts,Rangers,4,2,H,2,0,H,9,9,7,3,18,18,6,2,3,4,0,0
16/09/07,Dundee United,St Mirren,2,0,H,1,0,H,14,5,5,2,11,16,5,3,2,4,0,1
22/09/07,Falkirk,Motherwell,1,0,H,0,0,D,13,5,3,1,17,12,8,5,1,0,0,0
22/09/07,Gretna,Dundee United,3,2,H,2,1,H,7,13,5,7,21,14,3,4,2,1,0,0
22/09/07,Inverness C,Hearts,2,1,H,0,1,A,16,6,11,3,11,16,7,6,3,0,0,0
22/09/07,Kilmarnock,St Mirren,0,0,D,0,0,D,5,14,4,6,12,12,9,9,2,1,0,0
23/09/07,Hibernian,Celtic,3,2,H,2,1,H,14,15,8,10,11,12,3,3,2,1,0,0
23/09/07,Rangers,Aberdeen,3,0,H,0,0,D,23,9,15,4,14,16,7,5,1,4,0,0
29/09/07,Aberdeen,Gretna,2,0,H,2,0,H,12,3,5,1,9,14,7,2,1,3,0,0
29/09/07,Celtic,Dundee United,3,0,H,1,0,H,14,7,7,3,14,6,5,6,1,1,0,0
29/09/07,Hibernian,Kilmarnock,4,1,H,2,0,H,14,9,10,6,8,13,8,7,0,3,0,1
29/09/07,Inverness C,Falkirk,4,2,H,3,1,H,18,12,11,9,12,21,3,4,0,1,0,0
29/09/07,Motherwell,Rangers,1,1,D,1,0,H,9,15,2,5,20,14,5,5,4,3,0,0
30/09/07,St Mirren,Hearts,1,3,A,0,1,A,15,12,7,6,8,20,11,5,2,2,0,0
06/10/07,Dundee United,Motherwell,1,0,H,0,0,D,11,4,5,1,14,19,2,3,1,3,0,0
06/10/07,Hearts,Falkirk,4,2,H,2,0,H,12,17,9,8,5,3,4,8,1,3,0,0
06/10/07,Kilmarnock,Inverness C,2,2,D,1,1,D,9,12,5,6,15,14,7,3,1,0,0,0
06/10/07,Rangers,Hibernian,0,1,A,0,0,D,19,11,10,3,15,17,5,1,0,4,0,0
07/10/07,Aberdeen,St Mirren,4,0,H,1,0,H,11,10,6,5,11,12,5,4,1,3,0,0
07/10/07,Gretna,Celtic,1,2,A,1,0,H,7,13,2,8,16,12,2,4,3,1,0,0
20/10/07,Falkirk,Kilmarnock,1,1,D,1,1,D,13,9,3,5,10,15,4,3,0,0,0,0
20/10/07,Hearts,Dundee United,1,3,A,0,2,A,16,9,7,6,12,24,8,3,1,3,1,1
20/10/07,Motherwell,Hibernian,2,1,H,2,1,H,15,7,7,2,14,14,7,3,1,2,0,1
20/10/07,Rangers,Celtic,3,0,H,1,0,H,10,12,6,8,16,26,3,4,2,9,0,0
20/10/07,St Mirren,Gretna,1,0,H,1,0,H,7,8,1,0,10,17,3,5,0,3,0,1
21/10/07,Inverness C,Aberdeen,1,2,A,0,1,A,10,9,4,4,14,12,4,1,2,1,0,0
27/10/07,Celtic,Motherwell,3,0,H,1,0,H,14,9,10,5,6,14,10,7,2,1,0,0
27/10/07,Gretna,Inverness C,0,4,A,0,2,A,10,10,3,5,14,9,4,9,1,1,0,0
27/10/07,Hibernian,St Mirren,0,1,A,0,1,A,6,9,2,4,14,6,7,2,2,3,1,0
27/10/07,Kilmarnock,Hearts,3,1,H,0,0,D,10,8,4,4,16,14,3,0,4,4,0,1
28/10/07,Aberdeen,Falkirk,1,1,D,1,0,H,5,11,1,6,10,8,6,3,1,1,0,0
28/10/07,Dundee United,Rangers,2,1,H,1,0,H,6,11,3,6,28,18,7,9,3,4,0,0
03/11/07,Aberdeen,Dundee United,2,0,H,1,0,H,9,9,5,2,18,19,5,5,3,1,0,2
03/11/07,Falkirk,Gretna,2,0,H,1,0,H,20,5,9,2,6,16,5,2,1,1,0,0
03/11/07,Kilmarnock,Celtic,1,2,A,0,2,A,7,19,3,10,15,12,5,12,3,3,0,0
03/11/07,Motherwell,St Mirren,1,1,D,1,1,D,12,6,4,3,13,14,6,8,2,2,0,0
03/11/07,Rangers,Inverness C,2,0,H,1,0,H,17,11,9,5,3,12,6,2,0,2,0,0
04/11/07,Hibernian,Hearts,1,1,D,1,0,H,15,16,7,6,19,21,8,6,1,2,0,0
10/11/07,Dundee United,Kilmarnock,2,0,H,1,0,H,10,6,7,4,14,20,6,2,1,4,1,0
10/11/07,Gretna,Hibernian,0,1,A,0,0,D,11,16,5,7,12,15,1,12,3,3,0,0
10/11/07,Inverness C,Motherwell,0,3,A,0,1,A,5,12,0,6,19,6,3,6,2,0,2,0
11/11/07,Hearts,Aberdeen,4,1,H,2,1,H,13,13,5,4,22,16,2,7,1,3,0,0
24/11/07,Celtic,Aberdeen,3,0,H,2,0,H,16,5,14,1,15,7,5,7,1,0,0,0
24/11/07,Falkirk,Rangers,1,3,A,0,1,A,6,6,4,4,21,13,6,5,2,2,0,0
24/11/07,Hibernian,Dundee United,2,2,D,0,0,D,11,8,4,5,16,27,4,3,4,5,0,1
24/11/07,Inverness C,St Mirren,1,0,H,1,0,H,10,5,5,1,11,9,3,6,1,3,0,1
24/11/07,Kilmarnock,Motherwell,0,1,A,0,0,D,6,14,0,1,12,12,3,10,2,1,0,0
25/11/07,Gretna,Hearts,1,1,D,0,1,A,11,16,4,6,15,18,4,4,4,5,0,1
01/12/07,Dundee United,Inverness C,0,1,A,0,1,A,11,9,4,5,10,14,6,7,1,0,0,0
01/12/07,Hearts,Celtic,1,1,D,0,0,D,14,10,6,4,21,8,3,5,2,0,0,0
01/12/07,Motherwell,Gretna,3,0,H,1,0,H,17,8,12,4,8,11,12,3,1,1,0,0
01/12/07,Rangers,Kilmarnock,2,0,H,1,0,H,18,7,11,6,11,16,9,2,2,2,0,0
01/12/07,St Mirren,Falkirk,1,5,A,0,3,A,5,12,2,8,10,10,3,3,1,2,0,0
02/12/07,Aberdeen,Hibernian,3,1,H,1,1,D,24,5,12,3,13,18,7,3,2,2,0,0
08/12/07,Aberdeen,Kilmarnock,2,1,H,0,1,A,8,5,3,2,15,14,8,6,1,3,0,0
08/12/07,Celtic,St Mirren,1,1,D,0,0,D,17,4,10,4,8,10,12,2,1,0,0,0
08/12/07,Falkirk,Dundee United,3,0,H,2,0,H,15,11,8,3,12,12,3,6,0,0,0,0
08/12/07,Hearts,Motherwell,1,2,A,1,0,H,9,7,3,1,13,14,2,6,2,2,0,0
08/12/07,Inverness C,Hibernian,2,0,H,1,0,H,10,9,6,5,15,8,3,3,1,0,0,0
11/12/07,Celtic,Falkirk,4,0,H,2,0,H,12,11,9,8,8,10,6,1,2,1,0,1
