Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
09/08/03,Dundee United,Hibernian,1,2,A,0,0,D,15,9,5,4,10,17,7,4,1,2,1,0
09/08/03,Dunfermline,Celtic,0,0,D,0,0,D,7,14,6,6,17,10,5,9,1,0,0,0
09/08/03,Hearts,Aberdeen,2,0,H,1,0,H,10,8,7,5,22,11,5,4,2,0,0,0
09/08/03,Motherwell,Dundee,0,3,A,0,2,A,12,6,4,3,13,17,6,4,1,3,0,0
09/08/03,Partick,Livingston,1,1,D,1,0,H,6,18,2,8,8,19,2,5,0,2,0,0
09/08/03,Rangers,Kilmarnock,4,0,H,3,0,H,21,1,13,1,15,14,6,4,2,4,0,1
16/08/03,Aberdeen,Rangers,2,3,A,1,2,A,9,12,6,8,17,14,2,6,2,1,0,0
16/08/03,Celtic,Dundee United,5,0,H,3,0,H,12,3,11,2,13,15,5,2,2,2,0,0
16/08/03,Kilmarnock,Partick,2,1,H,0,1,A,18,10,5,3,17,10,7,5,0,1,0,1
16/08/03,Livingston,Motherwell,1,0,H,0,0,D,12,6,6,3,19,15,3,8,0,1,0,0
17/08/03,Dundee,Dunfermline,0,2,A,0,1,A,16,7,8,2,12,21,9,4,1,1,0,0
17/08/03,Hibernian,Hearts,1,0,H,0,0,D,12,15,8,7,21,20,4,5,4,3,1,0
23/08/03,Aberdeen,Dunfermline,1,2,A,1,1,D,7,6,4,3,13,16,9,3,0,0,0,0
23/08/03,Dundee,Livingston,2,1,H,1,1,D,15,11,6,4,13,22,4,6,1,5,0,0
23/08/03,Hearts,Dundee United,3,0,H,3,0,H,9,4,7,2,22,16,4,2,2,4,0,0
23/08/03,Motherwell,Kilmarnock,2,1,H,0,0,D,14,6,3,1,19,22,7,2,1,3,0,1
23/08/03,Partick,Celtic,1,2,A,1,2,A,9,15,5,10,19,20,3,4,2,1,0,0
23/08/03,Rangers,Hibernian,5,2,H,2,2,D,7,7,6,4,11,16,3,5,0,1,0,0
30/08/03,Celtic,Livingston,5,1,H,2,0,H,20,2,14,2,10,16,13,0,0,2,0,0
30/08/03,Hibernian,Aberdeen,1,1,D,0,1,A,20,10,13,4,8,15,6,6,2,1,0,0
