Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
21/10/12,Hearts,Motherwell,1,0,H,1,0,H,13,8,3,5,7,13,3,7,4,0,0,0
26/10/12,Motherwell,Hibernian,0,4,A,0,1,A,14,7,7,4,13,10,7,5,2,3,0,0
27/10/12,Aberdeen,Dundee,2,0,H,1,0,H,8,5,3,1,8,9,8,1,1,3,0,0
27/10/12,Celtic,Kilmarnock,0,2,A,0,1,A,7,7,2,3,8,12,3,3,1,0,0,0
27/10/12,Hearts,Ross County,2,2,D,1,0,H,19,5,8,5,10,13,8,2,2,3,0,0
27/10/12,Inverness C,St Johnstone,1,1,D,0,0,D,8,7,4,1,10,12,5,2,0,1,0,0
27/10/12,St Mirren,Dundee United,0,1,A,0,0,D,5,3,1,1,12,12,6,2,1,1,0,0
03/11/12,Dundee,Hearts,1,0,H,1,0,H,4,5,3,3,14,9,4,7,1,0,0,0
03/11/12,Hibernian,St Mirren,2,1,H,1,1,D,10,7,4,5,12,13,1,7,1,3,0,1
03/11/12,Kilmarnock,Inverness C,1,2,A,0,1,A,12,12,7,7,9,14,5,12,1,3,1,0
03/11/12,Ross County,Aberdeen,2,1,H,1,0,H,5,10,2,4,16,9,1,6,4,1,0,0
03/11/12,St Johnstone,Motherwell,1,3,A,0,2,A,9,9,5,7,10,12,6,1,1,1,0,0
04/11/12,Dundee United,Celtic,2,2,D,0,0,D,3,7,2,3,8,11,6,14,0,4,0,0
07/11/12,Motherwell,Dundee United,0,1,A,0,0,D,14,13,3,5,8,9,8,7,1,3,0,0
10/11/12,Inverness C,Hearts,1,1,D,1,0,H,7,15,5,9,10,9,4,5,1,2,0,0
10/11/12,Kilmarnock,Ross County,3,0,H,0,0,D,11,6,7,1,7,4,8,5,1,2,0,0
10/11/12,Motherwell,Dundee,1,1,D,1,1,D,18,7,11,4,8,9,10,2,0,2,0,0
10/11/12,St Mirren,Aberdeen,1,4,A,0,2,A,12,11,5,7,9,10,12,3,1,2,0,0
11/11/12,Celtic,St Johnstone,1,1,D,0,0,D,13,2,3,2,7,11,4,8,0,1,0,0
11/11/12,Hibernian,Dundee United,2,1,H,1,0,H,8,9,5,4,11,10,8,7,1,1,0,0
16/11/12,Dundee United,Kilmarnock,3,3,D,0,2,A,5,12,3,5,7,11,3,7,2,4,0,0
