Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
09/08/08,Aberdeen,Inverness C,0,2,A,0,1,A,7,8,2,3,8,12,12,2,2,1,0,0
09/08/08,Falkirk,Rangers,0,1,A,0,0,D,6,8,2,5,7,12,11,4,0,3,0,0
09/08/08,Hearts,Motherwell,3,2,H,2,1,H,10,6,6,2,14,14,1,3,3,2,0,0
09/08/08,Kilmarnock,Hibernian,1,0,H,0,0,D,11,11,5,1,8,12,10,4,1,2,0,0
10/08/08,Celtic,St Mirren,1,0,H,0,0,D,12,6,4,2,13,13,3,3,1,0,0,1
11/08/08,Hamilton,Dundee United,3,1,H,2,1,H,13,9,11,5,16,14,6,7,2,4,0,0
16/08/08,Hibernian,Falkirk,3,2,H,2,1,H,16,12,6,6,13,15,0,4,2,1,0,0
16/08/08,Inverness C,Hamilton,0,1,A,0,1,A,6,5,2,2,17,20,4,6,1,2,0,0
16/08/08,Motherwell,Aberdeen,0,1,A,0,0,D,5,4,3,3,9,13,3,3,0,4,0,0
16/08/08,Rangers,Hearts,2,0,H,1,0,H,13,7,7,5,12,13,1,4,1,2,0,1
16/08/08,St Mirren,Kilmarnock,0,0,D,0,0,D,9,9,3,5,14,12,4,9,1,2,0,0
17/08/08,Dundee United,Celtic,1,1,D,0,0,D,9,13,6,8,19,14,5,5,1,1,0,0
23/08/08,Aberdeen,Rangers,1,1,D,1,1,D,5,11,3,4,24,18,0,3,2,0,0,0
23/08/08,Celtic,Falkirk,3,0,H,2,0,H,16,8,9,5,7,17,5,3,1,2,0,0
23/08/08,Hearts,St Mirren,2,1,H,1,0,H,17,4,11,3,15,13,13,2,2,3,0,1
23/08/08,Inverness C,Hibernian,1,1,D,1,0,H,6,13,5,3,8,5,8,2,3,0,0,0
23/08/08,Kilmarnock,Hamilton,1,0,H,1,0,H,11,5,3,0,11,22,12,4,3,1,0,1
23/08/08,Motherwell,Dundee United,1,1,D,1,1,D,8,7,4,3,18,15,7,6,2,4,0,0
30/08/08,Dundee United,Kilmarnock,0,2,A,0,1,A,5,3,1,3,13,12,13,2,1,3,0,0
30/08/08,Falkirk,Inverness C,1,2,A,0,0,D,6,17,4,8,12,10,1,9,0,1,0,0
30/08/08,Hamilton,Hearts,1,2,A,0,1,A,9,13,2,7,8,9,7,3,2,0,0,0
30/08/08,Hibernian,Motherwell,0,1,A,0,0,D,11,6,3,3,11,13,3,2,0,0,0,0
30/08/08,St Mirren,Aberdeen,0,1,A,0,1,A,12,8,7,7,9,13,6,2,3,2,0,0
31/08/08,Celtic,Rangers,2,4,A,1,1,D,11,12,6,7,12,18,7,8,2,5,1,1
