Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
07/12/13,Dundee United,Hearts,4,1,H,1,1,D,18,6,8,1
07/12/13,Hibernian,Partick,1,1,D,0,0,D,16,5,6,4
07/12/13,Ross County,Kilmarnock,1,2,A,1,2,A,11,15,4,5
07/12/13,St Johnstone,Aberdeen,0,2,A,0,1,A,3,10,2,5
07/12/13,St Mirren,Inverness C,0,0,D,0,0,D,14,8,4,2
14/12/13,Aberdeen,St Mirren,2,0,H,1,0,H,12,5,5,2
14/12/13,Celtic,Hibernian,1,0,H,1,0,H,10,9,6,2
14/12/13,Hearts,Inverness C,0,2,A,0,0,D,8,13,1,4
14/12/13,Kilmarnock,Dundee United,1,4,A,0,0,D,3,11,1,8
14/12/13,Ross County,Motherwell,1,2,A,0,2,A,14,18,4,5
21/12/13,Celtic,Hearts,2,0,H,0,0,D,19,1,9,0
21/12/13,Dundee United,Ross County,1,0,H,0,0,D,11,7,5,1
21/12/13,Hibernian,St Johnstone,0,0,D,0,0,D,10,2,5,1
21/12/13,Inverness C,Aberdeen,3,4,A,0,4,A,11,11,7,9
21/12/13,Kilmarnock,Partick,2,1,H,1,0,H,10,13,5,8
21/12/13,Motherwell,St Mirren,3,0,H,2,0,H,14,6,6,1
26/12/13,Aberdeen,Motherwell,0,1,A,0,0,D,10,2,3,2
26/12/13,Hearts,Kilmarnock,0,4,A,0,2,A,9,13,2,7
26/12/13,Partick,Inverness C,0,0,D,0,0,D,12,4,4,1
26/12/13,Ross County,Hibernian,0,2,A,0,1,A,9,11,1,5
26/12/13,St Johnstone,Celtic,0,1,A,0,1,A,3,15,1,5
26/12/13,St Mirren,Dundee United,4,1,H,2,1,H,11,10,5,7
29/12/13,Aberdeen,Ross County,1,0,H,1,0,H,12,2,4,0
29/12/13,Hibernian,Kilmarnock,3,0,H,1,0,H,14,4,7,0
29/12/13,Inverness C,Celtic,0,1,A,0,1,A,10,12,6,3
29/12/13,Partick,Motherwell,1,5,A,1,3,A,13,13,7,9
29/12/13,St Johnstone,Dundee United,3,0,H,1,0,H,15,5,7,0
29/12/13,St Mirren,Hearts,1,1,D,1,0,H,11,13,4,3
01/01/14,Celtic,Partick,1,0,H,1,0,H,10,9,5,3
01/01/14,Dundee United,Aberdeen,1,2,A,0,0,D,4,12,2,6
01/01/14,Inverness C,Ross County,1,2,A,0,2,A,11,4,5,2
01/01/14,Motherwell,St Johnstone,4,0,H,1,0,H,21,11,10,3
02/01/14,Hibernian,Hearts,2,1,H,0,0,D,23,5,6,3
02/01/14,Kilmarnock,St Mirren,2,1,H,1,1,D,9,10,5,5
04/01/14,Ross County,St Johnstone,1,0,H,0,0,D,10,9,2,3
05/01/14,Dundee United,Hibernian,2,2,D,0,1,A,11,8,3,4
05/01/14,Hearts,Partick,0,2,A,0,2,A,11,11,3,5
05/01/14,Kilmarnock,Aberdeen,0,1,A,0,0,D,7,10,4,6
05/01/14,St Mirren,Celtic,0,4,A,0,0,D,5,17,0,6
10/01/14,Aberdeen,Hibernian,1,0,H,0,0,D,11,8,2,3
11/01/14,Hearts,Motherwell,0,1,A,0,1,A,10,13,5,5
11/01/14,Partick,Ross County,3,3,D,2,1,H,10,9,4,5
11/01/14,St Johnstone,St Mirren,2,0,H,0,0,D,19,3,6,0
12/01/14,Inverness C,Dundee United,1,1,D,1,1,D,12,7,8,2
18/01/14,Aberdeen,Inverness C,0,1,A,0,1,A,6,7,2,3
18/01/14,Celtic,Motherwell,3,0,H,2,0,H,19,10,6,5
18/01/14,Hibernian,St Mirren,2,3,A,0,3,A,7,2,4,2
18/01/14,Partick,Kilmarnock,1,1,D,1,0,H,9,8,4,5
18/01/14,Ross County,Dundee United,3,0,H,1,0,H,15,11,7,3
18/01/14,St Johnstone,Hearts,3,3,D,1,0,H,12,15,5,8
21/01/14,Partick,St Johnstone,0,1,A,0,1,A,9,5,2,2
25/01/14,Kilmarnock,Inverness C,2,0,H,1,0,H,9,8,4,2
25/01/14,Motherwell,Aberdeen,2,2,D,0,0,D,7,17,3,5
25/01/14,Ross County,Hearts,1,2,A,1,1,D,10,16,2,4
25/01/14,St Mirren,Partick,0,0,D,0,0,D,9,10,4,2
26/01/14,Hibernian,Celtic,0,4,A,0,1,A,11,13,5,7
29/01/14,Celtic,Kilmarnock,4,0,H,2,0,H,16,2,7,1
29/01/14,Hearts,St Mirren,2,1,H,1,1,D,14,12,4,5
01/02/14,Kilmarnock,Ross County,2,2,D,0,2,A,13,12,4,7
01/02/14,Partick,Dundee United,1,1,D,0,1,A,12,14,3,7
02/02/14,Celtic,St Mirren,1,0,H,1,0,H,19,3,4,2
15/02/14,Dundee United,Kilmarnock,3,2,H,1,1,D,16,9,7,4
15/02/14,Hibernian,Ross County,2,1,H,2,0,H,16,12,6,3
15/02/14,Inverness C,Hearts,0,0,D,0,0,D,23,12,6,3
15/02/14,Motherwell,Partick,4,3,H,1,1,D,14,12,5,5
15/02/14,St Mirren,Aberdeen,0,1,A,0,0,D,5,9,0,4
16/02/14,Celtic,St Johnstone,3,0,H,1,0,H,19,3,7,0
21/02/14,Dundee United,Motherwell,3,1,H,2,0,H,19,8,8,2
22/02/14,Hearts,Celtic,0,2,A,0,0,D,3,16,2,6
22/02/14,Kilmarnock,Hibernian,1,1,D,1,0,H,4,9,1,2
22/02/14,Partick,Aberdeen,3,1,H,0,0,D,18,8,9,5
22/02/14,Ross County,St Mirren,2,1,H,1,0,H,16,8,11,4
22/02/14,St Johnstone,Inverness C,0,1,A,0,1,A,10,8,6,3
25/02/14,Aberdeen,Celtic,2,1,H,2,0,H,8,10,4,5
25/02/14,Ross County,Inverness C,0,3,A,0,2,A,13,12,5,3
25/02/14,St Johnstone,Motherwell,3,0,H,2,0,H,9,4,7,1
28/02/14,Hibernian,Dundee United,1,3,A,1,1,D,4,15,1,7
01/03/14,Aberdeen,St Johnstone,1,0,H,1,0,H,8,9,4,4
01/03/14,Celtic,Inverness C,5,0,H,2,0,H,24,6,9,2
01/03/14,Motherwell,Hearts,4,1,H,2,0,H,21,8,9,1
01/03/14,Ross County,Partick,1,1,D,1,1,D,11,11,2,1
01/03/14,St Mirren,Kilmarnock,2,0,H,0,0,D,11,8,5,2
08/03/14,Hibernian,Motherwell,3,3,D,1,2,A,13,10,5,6
08/03/14,Kilmarnock,Hearts,4,2,H,1,1,D,9,10,6,2
12/03/14,Dundee United,St Johnstone,0,1,A,0,0,D,8,10,4,3
12/03/14,Inverness C,Hibernian,0,0,D,0,0,D,4,7,1,3
14/03/14,Kilmarnock,Celtic,0,3,A,0,0,D,2,14,0,9
15/03/14,Dundee United,St Mirren,3,2,H,0,2,A,10,13,6,7
15/03/14,Partick,Hibernian,3,1,H,1,0,H,13,10,9,2
15/03/14,St Johnstone,Ross County,0,1,A,0,1,A,9,9,4,7
19/03/14,Motherwell,Inverness C,2,0,H,2,0,H,11,13,3,7
21/03/14,Hearts,Dundee United,1,2,A,0,1,A,8,12,3,4
22/03/14,Aberdeen,Kilmarnock,2,1,H,1,1,D,11,3,3,3
22/03/14,Celtic,St Mirren,3,0,H,1,0,H,21,12,7,3
22/03/14,Inverness C,Partick,1,0,H,0,0,D,9,10,3,4
22/03/14,Motherwell,Ross County,2,1,H,0,0,D,9,3,6,1
22/03/14,St Johnstone,Hibernian,2,0,H,1,0,H,15,5,6,0
25/03/14,Ross County,Aberdeen,1,1,D,1,0,H,15,17,6,8
25/03/14,St Mirren,St Johnstone,0,1,A,0,1,A,6,11,2,4
26/03/14,Dundee United,Inverness C,2,1,H,0,0,D,10,8,5,4
26/03/14,Partick,Celtic,1,5,A,0,1,A,11,14,4,8
29/03/14,Aberdeen,Dundee United,1,1,D,0,1,A,18,8,7,4
29/03/14,Celtic,Ross County,1,1,D,1,1,D,12,6,5,1
29/03/14,Inverness C,St Mirren,2,2,D,2,1,H,7,10,4,3
29/03/14,Motherwell,Kilmarnock,1,2,A,1,0,H,14,13,7,5
29/03/14,St Johnstone,Partick,1,1,D,1,0,H,11,14,6,5
30/03/14,Hearts,Hibernian,2,0,H,1,0,H,11,14,4,1
01/04/14,Inverness C,Motherwell,1,2,A,0,1,A,7,6,3,4
02/04/14,Hearts,Aberdeen,1,1,D,0,0,D,9,11,3,2
04/04/14,Ross County,Inverness C,1,2,A,0,1,A,8,18,3,10
05/04/14,Dundee United,Celtic,0,2,A,0,2,A,9,9,5,6
05/04/14,Kilmarnock,St Johnstone,1,2,A,1,2,A,7,11,2,5
05/04/14,Partick,Hearts,2,4,A,1,1,D,10,10,5,7
05/04/14,St Mirren,Motherwell,3,2,H,1,2,A,12,8,6,4
