Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H
SC0,20/04/2019,Hamilton,Motherwell,1,1,D,0,1,A,D Robertson,13,9,4,3,14,15,2,5,3,1,0,0,3.6
SC0,20/04/2019,Hearts,Rangers,1,3,A,0,2,A,J Beaton,11,12,6,5,13,10,6,2,1,1,0,0,5.5
SC0,20/04/2019,Kilmarnock,Aberdeen,0,1,A,0,0,D,S McLean,4,9,2,2,18,22,1,3,2,4,3,0,2.6
SC0,20/04/2019,Livingston,St Mirren,1,3,A,1,1,D,W Collum,9,14,2,9,7,9,4,7,0,1,1,0,1.95
SC0,20/04/2019,St Johnstone,Dundee,2,0,H,0,0,D,A Muir,12,7,8,2,16,15,4,2,1,3,0,0,1.85
SC0,21/04/2019,Hibernian,Celtic,0,0,D,0,0,D,N Walsh,13,20,3,6,11,3,4,9,5,0,0,0,7.5
SC0,27/04/2019,Celtic,Kilmarnock,1,0,H,0,0,D,W Collum,27,11,6,6,15,10,6,5,2,2,0,0,1.25
SC0,27/04/2019,Hamilton,Livingston,3,3,D,1,0,H,G Aitken,15,8,7,4,9,11,9,4,2,0,0,0,2.8
SC0,27/04/2019,Motherwell,Dundee,4,3,H,2,2,D,K Clancy,17,11,8,6,10,16,10,4,2,3,1,0,1.8
SC0,27/04/2019,St Mirren,St Johnstone,1,1,D,0,0,D,S McLean,9,4,3,1,15,13,7,3,3,3,0,0,2.8
SC0,28/04/2019,Hibernian,Hearts,1,1,D,0,0,D,C Thomson,9,5,4,4,14,20,5,4,2,6,0,0,2.2
SC0,28/04/2019,Rangers,Aberdeen,2,0,H,0,0,D,D Robertson,16,4,6,1,12,12,7,1,1,2,0,1,1.5
SC0,04/05/2019,Aberdeen,Celtic,0,3,A,0,1,A,J Beaton,12,12,3,7,11,7,3,10,2,3,0,0,5.5
SC0,04/05/2019,Dundee,Hamilton,0,1,A,0,0,D,N Walsh,8,13,2,5,10,10,3,8,0,1,0,0,2.37
SC0,04/05/2019,Hearts,Kilmarnock,0,1,A,0,0,D,K Clancy,10,10,2,5,18,18,5,8,3,5,0,0,2.62
SC0,04/05/2019,Motherwell,St Mirren,1,1,D,0,0,D,A Muir,9,10,4,5,16,13,5,3,1,3,0,0,1.95
SC0,04/05/2019,St Johnstone,Livingston,1,1,D,1,0,H,D Munro,8,10,3,4,7,18,6,6,0,2,0,0,2.2
SC0,05/05/2019,Rangers,Hibernian,1,0,H,1,0,H,B Madden,17,5,7,1,8,13,4,3,0,3,1,0,1.44
SC0,10/05/2019,Aberdeen,Hearts,2,1,H,0,0,D,B Madden,13,6,4,4,17,25,2,2,2,4,0,0,1.55
SC0,11/05/2019,Kilmarnock,Hibernian,1,0,H,1,0,H,A Dallas,15,6,5,3,6,13,11,3,0,1,0,0,2
SC0,11/05/2019,Livingston,Dundee,0,1,A,0,1,A,A Newlands,13,5,4,4,11,12,3,0,1,1,0,0,1.85
SC0,11/05/2019,St Johnstone,Motherwell,2,0,H,1,0,H,C Steven,10,5,5,1,13,13,3,4,2,3,0,0,2.5
SC0,12/05/2019,Rangers,Celtic,2,0,H,1,0,H,K Clancy,11,3,5,1,12,12,6,3,2,2,0,0,3
SC0,13/05/2019,St Mirren,Hamilton,2,0,H,0,0,D,W Collum,20,7,7,2,14,17,9,2,2,1,0,1,2.1
SC0,18/05/2019,Dundee,St Mirren,2,3,A,1,0,H,A Muir,4,12,3,6,13,11,0,9,2,2,1,0,3.4
SC0,18/05/2019,Hamilton,St Johnstone,2,0,H,1,0,H,S McLean,13,7,6,0,12,9,7,3,3,1,0,0,2.8
SC0,18/05/2019,Motherwell,Livingston,3,2,H,3,0,H,D Munro,14,19,6,8,10,12,4,8,0,0,0,0,2.05
SC0,19/05/2019,Celtic,Hearts,2,1,H,1,1,D,C Thomson,16,4,7,3,11,9,9,1,1,1,0,0,1.3
SC0,19/05/2019,Hibernian,Aberdeen,1,2,A,1,1,D,E Anderson,15,14,8,7,18,4,2,3,4,1,0,0,3.1
SC0,19/05/2019,Kilmarnock,Rangers,2,1,H,1,0,H,W Collum,9,7,4,3,12,14,4,7,1,3,0,0,4.33
