Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
01/05/99,Dundee United,Dundee,0,2,A
01/05/99,Kilmarnock,Motherwell,0,1,A
02/05/99,Celtic,Rangers,0,3,A
03/05/99,Hearts,Dunfermline,2,0,H
08/05/99,Aberdeen,Dundee,1,2,A
08/05/99,Dundee United,Kilmarnock,0,0,D
08/05/99,Dunfermline,Celtic,1,2,A
08/05/99,St Johnstone,Motherwell,0,0,D
09/05/99,Rangers,Hearts,0,0,D
15/05/99,Celtic,Aberdeen,3,2,H
15/05/99,Dundee,Dunfermline,3,1,H
15/05/99,Hearts,Dundee United,4,1,H
15/05/99,Kilmarnock,St Johnstone,1,1,D
15/05/99,Motherwell,Rangers,1,5,A
23/05/99,Aberdeen,Hearts,2,5,A
23/05/99,Dundee United,Celtic,1,2,A
23/05/99,Dunfermline,Motherwell,1,2,A
23/05/99,Rangers,Kilmarnock,1,1,D
23/05/99,St Johnstone,Dundee,1,0,H
