Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
01/08/15,Celtic,Ross County,2,0,H,2,0,H,13,8,7,4
01/08/15,Hamilton,Partick,0,0,D,0,0,D,13,4,7,3
01/08/15,Inverness C,Motherwell,0,1,A,0,1,A,3,13,0,8
01/08/15,Kilmarnock,Dundee,0,4,A,0,2,A,4,14,1,10
02/08/15,Dundee United,Aberdeen,0,1,A,0,0,D,7,8,3,3
02/08/15,Hearts,St Johnstone,4,3,H,1,0,H,13,12,6,5
08/08/15,Dundee,Hearts,1,2,A,1,0,H,6,5,1,2
08/08/15,Motherwell,Dundee United,0,2,A,0,0,D,8,9,6,7
08/08/15,Ross County,Hamilton,2,0,H,2,0,H,6,8,2,2
08/08/15,St Johnstone,Inverness C,1,1,D,0,1,A,5,9,3,3
09/08/15,Aberdeen,Kilmarnock,2,0,H,1,0,H,15,2,9,0
09/08/15,Partick,Celtic,0,2,A,0,1,A,5,15,1,6
11/08/15,Dundee United,Dundee,2,2,D,0,0,D,10,11,6,7
11/08/15,St Johnstone,Ross County,1,1,D,0,1,A,6,10,2,6
12/08/15,Hearts,Motherwell,2,0,H,1,0,H,10,5,5,2
12/08/15,Inverness C,Partick,0,0,D,0,0,D,5,7,3,4
12/08/15,Kilmarnock,Celtic,2,2,D,1,1,D,11,28,5,12
15/08/15,Celtic,Inverness C,4,2,H,2,0,H,15,9,8,5
15/08/15,Dundee,St Johnstone,2,1,H,2,0,H,13,10,8,3
15/08/15,Hamilton,Dundee United,4,0,H,3,0,H,14,9,8,5
15/08/15,Motherwell,Aberdeen,1,2,A,1,1,D,12,12,4,6
15/08/15,Partick,Kilmarnock,2,2,D,1,1,D,16,13,8,8
15/08/15,Ross County,Hearts,1,2,A,1,2,A,10,9,6,2
22/08/15,Aberdeen,Dundee,2,0,H,0,0,D,13,7,5,4
22/08/15,Dundee United,Celtic,1,3,A,1,2,A,6,15,3,6
22/08/15,Hearts,Partick,3,0,H,1,0,H,13,4,5,0
22/08/15,Inverness C,Hamilton,0,2,A,0,1,A,10,10,5,4
22/08/15,Kilmarnock,Ross County,0,4,A,0,4,A,8,22,2,11
