Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
03/08/02,Celtic,Dunfermline,2,1,H,1,0,H,19,4,8,2
03/08/02,Dundee,Hearts,1,1,D,0,1,A,16,11,5,4
03/08/02,Hibernian,Aberdeen,1,2,A,1,0,H,12,8,4,2
03/08/02,Kilmarnock,Rangers,1,1,D,0,1,A,6,16,4,9
03/08/02,Livingston,Motherwell,3,2,H,2,0,H,10,7,5,5
03/08/02,Partick,Dundee United,0,0,D,0,0,D,9,9,2,3
10/08/02,Aberdeen,Celtic,0,4,A,0,2,A,5,14,2,8
10/08/02,Dundee United,Kilmarnock,1,2,A,0,0,D,18,12,8,7
10/08/02,Dunfermline,Livingston,2,1,H,1,0,H,18,11,10,5
10/08/02,Motherwell,Partick,1,1,D,0,0,D,4,11,3,4
10/08/02,Rangers,Dundee,3,0,H,1,0,H,19,6,14,1
11/08/02,Hearts,Hibernian,5,1,H,2,0,H,18,9,14,4
17/08/02,Celtic,Dundee United,5,0,H,3,0,H,15,6,11,3
17/08/02,Dunfermline,Dundee,4,2,H,1,1,D,14,7,7,4
17/08/02,Kilmarnock,Motherwell,0,3,A,0,0,D,9,12,6,9
17/08/02,Partick,Livingston,2,2,D,1,1,D,10,13,3,8
18/08/02,Aberdeen,Hearts,1,1,D,0,0,D,7,3,4,3
18/08/02,Hibernian,Rangers,2,4,A,1,2,A,5,10,3,5
24/08/02,Dundee,Hibernian,2,1,H,0,1,A,11,11,5,4
24/08/02,Hearts,Dunfermline,2,0,H,0,0,D,10,6,10,6
24/08/02,Partick,Celtic,0,1,A,0,0,D,4,12,0,5
25/08/02,Dundee United,Motherwell,1,1,D,0,1,A,10,9,7,3
25/08/02,Livingston,Kilmarnock,0,1,A,0,1,A,9,11,4,5
25/08/02,Rangers,Aberdeen,2,0,H,1,0,H,20,3,9,1
31/08/02,Dundee United,Dundee,0,0,D,0,0,D,10,10,5,7
31/08/02,Hearts,Kilmarnock,1,1,D,1,1,D,18,5,9,2
31/08/02,Motherwell,Hibernian,0,2,A,0,1,A,2,8,1,4
01/09/02,Aberdeen,Partick,0,1,A,0,1,A,5,6,2,5
01/09/02,Celtic,Livingston,2,0,H,2,0,H,18,6,8,0
01/09/02,Dunfermline,Rangers,0,6,A,0,3,A,6,12,3,11
10/09/02,Motherwell,Celtic,2,1,H,0,0,D,6,12,3,6
11/09/02,Aberdeen,Dundee United,1,2,A,1,2,A,12,12,4,7
11/09/02,Dundee,Livingston,2,1,H,0,1,A,16,6,10,1
11/09/02,Hibernian,Dunfermline,1,4,A,1,3,A,4,11,4,10
11/09/02,Kilmarnock,Partick,1,0,H,1,0,H,14,7,5,3
11/09/02,Rangers,Hearts,2,0,H,1,0,H,12,19,5,5
14/09/02,Celtic,Hibernian,1,0,H,1,0,H,12,9,7,1
14/09/02,Dundee United,Dunfermline,1,2,A,0,2,A,19,6,9,4
14/09/02,Kilmarnock,Aberdeen,2,2,D,0,0,D,14,10,5,6
14/09/02,Livingston,Rangers,0,2,A,0,0,D,5,10,4,5
14/09/02,Partick,Dundee,1,1,D,1,0,H,14,9,9,5
15/09/02,Hearts,Motherwell,4,2,H,1,2,A,18,9,12,4
21/09/02,Dunfermline,Motherwell,1,0,H,0,0,D,11,9,6,6
21/09/02,Hearts,Dundee United,2,0,H,1,0,H,10,12,9,4
21/09/02,Hibernian,Kilmarnock,2,0,H,2,0,H,8,5,5,1
21/09/02,Rangers,Partick,3,0,H,2,0,H,23,9,12,2
22/09/02,Dundee,Celtic,0,1,A,0,1,A,12,14,5,5
22/09/02,Livingston,Aberdeen,1,2,A,0,1,A,10,7,3,3
28/09/02,Aberdeen,Dunfermline,3,1,H,1,1,D,14,10,7,7
28/09/02,Celtic,Kilmarnock,5,0,H,3,0,H,10,2,7,1
28/09/02,Dundee United,Rangers,0,3,A,0,2,A,10,18,2,7
28/09/02,Hibernian,Livingston,1,0,H,1,0,H,4,9,2,6
28/09/02,Motherwell,Dundee,1,1,D,0,1,A,16,7,7,5
28/09/02,Partick,Hearts,2,2,D,1,1,D,11,12,9,8
05/10/02,Dundee,Kilmarnock,2,1,H,0,0,D,18,6,12,2
05/10/02,Dunfermline,Partick,4,1,H,1,0,H,15,11,8,3
05/10/02,Hibernian,Dundee United,2,1,H,1,0,H,8,6,6,5
05/10/02,Motherwell,Aberdeen,1,2,A,1,0,H,8,9,4,5
06/10/02,Celtic,Rangers,3,3,D,1,1,D,15,7,10,4
06/10/02,Livingston,Hearts,1,1,D,1,0,H,8,7,4,3
19/10/02,Aberdeen,Dundee,0,0,D,0,0,D,8,5,5,3
19/10/02,Dundee United,Livingston,2,3,A,1,0,H,16,13,2,3
19/10/02,Kilmarnock,Dunfermline,2,2,D,0,1,A,11,9,9,6
19/10/02,Partick,Hibernian,0,3,A,0,1,A,6,11,3,8
19/10/02,Rangers,Motherwell,3,0,H,1,0,H,15,2,11,1
20/10/02,Hearts,Celtic,1,4,A,0,4,A,3,8,1,2
26/10/02,Dundee United,Partick,1,1,D,1,0,H,10,6,2,4
26/10/02,Hearts,Dundee,1,2,A,0,1,A,16,12,9,9
26/10/02,Motherwell,Livingston,1,5,A,0,1,A,15,11,7,8
27/10/02,Aberdeen,Hibernian,0,1,A,0,0,D,11,10,9,7
27/10/02,Dunfermline,Celtic,1,4,A,0,2,A,9,17,4,14
27/10/02,Rangers,Kilmarnock,6,1,H,4,1,H,23,5,16,4
02/11/02,Dundee,Rangers,0,3,A,0,1,A,8,12,4,8
02/11/02,Kilmarnock,Dundee United,1,2,A,1,1,D,11,6,5,5
02/11/02,Livingston,Dunfermline,1,1,D,0,0,D,13,9,6,2
02/11/02,Partick,Motherwell,2,0,H,1,0,H,20,18,9,13
03/11/02,Celtic,Aberdeen,7,0,H,3,0,H,25,3,16,2
03/11/02,Hibernian,Hearts,1,2,A,1,0,H,9,10,6,5
09/11/02,Hearts,Aberdeen,0,0,D,0,0,D,11,6,6,4
09/11/02,Livingston,Partick,3,0,H,0,0,D,15,7,9,3
09/11/02,Motherwell,Kilmarnock,0,1,A,0,0,D,11,13,7,7
10/11/02,Dundee United,Celtic,0,2,A,0,1,A,8,12,4,6
10/11/02,Rangers,Hibernian,2,1,H,2,1,H,13,8,5,3
12/11/02,Dundee,Dunfermline,2,3,A,2,1,H,14,12,9,9
16/11/02,Aberdeen,Rangers,2,2,D,0,1,A,7,11,5,7
16/11/02,Hibernian,Dundee,2,1,H,1,0,H,14,13,7,6
16/11/02,Kilmarnock,Livingston,2,0,H,0,0,D,7,10,7,6
16/11/02,Motherwell,Dundee United,1,2,A,0,2,A,13,10,10,6
17/11/02,Celtic,Partick,4,0,H,2,0,H,15,1,5,0
17/11/02,Dunfermline,Hearts,3,1,H,0,0,D,15,13,8,4
23/11/02,Dundee,Dundee United,3,2,H,2,0,H,9,10,7,4
23/11/02,Hibernian,Motherwell,3,1,H,0,0,D,10,6,4,6
23/11/02,Kilmarnock,Hearts,0,1,A,0,0,D,7,8,3,2
23/11/02,Partick,Aberdeen,2,1,H,1,0,H,17,10,10,7
23/11/02,Rangers,Dunfermline,3,0,H,0,0,D,19,2,9,1
24/11/02,Livingston,Celtic,0,2,A,0,1,A,14,7,0,1
30/11/02,Dundee United,Aberdeen,1,1,D,1,1,D,12,6,8,4
30/11/02,Dunfermline,Hibernian,1,1,D,0,0,D,5,5,2,1
30/11/02,Livingston,Dundee,1,1,D,1,0,H,16,13,11,6
30/11/02,Partick,Kilmarnock,3,0,H,0,0,D,13,10,7,7
01/12/02,Celtic,Motherwell,3,1,H,0,0,D,22,7,9,6
01/12/02,Hearts,Rangers,0,4,A,0,0,D,5,20,2,13
03/12/02,Aberdeen,Kilmarnock,0,1,A,0,0,D,6,3,0,1
04/12/02,Dundee,Partick,4,1,H,1,0,H,14,7,10,4
04/12/02,Dunfermline,Dundee United,4,1,H,3,0,H,8,10,6,6
04/12/02,Hibernian,Celtic,0,1,A,0,0,D,7,10,3,6
04/12/02,Motherwell,Hearts,6,1,H,4,0,H,15,17,10,6
04/12/02,Rangers,Livingston,4,3,H,3,0,H,18,6,17,5
07/12/02,Aberdeen,Motherwell,1,1,D,1,0,H,7,5,4,1
07/12/02,Dundee United,Hibernian,1,1,D,1,1,D,3,13,2,7
07/12/02,Hearts,Livingston,2,1,H,1,0,H,10,13,5,3
07/12/02,Kilmarnock,Dundee,2,0,H,0,0,D,9,6,6,0
07/12/02,Partick,Dunfermline,4,0,H,2,0,H,18,17,12,9
07/12/02,Rangers,Celtic,3,2,H,3,1,H,10,12,8,7
14/12/02,Dundee,Motherwell,1,1,D,1,1,D,14,12,9,7
14/12/02,Hearts,Partick,1,0,H,0,0,D,19,8,13,4
14/12/02,Livingston,Hibernian,1,2,A,0,0,D,12,5,6,4
14/12/02,Rangers,Dundee United,3,0,H,1,0,H,14,9,9,5
15/12/02,Kilmarnock,Celtic,1,1,D,1,0,H,5,14,1,6
21/12/02,Aberdeen,Livingston,0,0,D,0,0,D,8,2,4,1
21/12/02,Celtic,Dundee,2,0,H,1,0,H,11,2,4,1
21/12/02,Dundee United,Hearts,0,3,A,0,2,A,14,18,5,10
21/12/02,Kilmarnock,Hibernian,2,1,H,0,0,D,8,10,3,5
22/12/02,Partick,Rangers,1,2,A,1,0,H,10,16,4,8
26/12/02,Celtic,Hearts,4,2,H,2,1,H,11,8,8,2
26/12/02,Dundee,Aberdeen,1,2,A,0,0,D,5,5,3,2
26/12/02,Dunfermline,Kilmarnock,0,2,A,0,0,D,8,5,4,2
26/12/02,Hibernian,Partick,1,1,D,0,0,D,12,5,9,4
26/12/02,Livingston,Dundee United,3,0,H,1,0,H,18,10,11,6
26/12/02,Motherwell,Rangers,1,0,H,0,0,D,10,14,3,10
29/12/02,Celtic,Dunfermline,1,0,H,1,0,H,10,5,8,2
29/12/02,Dundee,Hearts,1,2,A,0,1,A,5,12,1,10
29/12/02,Hibernian,Aberdeen,2,0,H,0,0,D,17,8,9,4
29/12/02,Kilmarnock,Rangers,0,1,A,0,1,A,7,13,3,5
29/12/02,Livingston,Motherwell,1,0,H,0,0,D,14,3,10,2
29/12/02,Partick,Dundee United,0,0,D,0,0,D,11,11,3,4
02/01/03,Aberdeen,Celtic,1,1,D,0,1,A,7,8,3,4
02/01/03,Dundee United,Kilmarnock,2,2,D,1,1,D,18,4,9,4
02/01/03,Dunfermline,Livingston,2,0,H,1,0,H,7,9,4,4
02/01/03,Hearts,Hibernian,4,4,D,1,2,A,14,12,11,5
02/01/03,Motherwell,Partick,2,2,D,1,1,D,16,11,8,5
02/01/03,Rangers,Dundee,3,1,H,2,1,H,22,8,12,2
28/01/03,Aberdeen,Hearts,0,1,A,0,0,D,5,5,2,1
28/01/03,Dunfermline,Dundee,0,1,A,0,1,A,15,2,4,2
28/01/03,Partick,Livingston,1,3,A,1,1,D,9,11,6,7
29/01/03,Celtic,Dundee United,2,0,H,2,0,H,13,1,7,0
29/01/03,Hibernian,Rangers,0,2,A,0,0,D,4,9,2,2
29/01/03,Kilmarnock,Motherwell,1,0,H,0,0,D,8,8,5,2
01/02/03,Dundee United,Motherwell,2,1,H,1,1,D,13,9,8,2
01/02/03,Hearts,Dunfermline,3,0,H,1,0,H,20,8,10,5
01/02/03,Livingston,Kilmarnock,0,4,A,0,2,A,12,8,6,7
01/02/03,Rangers,Aberdeen,2,1,H,1,0,H,15,14,5,5
02/02/03,Partick,Celtic,0,2,A,0,2,A,6,14,4,7
08/02/03,Aberdeen,Partick,0,1,A,0,1,A,6,5,2,4
08/02/03,Dunfermline,Rangers,1,3,A,0,1,A,7,7,4,4
08/02/03,Hearts,Kilmarnock,3,0,H,0,0,D,14,4,8,1
08/02/03,Motherwell,Hibernian,2,1,H,2,0,H,6,7,4,3
09/02/03,Celtic,Livingston,2,1,H,0,0,D,11,5,9,5
09/02/03,Dundee United,Dundee,1,1,D,1,1,D,11,11,5,9
15/02/03,Hibernian,Dunfermline,1,3,A,0,2,A,15,10,8,6
15/02/03,Rangers,Hearts,1,0,H,1,0,H,14,6,2,3
16/02/03,Aberdeen,Dundee United,3,0,H,1,0,H,9,3,2,0
19/02/03,Motherwell,Dunfermline,2,1,H,1,0,H,13,16,7,5
23/02/03,Kilmarnock,Partick,1,0,H,1,0,H,6,5,1,0
25/02/03,Dundee,Hibernian,3,0,H,1,0,H,8,1,2,0
01/03/03,Dundee United,Dunfermline,3,0,H,1,0,H,14,11,7,4
01/03/03,Hearts,Motherwell,2,1,H,1,0,H,16,8,4,4
01/03/03,Kilmarnock,Aberdeen,2,0,H,0,0,D,7,8,5,4
01/03/03,Partick,Dundee,1,3,A,1,2,A,12,13,8,10
02/03/03,Celtic,Hibernian,3,2,H,2,1,H,13,6,9,4
02/03/03,Livingston,Rangers,1,2,A,0,2,A,9,7,3,4
05/03/03,Dundee,Livingston,0,0,D,0,0,D,8,7,4,5
08/03/03,Celtic,Rangers,1,0,H,0,0,D,11,4,6,3
08/03/03,Dundee,Kilmarnock,2,2,D,2,0,H,19,11,11,6
08/03/03,Livingston,Hearts,1,1,D,0,1,A,7,7,2,3
08/03/03,Motherwell,Aberdeen,0,1,A,0,1,A,10,5,7,3
09/03/03,Dunfermline,Partick,0,0,D,0,0,D,8,1,4,0
09/03/03,Hibernian,Dundee United,1,1,D,1,0,H,6,2,1,0
15/03/03,Aberdeen,Dundee,3,3,D,0,2,A,10,8,8,3
15/03/03,Dundee United,Livingston,0,1,A,0,0,D,6,10,3,3
15/03/03,Partick,Hibernian,0,1,A,0,1,A,10,3,3,3
16/03/03,Kilmarnock,Dunfermline,1,1,D,0,0,D,10,10,7,7
19/03/03,Rangers,Motherwell,2,0,H,1,0,H,16,6,6,2
05/04/03,Dunfermline,Motherwell,3,0,H,1,0,H,10,6,4,2
05/04/03,Hearts,Dundee United,2,1,H,0,1,A,15,3,11,1
05/04/03,Kilmarnock,Hibernian,6,2,H,3,1,H,14,12,8,8
05/04/03,Livingston,Aberdeen,1,2,A,1,2,A,18,15,12,9
05/04/03,Rangers,Partick,2,0,H,0,0,D,22,4,11,4
06/04/03,Dundee,Celtic,1,1,D,1,1,D,8,10,5,6
12/04/03,Aberdeen,Dunfermline,1,0,H,1,0,H,9,5,3,2
12/04/03,Hibernian,Livingston,2,2,D,1,0,H,11,13,7,7
12/04/03,Motherwell,Dundee,1,2,A,0,2,A,14,10,5,5
12/04/03,Partick,Hearts,1,1,D,0,0,D,5,14,3,9
13/04/03,Celtic,Kilmarnock,2,0,H,1,0,H,17,2,10,1
13/04/03,Dundee United,Rangers,1,4,A,0,3,A,8,7,7,5
19/04/03,Hearts,Celtic,2,1,H,0,0,D,14,8,8,7
26/04/03,Aberdeen,Livingston,1,0,H,1,0,H,12,8,6,2
26/04/03,Dundee United,Hibernian,1,2,A,1,0,H,9,13,6,9
26/04/03,Dunfermline,Hearts,0,1,A,0,0,D,3,5,1,4
26/04/03,Partick,Motherwell,3,0,H,1,0,H,12,5,9,1
27/04/03,Dundee,Kilmarnock,0,1,A,0,0,D,12,6,8,4
27/04/03,Rangers,Celtic,1,2,A,0,2,A,10,7,0,1
03/05/03,Dunfermline,Celtic,1,4,A,0,3,A,8,8,5,5
03/05/03,Hibernian,Aberdeen,3,1,H,1,0,H,13,12,8,5
03/05/03,Kilmarnock,Hearts,1,0,H,1,0,H,11,6,6,4
03/05/03,Livingston,Partick,3,1,H,2,1,H,13,7,9,3
03/05/03,Motherwell,Dundee United,2,2,D,1,0,H,11,8,7,7
04/05/03,Dundee,Rangers,2,2,D,2,1,H,8,13,4,6
