Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
11/02/95,Celtic,Hibernian,2,2,D
11/02/95,Hearts,Kilmarnock,2,2,D
12/02/95,Aberdeen,Rangers,2,0,H
21/02/95,Dundee United,Falkirk,1,0,H
25/02/95,Aberdeen,Motherwell,0,2,A
25/02/95,Dundee United,Partick,2,0,H
25/02/95,Falkirk,Hibernian,1,0,H
25/02/95,Hearts,Celtic,1,1,D
25/02/95,Rangers,Kilmarnock,3,0,H
04/03/95,Hibernian,Rangers,1,1,D
04/03/95,Kilmarnock,Dundee United,2,0,H
05/03/95,Celtic,Aberdeen,2,0,H
07/03/95,Motherwell,Falkirk,2,2,D
07/03/95,Partick,Dundee United,2,0,H
10/03/95,Partick,Aberdeen,2,2,D
10/03/95,Rangers,Falkirk,2,2,D
15/03/95,Partick,Motherwell,0,0,D
18/03/95,Aberdeen,Hibernian,0,0,D
18/03/95,Hearts,Rangers,2,1,H
18/03/95,Motherwell,Dundee United,2,1,H
21/03/95,Dundee United,Hearts,1,1,D
21/03/95,Kilmarnock,Celtic,0,1,A
22/03/95,Hibernian,Motherwell,2,0,H
25/03/95,Falkirk,Kilmarnock,2,0,H
01/04/95,Aberdeen,Kilmarnock,0,1,A
01/04/95,Celtic,Motherwell,1,1,D
01/04/95,Dundee United,Rangers,0,2,A
01/04/95,Hearts,Falkirk,0,1,A
01/04/95,Partick,Hibernian,2,2,D
04/04/95,Partick,Hearts,3,1,H
08/04/95,Falkirk,Dundee United,3,1,H
08/04/95,Motherwell,Partick,1,2,A
08/04/95,Rangers,Aberdeen,3,2,H
09/04/95,Kilmarnock,Hearts,3,2,H
15/04/95,Aberdeen,Celtic,2,0,H
15/04/95,Dundee United,Kilmarnock,1,2,A
15/04/95,Falkirk,Motherwell,3,0,H
15/04/95,Hearts,Partick,0,1,A
16/04/95,Rangers,Hibernian,3,1,H
18/04/95,Motherwell,Aberdeen,2,1,H
18/04/95,Partick,Dundee United,1,3,A
19/04/95,Celtic,Hearts,0,1,A
19/04/95,Hibernian,Falkirk,0,2,A
20/04/95,Kilmarnock,Rangers,0,1,A
29/04/95,Dundee United,Hibernian,0,1,A
29/04/95,Falkirk,Celtic,1,2,A
29/04/95,Hearts,Aberdeen,1,2,A
29/04/95,Kilmarnock,Partick,0,0,D
29/04/95,Rangers,Motherwell,0,2,A
02/05/95,Celtic,Partick,1,3,A
06/05/95,Aberdeen,Dundee United,2,1,H
06/05/95,Hibernian,Hearts,3,1,H
06/05/95,Motherwell,Kilmarnock,2,0,H
06/05/95,Partick,Falkirk,0,0,D
07/05/95,Celtic,Rangers,3,0,H
10/05/95,Hibernian,Celtic,1,1,D
13/05/95,Dundee United,Celtic,0,1,A
13/05/95,Falkirk,Aberdeen,0,2,A
13/05/95,Hearts,Motherwell,2,0,H
13/05/95,Kilmarnock,Hibernian,1,2,A
13/05/95,Rangers,Partick,1,1,D
