Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
13/08/94,Aberdeen,Hearts,3,1,H
13/08/94,Falkirk,Celtic,1,1,D
13/08/94,Hibernian,Dundee United,5,0,H
13/08/94,Partick,Kilmarnock,2,0,H
13/08/94,Rangers,Motherwell,2,1,H
20/08/94,Aberdeen,Falkirk,2,2,D
20/08/94,Celtic,Dundee United,2,1,H
20/08/94,Hibernian,Kilmarnock,0,0,D
20/08/94,Motherwell,Hearts,1,1,D
20/08/94,Partick,Rangers,0,2,A
28/08/94,Dundee United,Aberdeen,2,1,H
28/08/94,Falkirk,Partick,2,1,H
28/08/94,Hearts,Hibernian,0,1,A
28/08/94,Kilmarnock,Motherwell,0,1,A
28/08/94,Rangers,Celtic,0,2,A
10/09/94,Dundee United,Motherwell,1,1,D
10/09/94,Hibernian,Aberdeen,2,2,D
10/09/94,Kilmarnock,Falkirk,1,1,D
10/09/94,Partick,Celtic,1,2,A
11/09/94,Rangers,Hearts,3,0,H
17/09/94,Aberdeen,Partick,1,1,D
17/09/94,Celtic,Kilmarnock,1,1,D
17/09/94,Falkirk,Rangers,0,2,A
17/09/94,Hearts,Dundee United,2,1,H
17/09/94,Motherwell,Hibernian,1,1,D
24/09/94,Aberdeen,Rangers,2,2,D
24/09/94,Celtic,Hibernian,2,0,H
24/09/94,Dundee United,Falkirk,1,0,H
24/09/94,Hearts,Kilmarnock,3,0,H
24/09/94,Partick,Motherwell,2,2,D
01/10/94,Falkirk,Hearts,2,1,H
01/10/94,Hibernian,Partick,3,0,H
01/10/94,Kilmarnock,Aberdeen,2,1,H
01/10/94,Motherwell,Celtic,1,1,D
01/10/94,Rangers,Dundee United,2,0,H
08/10/94,Celtic,Aberdeen,0,0,D
08/10/94,Hibernian,Rangers,2,1,H
08/10/94,Kilmarnock,Dundee United,0,2,A
08/10/94,Motherwell,Falkirk,5,3,H
08/10/94,Partick,Hearts,0,1,A
15/10/94,Aberdeen,Motherwell,1,3,A
15/10/94,Dundee United,Partick,0,1,A
15/10/94,Falkirk,Hibernian,0,0,D
15/10/94,Hearts,Celtic,1,0,H
15/10/94,Rangers,Kilmarnock,2,0,H
22/10/94,Celtic,Falkirk,0,2,A
22/10/94,Dundee United,Hibernian,0,0,D
22/10/94,Hearts,Aberdeen,2,0,H
22/10/94,Kilmarnock,Partick,2,0,H
22/10/94,Motherwell,Rangers,2,1,H
29/10/94,Aberdeen,Dundee United,3,0,H
29/10/94,Hibernian,Hearts,2,1,H
29/10/94,Motherwell,Kilmarnock,3,2,H
29/10/94,Partick,Falkirk,1,2,A
30/10/94,Celtic,Rangers,1,3,A
05/11/94,Dundee United,Celtic,2,2,D
05/11/94,Falkirk,Aberdeen,2,1,H
05/11/94,Hearts,Motherwell,1,2,A
05/11/94,Kilmarnock,Hibernian,0,0,D
05/11/94,Rangers,Partick,3,0,H
08/11/94,Falkirk,Kilmarnock,3,3,D
08/11/94,Motherwell,Dundee United,1,1,D
09/11/94,Aberdeen,Hibernian,0,0,D
09/11/94,Celtic,Partick,0,0,D
09/11/94,Hearts,Rangers,1,1,D
19/11/94,Dundee United,Hearts,5,2,H
19/11/94,Hibernian,Motherwell,2,2,D
19/11/94,Kilmarnock,Celtic,0,0,D
19/11/94,Partick,Aberdeen,2,1,H
19/11/94,Rangers,Falkirk,1,1,D
25/11/94,Rangers,Aberdeen,1,0,H
26/11/94,Falkirk,Dundee United,1,3,A
26/11/94,Kilmarnock,Hearts,3,1,H
26/11/94,Motherwell,Partick,3,1,H
27/11/94,Hibernian,Celtic,1,1,D
03/12/94,Aberdeen,Kilmarnock,0,1,A
03/12/94,Celtic,Motherwell,2,2,D
03/12/94,Hearts,Falkirk,1,1,D
03/12/94,Partick,Hibernian,2,2,D
04/12/94,Dundee United,Rangers,0,3,A
10/12/94,Hibernian,Falkirk,2,2,D
10/12/94,Kilmarnock,Rangers,1,2,A
10/12/94,Motherwell,Aberdeen,0,1,A
26/12/94,Aberdeen,Celtic,0,0,D
26/12/94,Dundee United,Kilmarnock,2,2,D
26/12/94,Falkirk,Motherwell,0,1,A
26/12/94,Hearts,Partick,3,0,H
26/12/94,Rangers,Hibernian,2,0,H
31/12/94,Aberdeen,Hearts,3,1,H
31/12/94,Celtic,Falkirk,2,0,H
31/12/94,Hibernian,Dundee United,4,0,H
31/12/94,Motherwell,Rangers,1,3,A
31/12/94,Partick,Kilmarnock,2,2,D
02/01/95,Dundee United,Aberdeen,0,0,D
04/01/95,Rangers,Celtic,1,1,D
07/01/95,Aberdeen,Falkirk,0,0,D
07/01/95,Celtic,Dundee United,1,1,D
07/01/95,Hibernian,Kilmarnock,2,1,H
07/01/95,Partick,Rangers,1,1,D
08/01/95,Motherwell,Hearts,1,2,A
11/01/95,Celtic,Hearts,1,1,D
13/01/95,Motherwell,Hibernian,0,0,D
14/01/95,Aberdeen,Partick,3,1,H
14/01/95,Celtic,Kilmarnock,2,1,H
14/01/95,Falkirk,Rangers,2,3,A
14/01/95,Hearts,Dundee United,2,0,H
17/01/95,Falkirk,Partick,1,3,A
17/01/95,Kilmarnock,Motherwell,2,0,H
18/01/95,Hearts,Hibernian,2,0,H
21/01/95,Dundee United,Motherwell,6,1,H
21/01/95,Hibernian,Aberdeen,4,2,H
21/01/95,Kilmarnock,Falkirk,2,1,H
21/01/95,Partick,Celtic,0,0,D
21/01/95,Rangers,Hearts,1,0,H
04/02/95,Falkirk,Hearts,2,0,H
04/02/95,Hibernian,Partick,1,2,A
04/02/95,Kilmarnock,Aberdeen,3,1,H
04/02/95,Motherwell,Celtic,1,0,H
04/02/95,Rangers,Dundee United,1,1,D
