Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
31/07/2021,Rangers,Livingston,3,0,H,1,0,H,18,2,8,0,8,14,7,1,0,5,0,0
31/07/2021,Dundee,St Mirren,2,2,D,1,1,D,11,14,4,5,13,14,8,11,2,2,1,0
31/07/2021,Ross County,St Johnstone,0,0,D,0,0,D,4,10,0,2,19,14,0,4,4,1,0,0
31/07/2021,Hearts,Celtic,2,1,H,1,0,H,11,19,4,7,4,11,6,5,0,0,0,0
01/08/2021,Aberdeen,Dundee United,2,0,H,1,0,H,7,5,3,1,12,17,5,4,1,3,0,0
01/08/2021,Motherwell,Hibernian,2,3,A,2,1,H,9,14,5,5,21,11,2,4,5,3,0,0
07/08/2021,Dundee United,Rangers,1,0,H,0,0,D,9,14,2,2,11,8,5,8,4,1,0,0
07/08/2021,St Mirren,Hearts,1,2,A,0,1,A,10,11,3,4,11,11,4,0,1,2,1,0
08/08/2021,Celtic,Dundee,6,0,H,2,0,H,31,3,15,0,11,12,11,3,0,1,0,1
08/08/2021,Hibernian,Ross County,3,0,H,3,0,H,18,8,6,0,7,11,11,4,0,2,0,0
08/08/2021,Livingston,Aberdeen,1,2,A,1,0,H,13,11,5,3,21,12,6,2,5,0,0,0
08/08/2021,St Johnstone,Motherwell,1,1,D,1,0,H,12,10,4,5,12,10,8,6,2,2,0,0
